,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,LSE:VOD,0.4541,0.5266,0.0833,0.0,0.0,1256.6669,0.0,3.005,6.1886,0.0,8.2159,2.3409,23.336,65.6901,67.2969,0.0,0.0,0.0,1225.8359,5.0605,4.185,0.0,0.0,2.2834,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1992-01-01,LSE:VOD,0.4541,0.5266,0.0833,0.0,0.0,1256.6669,0.0,3.005,6.1886,0.0,8.2159,2.3409,23.3155,65.6901,67.2969,0.0,0.0,0.0,1225.8359,5.0605,4.185,0.0,0.0,2.2834,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,LSE:VOD,0.4541,0.5294,0.0838,0.0,0.0,1263.3296,0.0,3.0209,6.2214,0.0,8.2594,2.3533,23.3329,67.0028,68.5019,0.0,0.0,0.0,1232.4986,5.0881,4.2077,0.0,0.0,2.2959,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1992-01-03,LSE:VOD,0.4947,0.5266,0.0833,0.0,0.0,1256.6669,0.0,3.005,6.1886,0.0,8.2159,2.3409,22.7637,64.3513,65.8874,0.0,0.0,0.0,1225.8359,5.0605,4.185,0.0,0.0,2.2834,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1992-01-06,LSE:VOD,0.4947,0.5238,0.0829,0.0,0.0,1249.997,0.0,2.989,6.1558,0.0,8.1722,2.3285,22.7621,61.7182,63.2862,0.0,0.0,0.0,1219.166,5.033,4.1622,0.0,0.0,2.271,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1992-01-07,LSE:VOD,0.4947,0.5029,0.0796,0.0,0.0,1199.9955,0.0,2.8694,5.9095,0.0,7.8453,2.2353,23.9827,46.3928,47.9816,0.0,0.0,0.0,1169.1645,4.8266,3.9915,0.0,0.0,2.1779,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1992-01-08,LSE:VOD,0.4947,0.4973,0.0787,0.0,0.0,1186.6653,0.0,2.8376,5.8439,0.0,7.7582,2.2105,24.0697,43.3055,44.8666,0.0,0.0,0.0,1155.8343,4.7716,3.946,0.0,0.0,2.153,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1992-01-09,LSE:VOD,0.4947,0.5015,0.0794,0.0,0.0,1196.6618,0.0,2.8615,5.8931,0.0,7.8236,2.2291,24.1234,46.1971,47.6135,0.0,0.0,0.0,1165.8308,4.8128,3.9801,0.0,0.0,2.1717,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1992-01-10,LSE:VOD,0.594,0.4987,0.0789,0.0,0.0,1189.999,0.0,2.8455,5.8603,0.0,7.78,2.2167,23.7503,44.5656,45.9692,0.0,0.0,0.0,1159.168,4.7853,3.9574,0.0,0.0,2.1593,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1992-01-13,LSE:VOD,0.594,0.5057,0.08,0.0,0.0,1206.663,0.0,2.8854,5.9424,0.0,7.8889,2.2477,23.6997,49.3806,50.5656,0.0,0.0,0.0,1175.832,4.8541,4.0142,0.0,0.0,2.1903,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1992-01-14,LSE:VOD,0.594,0.5029,0.0796,0.0,0.0,1199.9955,0.0,2.8694,5.9095,0.0,7.8453,2.2353,23.6776,47.5991,48.7781,0.0,0.0,0.0,1169.1645,4.8266,3.9915,0.0,0.0,2.1779,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1992-01-15,LSE:VOD,0.594,0.5112,0.0809,0.0,0.0,1219.998,0.0,2.9173,6.0081,0.0,7.9761,2.2726,23.7139,53.0691,54.0284,0.0,0.0,0.0,1189.167,4.9092,4.0598,0.0,0.0,2.2151,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1992-01-16,LSE:VOD,0.594,0.5224,0.0827,0.0,0.0,1246.6633,0.0,2.981,6.1394,0.0,8.1505,2.3222,23.5163,59.1857,59.9294,0.0,0.0,0.0,1215.8323,5.0193,4.1508,0.0,0.0,2.2648,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1992-01-17,LSE:VOD,0.5177,0.5182,0.082,0.0,0.0,1236.662,0.0,2.9571,6.0901,0.0,8.0851,2.3036,23.5605,56.2258,56.9732,0.0,0.0,0.0,1205.831,4.978,4.1167,0.0,0.0,2.2462,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1992-01-20,LSE:VOD,0.5177,0.5071,0.0802,0.0,0.0,1209.9968,0.0,2.8934,5.9588,0.0,7.9107,2.2539,23.91,49.1658,49.9132,0.0,0.0,0.0,1179.1658,4.8679,4.0256,0.0,0.0,2.1965,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1992-01-21,LSE:VOD,0.5177,0.4973,0.0787,0.0,0.0,1186.6653,0.0,2.8376,5.8439,0.0,7.7582,2.2105,24.1503,43.9641,44.6943,0.0,0.0,0.0,1155.8343,4.7716,3.946,0.0,0.0,2.153,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1992-01-22,LSE:VOD,0.5177,0.4861,0.0769,0.0,0.0,1159.9953,0.0,2.7738,5.7126,0.0,7.5838,2.1608,24.4918,38.898,39.5984,0.0,0.0,0.0,1129.1643,4.6615,3.8549,0.0,0.0,2.1034,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1992-01-23,LSE:VOD,0.5177,0.4861,0.0769,0.0,0.0,1159.9953,0.0,2.7738,5.7126,0.0,7.5838,2.1608,24.4555,38.898,39.5984,0.0,0.0,0.0,1129.1643,4.6615,3.8549,0.0,0.0,2.1034,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1992-01-24,LSE:VOD,0.4864,0.4861,0.0769,0.0,0.0,1159.9953,0.0,2.7738,5.7126,0.0,7.5838,2.1608,24.3812,38.898,39.5984,0.0,0.0,0.0,1129.1643,4.6615,3.8549,0.0,0.0,2.1034,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1992-01-27,LSE:VOD,0.4864,0.4917,0.0778,0.0,0.0,1173.3303,0.0,2.8057,5.7782,0.0,7.671,2.1856,24.3401,42.9998,43.6132,0.0,0.0,0.0,1142.4993,4.7165,3.9005,0.0,0.0,2.1282,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1992-01-28,LSE:VOD,0.4864,0.4945,0.0783,0.0,0.0,1179.9978,0.0,2.8216,5.8111,0.0,7.7146,2.1981,23.8847,44.9884,45.5617,0.0,0.0,0.0,1149.1668,4.744,3.9232,0.0,0.0,2.1406,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1992-01-29,LSE:VOD,0.4864,0.4847,0.0767,0.0,0.0,1156.6615,0.0,2.7658,5.6961,0.0,7.562,2.1546,24.125,39.7601,40.3114,0.0,0.0,0.0,1125.8305,4.6477,3.8435,0.0,0.0,2.0972,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1992-01-30,LSE:VOD,0.4864,0.4833,0.0765,0.0,0.0,1153.3325,0.0,2.7579,5.6798,0.0,7.5403,2.1484,24.1266,39.0627,39.6092,0.0,0.0,0.0,1122.5015,4.634,3.8322,0.0,0.0,2.091,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1992-01-31,LSE:VOD,0.4728,0.4749,0.0752,0.0,0.0,1133.33,0.0,2.71,5.5812,0.0,7.4095,2.1111,24.3227,35.0811,35.5992,0.0,0.0,0.0,1102.499,4.5514,3.7639,0.0,0.0,2.0537,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1992-02-03,LSE:VOD,0.4728,0.4665,0.0738,0.0,0.0,1113.3323,0.0,2.6622,5.4828,0.0,7.2788,2.0739,24.5124,31.6118,32.1019,0.0,0.0,0.0,1082.5013,4.4688,3.6956,0.0,0.0,2.0164,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1992-02-04,LSE:VOD,0.4728,0.4777,0.0756,0.0,0.0,1139.9975,0.0,2.726,5.6141,0.0,7.4531,2.1236,24.2926,40.1158,40.5,0.0,0.0,0.0,1109.1665,4.5789,3.7867,0.0,0.0,2.0661,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1992-02-05,LSE:VOD,0.4728,0.4819,0.0763,0.0,0.0,1149.9988,0.0,2.7499,5.6633,0.0,7.5185,2.1422,24.3574,42.9797,43.3291,0.0,0.0,0.0,1119.1678,4.6202,3.8208,0.0,0.0,2.0847,0.0,0.0,7.1591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
