,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:AZO,1.1315,16.7813,16.7813,16.9688,16.25,2288.788,16.25,10.9707,51.4141,0.0,50.18,2.7626,0.0,82.9122,82.9122,2.4494,1.8965,1.7959,2293.07,28.8996,25.572,0.0,0.0,2.8034,0.0,0.6908,4.0,0.0,1.0,0.0,0.0,0.0,16.25,16.9688,16.25,2.7632,0.0
1,1992-01-01,NYSE:AZO,1.1315,0.0,16.7813,0.0,0.0,2288.788,0.0,10.9707,51.4141,0.0,50.18,2.7626,0.0,82.9122,82.9122,2.4494,1.8965,1.7959,2293.07,28.8996,25.572,0.0,0.0,2.8034,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:AZO,1.1315,16.7813,16.7813,16.7813,16.25,2288.788,16.7188,10.9707,51.4141,0.0,50.18,2.7626,0.0,82.9122,82.9122,2.3308,1.8965,1.7089,2293.07,28.8996,25.572,0.0,0.0,2.8034,0.0,0.3056,4.0,0.0,1.0,0.0,0.0,0.0,16.7188,16.7813,16.25,1.2224,0.0
3,1992-01-03,NYSE:AZO,1.1556,16.7813,16.7813,16.8125,16.625,2288.788,16.8125,10.9707,51.4141,0.0,50.18,2.7626,0.0,82.9122,82.9122,2.3308,1.8965,1.7089,2293.07,28.8996,25.572,0.0,0.0,2.8034,0.0,0.4972,4.0,0.0,1.0,0.0,0.0,0.0,16.8125,16.8125,16.625,1.9888,0.0
4,1992-01-06,NYSE:AZO,1.1556,17.0,17.0,17.0313,16.75,2318.6232,16.75,11.1137,52.0843,0.0,50.8341,2.7986,0.0,84.0203,84.0203,2.3308,1.8965,1.7089,2322.9052,29.2756,25.9048,0.0,0.0,2.8399,0.0,0.1752,4.0,0.0,1.0,0.0,0.0,0.0,16.75,17.0313,16.75,0.7008,0.0
5,1992-01-07,NYSE:AZO,1.1556,17.1563,17.1563,17.1875,17.0,2339.9341,17.0625,11.2158,52.563,0.0,51.3014,2.8243,0.0,84.7796,84.7796,2.3308,1.8965,1.7089,2344.2161,29.5442,26.1424,0.0,0.0,2.8659,0.0,0.1168,4.0,0.0,1.0,0.0,0.0,0.0,17.0625,17.1875,17.0,0.4672,0.0
6,1992-01-08,NYSE:AZO,1.1556,17.0625,17.0625,17.1875,17.0313,2327.1476,17.1563,11.1545,52.2758,0.0,51.021,2.8089,0.0,82.2543,82.2543,2.3308,1.8965,1.7089,2331.4296,29.3831,25.9998,0.0,0.0,2.8503,0.0,0.3664,4.0,0.0,1.0,0.0,0.0,0.0,17.1563,17.1875,17.0313,1.4656,0.0
7,1992-01-09,NYSE:AZO,1.1556,17.0625,17.0625,17.0625,16.9375,2327.1476,17.0625,11.1545,52.2758,0.0,51.021,2.8089,0.0,82.2543,82.2543,2.3308,1.8965,1.7089,2331.4296,29.3831,25.9998,0.0,0.0,2.8503,0.0,0.1356,4.0,0.0,1.0,0.0,0.0,0.0,17.0625,17.0625,16.9375,0.5424,0.0
8,1992-01-10,NYSE:AZO,1.1342,17.25,17.25,17.375,17.0625,2352.7206,17.0625,11.2771,52.8502,0.0,51.5817,2.8398,0.0,83.4011,83.4011,2.3308,1.8965,1.7089,2357.0026,29.7054,26.285,0.0,0.0,2.8816,0.0,0.4048,4.0,0.0,1.0,0.0,0.0,0.0,17.0625,17.375,17.0625,1.6192,0.0
9,1992-01-13,NYSE:AZO,1.1342,17.5,17.5,17.625,17.4375,2386.818,17.5625,11.4406,53.6162,0.0,52.3293,2.8809,0.0,84.8106,84.8106,2.3308,1.8965,1.7089,2391.1,30.1351,26.6653,0.0,0.0,2.9232,0.0,0.588,4.0,0.0,1.0,0.0,0.0,0.0,17.5625,17.625,17.4375,2.352,0.0
10,1992-01-14,NYSE:AZO,1.1342,17.4375,17.4375,17.5,17.3125,2378.2937,17.5,11.3997,53.4247,0.0,52.1424,2.8706,0.0,82.915,82.915,2.3308,1.8965,1.7089,2382.5757,30.0277,26.5702,0.0,0.0,2.9128,0.0,0.3252,4.0,0.0,1.0,0.0,0.0,0.0,17.5,17.5,17.3125,1.3008,0.0
11,1992-01-15,NYSE:AZO,1.1342,17.4688,17.4688,17.5,17.4063,2382.5558,17.4688,11.4201,53.5204,0.0,52.2358,2.8758,0.0,83.1182,83.1182,2.3308,1.8965,1.7089,2386.8378,30.0814,26.6177,0.0,0.0,2.918,0.0,0.3284,4.0,0.0,1.0,0.0,0.0,0.0,17.4688,17.5,17.4063,1.3136,0.0
12,1992-01-16,NYSE:AZO,1.1342,16.75,16.75,17.5,16.5,2284.5258,17.5,10.9502,51.3184,0.0,50.0866,2.7575,0.0,64.2058,64.2058,2.3308,1.8965,1.7089,2288.8078,28.8459,25.5245,0.0,0.0,2.7982,0.0,0.4376,4.0,0.0,1.0,0.0,0.0,0.0,17.5,17.5,16.5,1.7504,0.0
13,1992-01-17,NYSE:AZO,1.0904,16.375,16.375,16.75,16.1875,2233.3797,16.75,10.7051,50.1694,0.0,48.9652,2.6957,0.0,56.9278,56.9278,2.3308,1.8965,1.7089,2237.6617,28.2013,24.9541,0.0,0.0,2.7357,0.0,0.2824,4.0,0.0,1.0,0.0,0.0,0.0,16.75,16.75,16.1875,1.1296,0.0
14,1992-01-20,NYSE:AZO,1.0904,15.9688,15.9688,16.4375,15.9063,2177.9714,16.4375,10.4395,48.9248,0.0,47.7504,2.6288,0.0,50.2786,50.2786,2.3308,1.8965,1.7089,2182.2534,27.503,24.3362,0.0,0.0,2.6679,0.0,0.3036,4.0,0.0,1.0,0.0,0.0,0.0,16.4375,16.4375,15.9063,1.2144,0.0
15,1992-01-21,NYSE:AZO,1.0904,15.4063,15.4063,15.9063,15.125,2101.2523,15.9063,10.0718,47.2014,0.0,46.0684,2.5362,0.0,42.8208,42.8208,2.3308,1.8965,1.7089,2105.5343,26.5361,23.4807,0.0,0.0,2.5741,0.0,0.5424,4.0,0.0,1.0,0.0,0.0,0.0,15.9063,15.9063,15.125,2.1696,0.0
16,1992-01-22,NYSE:AZO,1.0904,15.5625,15.5625,15.5625,14.7813,2122.5632,15.4063,10.1739,47.6801,0.0,46.5357,2.562,0.0,45.2502,45.2502,2.3308,1.8965,1.7089,2126.8452,26.8047,23.7183,0.0,0.0,2.6002,0.0,0.5072,4.0,0.0,1.0,0.0,0.0,0.0,15.4063,15.5625,14.7813,2.0288,0.0
17,1992-01-23,NYSE:AZO,1.0904,15.8125,15.8125,16.375,15.625,2156.6606,15.625,10.3374,48.4461,0.0,47.2832,2.6031,0.0,48.9849,48.9849,2.3308,1.8965,1.7089,2160.9426,27.2344,24.0986,0.0,0.0,2.6419,0.0,0.8068,4.0,0.0,1.0,0.0,0.0,0.0,15.625,16.375,15.625,3.2272,0.0
18,1992-01-24,NYSE:AZO,1.1168,16.0625,16.0625,16.125,15.875,2190.758,15.875,10.5008,49.212,0.0,48.0308,2.6443,0.0,52.4761,52.4761,2.3308,1.8965,1.7089,2195.04,27.6642,24.4788,0.0,0.0,2.6836,0.0,0.352,4.0,0.0,1.0,0.0,0.0,0.0,15.875,16.125,15.875,1.408,0.0
19,1992-01-27,NYSE:AZO,1.1168,16.0625,16.0625,16.2188,16.0313,2190.758,8.1875,10.5008,49.212,0.0,48.0308,2.6443,0.0,52.4761,52.4761,2.3308,1.8965,1.7089,2195.04,27.6642,24.4788,0.0,0.0,2.6836,0.0,0.2056,4.0,0.0,1.0,0.0,0.0,0.0,8.1875,16.2188,16.0313,0.8224,0.0
20,1992-01-28,NYSE:AZO,1.1168,16.4375,16.4375,16.4688,16.0625,2241.9041,8.1563,10.7459,50.3609,0.0,49.1521,2.706,0.0,57.532,57.532,2.3308,1.8965,1.7089,2246.1861,28.3088,25.0492,0.0,0.0,2.7461,0.0,0.216,4.0,0.0,1.0,0.0,0.0,0.0,8.1563,16.4688,16.0625,0.864,0.0
21,1992-01-29,NYSE:AZO,1.1168,16.125,16.125,16.9688,16.125,2199.2823,16.4375,10.5417,49.4035,0.0,48.2177,2.6546,0.0,52.5179,52.5179,2.3308,1.8965,1.7089,2203.5643,27.7716,24.5739,0.0,0.0,2.694,0.0,0.464,4.0,0.0,1.0,0.0,0.0,0.0,16.4375,16.9688,16.125,1.856,0.0
22,1992-01-30,NYSE:AZO,1.1168,16.5,16.5,16.5,16.2188,2250.4284,8.2813,10.7868,50.5524,0.0,49.339,2.7163,0.0,57.3244,57.3244,2.3308,1.8965,1.7089,2254.7104,28.4162,25.1443,0.0,0.0,2.7565,0.0,0.2164,4.0,0.0,1.0,0.0,0.0,0.0,8.2813,16.5,16.2188,0.8656,0.0
23,1992-01-31,NYSE:AZO,1.0231,17.0625,17.0625,17.1875,16.6875,2327.1476,8.5,11.1545,52.2758,0.0,51.021,2.8089,0.0,63.3221,63.3221,2.3308,1.8965,1.7089,2331.4296,29.3831,25.9998,0.0,0.0,2.8503,0.0,0.6168,4.0,0.0,1.0,0.0,0.0,0.0,8.5,17.1875,16.6875,2.4672,0.0
24,1992-02-03,NYSE:AZO,1.0231,17.8125,17.8125,18.0625,17.5,2429.4398,17.5,11.6448,54.5736,0.0,53.2637,2.9324,0.0,69.4809,69.4809,2.9469,1.8965,2.1606,2433.7218,30.6723,27.1406,0.0,0.0,2.9754,0.0,0.6664,2.0,33637.0,2.0,0.0,0.0,0.0,17.5,18.0625,17.5,1.3328,0.0
25,1992-02-04,NYSE:AZO,1.0231,18.75,18.75,18.75,17.875,2557.305,17.875,12.2577,57.4459,0.0,56.0671,3.0867,0.0,75.1076,75.1076,2.9469,1.8965,2.1606,2561.587,32.2838,28.5665,0.0,0.0,3.1317,0.0,0.6478,2.0,33637.0,2.0,0.0,0.0,0.0,17.875,18.75,17.875,1.2956,0.0
26,1992-02-05,NYSE:AZO,1.0231,20.0,20.0,20.1875,18.5625,2727.792,18.875,13.0749,61.2756,0.0,59.8049,3.2925,0.0,80.318,80.318,2.9469,1.8965,2.1606,2732.074,34.4324,30.4678,0.0,0.0,3.3401,0.0,0.7982,2.0,33637.0,2.0,0.0,0.0,0.0,18.875,20.1875,18.5625,1.5964,0.0
27,1992-02-06,NYSE:AZO,1.0231,20.4375,20.4375,21.0,20.0,2787.4625,20.0625,13.3609,62.616,0.0,61.1131,3.3645,0.0,81.7573,81.7573,2.9469,1.8965,2.1606,2791.7445,35.1844,31.1332,0.0,0.0,3.4131,0.0,0.6888,2.0,33637.0,2.0,0.0,0.0,0.0,20.0625,21.0,20.0,1.3776,0.0
28,1992-02-07,NYSE:AZO,1.0645,20.0,20.0,20.5,19.375,2727.792,20.375,13.0749,61.2756,0.0,59.8049,3.2925,0.0,75.7888,75.7888,2.9469,1.8965,2.1606,2732.074,34.4324,30.4678,0.0,0.0,3.3401,0.0,0.4218,2.0,33637.0,2.0,0.0,0.0,0.0,20.375,20.5,19.375,0.8436,0.0
29,1992-02-10,NYSE:AZO,1.0645,19.9375,19.9375,19.9375,19.625,2719.2677,19.9375,13.0341,61.0842,0.0,59.618,3.2822,0.0,74.947,74.947,2.9469,1.8965,2.1606,2723.5497,34.325,30.3727,0.0,0.0,3.3297,0.0,0.2172,2.0,33637.0,2.0,0.0,0.0,0.0,19.9375,19.9375,19.625,0.4344,0.0
30,1992-02-11,NYSE:AZO,1.0645,20.0,20.0,20.3125,19.875,2727.792,19.9375,13.0749,61.2756,0.0,59.8049,3.2925,0.0,75.2431,75.2431,2.9469,1.8965,2.1606,2732.074,34.4324,30.4678,0.0,0.0,3.3401,0.0,0.1804,2.0,33637.0,2.0,0.0,0.0,0.0,19.9375,20.3125,19.875,0.3608,0.0
31,1992-02-12,NYSE:AZO,1.0645,19.1875,19.1875,19.75,18.75,2616.9755,19.75,12.5437,58.7863,0.0,57.3753,3.1587,0.0,64.5601,64.5601,2.9469,1.8965,2.1606,2621.2575,33.0358,29.2319,0.0,0.0,3.2046,0.0,0.4656,2.0,33637.0,2.0,0.0,0.0,0.0,19.75,19.75,18.75,0.9312,0.0
32,1992-02-13,NYSE:AZO,1.0645,18.75,18.75,19.125,18.75,2557.305,19.0,12.2577,57.4459,0.0,56.0671,3.0867,0.0,59.6491,59.6491,2.9469,1.8965,2.1606,2561.587,32.2838,28.5665,0.0,0.0,3.1317,0.0,0.2382,2.0,33637.0,2.0,0.0,0.0,0.0,19.0,19.125,18.75,0.4764,0.0
33,1992-02-14,NYSE:AZO,1.057,18.9375,18.9375,18.9375,18.5625,2582.8781,18.8125,12.3803,58.0204,0.0,56.6277,3.1176,0.0,61.0178,61.0178,2.9469,1.8965,2.1606,2587.1601,32.6061,28.8517,0.0,0.0,3.1629,0.0,0.139,2.0,33637.0,2.0,0.0,0.0,0.0,18.8125,18.9375,18.5625,0.278,0.0
34,1992-02-17,NYSE:AZO,1.057,0.0,18.9375,0.0,0.0,2582.8781,0.0,12.3803,58.0204,0.0,56.6277,3.1176,0.0,61.0178,61.0178,2.9469,1.8965,2.1606,2587.1601,32.6061,28.8517,0.0,0.0,3.1629,0.0,0.0,2.0,33637.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1992-02-18,NYSE:AZO,1.057,18.0,18.0,18.875,17.8125,2455.0128,18.75,11.7674,55.1481,0.0,53.8244,2.9632,0.0,51.5948,51.5948,2.9469,1.8965,2.1606,2459.2948,30.9946,27.4258,0.0,0.0,3.0066,0.0,0.2378,2.0,33637.0,2.0,0.0,0.0,0.0,18.75,18.875,17.8125,0.4756,0.0
36,1992-02-19,NYSE:AZO,1.057,18.1875,18.1875,18.1875,17.0625,2480.5859,17.75,11.89,55.7225,0.0,54.385,2.9941,0.0,53.153,53.153,2.9469,1.8965,2.1606,2484.8679,31.3169,27.7109,0.0,0.0,3.0379,0.0,0.3624,2.0,33637.0,2.0,0.0,0.0,0.0,17.75,18.1875,17.0625,0.7248,0.0
37,1992-02-20,NYSE:AZO,1.057,18.8125,18.8125,19.1875,18.4375,2565.8294,18.4375,12.2986,57.6374,0.0,56.2539,3.097,0.0,58.0058,58.0058,2.9469,1.8965,2.1606,2570.1114,32.3912,28.6616,0.0,0.0,3.1421,0.0,0.1936,2.0,33637.0,2.0,0.0,0.0,0.0,18.4375,19.1875,18.4375,0.3872,0.0
38,1992-02-21,NYSE:AZO,1.0528,19.5,19.5,19.5,18.875,2659.5972,18.875,12.748,59.7438,0.0,58.3097,3.2102,0.0,62.5957,62.5957,2.9469,1.8965,2.1606,2663.8792,33.573,29.7073,0.0,0.0,3.2567,0.0,0.2684,2.0,33637.0,2.0,0.0,0.0,0.0,18.875,19.5,18.875,0.5368,0.0
39,1992-02-24,NYSE:AZO,1.0528,19.1875,19.1875,19.4375,19.0625,2616.9755,19.4375,12.5437,58.7863,0.0,57.3753,3.1587,0.0,59.4167,59.4167,2.9469,1.8965,2.1606,2621.2575,33.0358,29.2319,0.0,0.0,3.2046,0.0,0.1978,2.0,33637.0,2.0,0.0,0.0,0.0,19.4375,19.4375,19.0625,0.3956,0.0
40,1992-02-25,NYSE:AZO,1.0528,18.4375,18.4375,19.1875,18.375,2514.6833,19.1875,12.0534,56.4885,0.0,55.1326,3.0353,0.0,52.5225,52.5225,2.9469,1.8965,2.1606,2518.9653,31.7466,28.0912,0.0,0.0,3.0796,0.0,0.197,2.0,33637.0,2.0,0.0,0.0,0.0,19.1875,19.1875,18.375,0.394,0.0
41,1992-02-26,NYSE:AZO,1.0528,19.1875,19.1875,19.25,18.6875,2616.9755,18.6875,12.5437,58.7863,0.0,57.3753,3.1587,0.0,57.7962,57.7962,2.9469,1.8965,2.1606,2621.2575,33.0358,29.2319,0.0,0.0,3.2046,0.0,0.2706,2.0,33637.0,2.0,0.0,0.0,0.0,18.6875,19.25,18.6875,0.5412,0.0
42,1992-02-27,NYSE:AZO,1.0528,19.9375,19.9375,19.9375,19.0625,2719.2677,19.0625,13.0341,61.0842,0.0,59.618,3.2822,0.0,62.3053,62.3053,2.9469,1.8965,2.1606,2723.5497,34.325,30.3727,0.0,0.0,3.3297,0.0,0.3284,2.0,33637.0,2.0,0.0,0.0,0.0,19.0625,19.9375,19.0625,0.6568,0.0
43,1992-02-28,NYSE:AZO,1.0503,19.3125,19.3125,20.0,19.1875,2634.0242,19.9375,12.6255,59.1693,0.0,57.7491,3.1793,0.0,56.854,56.854,2.9469,1.8965,2.1606,2638.3062,33.2507,29.4221,0.0,0.0,3.2255,0.0,0.2516,2.0,33637.0,2.0,0.0,0.0,0.0,19.9375,20.0,19.1875,0.5032,0.0
