,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:BBY,0.0428,0.6111,0.4072,0.6435,0.5972,182.5887,0.6204,0.0,0.0,0.0,0.0,0.0,0.0,32.0838,32.0838,3.9397,4.4067,1.3186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2856,27.0,31832.0,1.5,0.0,0.0,0.0,0.4133969563082965,0.4287893961708395,0.39793788250695467,169.7112,0.0
1,1992-01-01,NYSE:BBY,0.0428,0.0,0.4072,0.0,0.0,182.5887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0838,32.0838,3.9397,4.4067,1.3186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,31832.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:BBY,0.0428,0.588,0.3918,0.6204,0.5833,175.6725,0.6204,0.0,0.0,0.0,0.0,0.0,0.0,30.778,30.778,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2113,27.0,31832.0,1.5,0.0,0.0,0.0,0.41338897959183674,0.41338897959183674,0.3886682653061225,59.7051,0.0
3,1992-01-03,NYSE:BBY,0.0359,0.5926,0.3949,0.6157,0.5833,177.0558,0.5926,0.0,0.0,0.0,0.0,0.0,0.0,31.3796,31.3796,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158,27.0,31832.0,1.5,0.0,0.0,0.0,0.3949,0.4102935032062099,0.3887026155923051,112.266,0.0
4,1992-01-06,NYSE:BBY,0.0359,0.6111,0.4072,0.6157,0.6019,182.5887,0.6065,0.0,0.0,0.0,0.0,0.0,0.0,33.8556,33.8554,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6504,27.0,31832.0,1.5,0.0,0.0,0.0,0.40413483881525125,0.4102651611847488,0.4010696776305024,98.5608,0.0
5,1992-01-07,NYSE:BBY,0.0359,0.6157,0.4103,0.6157,0.6065,183.972,0.6111,0.0,0.0,0.0,0.0,0.0,0.0,34.492,34.4919,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9727,27.0,31832.0,1.5,0.0,0.0,0.0,0.4072345785285041,0.4103,0.4041691570570083,80.2629,0.0
6,1992-01-08,NYSE:BBY,0.0359,0.7546,0.5028,0.8056,0.7176,225.4696,0.8056,0.0,0.0,0.0,0.0,0.0,0.0,50.0259,50.0259,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9402,27.0,31832.0,1.5,0.0,0.0,0.0,0.5367819772064669,0.5367819772064669,0.47814640869334746,592.3854,0.0
7,1992-01-09,NYSE:BBY,0.0359,0.8704,0.5799,0.9074,0.7732,260.0506,0.7732,0.0,0.0,0.0,0.0,0.0,0.0,58.7947,58.7947,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4944,27.0,31832.0,1.5,0.0,0.0,0.0,0.5151409466911765,0.6045510799632352,0.5151409466911765,661.3488,0.0
8,1992-01-10,NYSE:BBY,-0.1225,0.838,0.5583,0.8796,0.8056,250.368,0.8611,0.0,0.0,0.0,0.0,0.0,0.0,55.8402,55.8402,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4291,27.0,31832.0,1.5,0.0,0.0,0.0,0.573689892601432,0.5860151312649166,0.5367141766109785,308.5857,0.0
9,1992-01-13,NYSE:BBY,-0.1225,0.8241,0.5491,0.838,0.8148,246.2182,0.838,0.0,0.0,0.0,0.0,0.0,0.0,54.5745,54.5745,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2336,27.0,31832.0,1.5,0.0,0.0,0.0,0.5583616066011406,0.5583616066011406,0.542903385511467,114.3072,0.0
10,1992-01-14,NYSE:BBY,-0.1225,0.8426,0.5614,0.8472,0.8333,251.7513,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,56.0064,56.0064,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6619,27.0,31832.0,1.5,0.0,0.0,0.0,0.5552036790885355,0.5644648469024448,0.5552036790885355,152.8713,0.0
11,1992-01-15,NYSE:BBY,-0.1225,0.912,0.6077,0.9259,0.8519,272.4999,0.8519,0.0,0.0,0.0,0.0,0.0,0.0,60.9743,60.9743,2.1557,4.4067,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8243,27.0,31832.0,1.5,0.0,0.0,0.0,0.5676531030701755,0.6169620942982456,0.5676531030701755,292.2561,0.0
