,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:BHE,0.368,2.6667,2.4168,2.6667,2.6111,0.0,2.6111,0.0,0.0,0.0,0.0,0.0,0.0,72.5032,72.5031,0.0081,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,1.0,38811.0,1.5,0.0,0.0,0.0,2.3664103498706264,2.4168,2.3664103498706264,0.0504,0.0
1,1992-01-01,NYSE:BHE,0.368,0.0,2.4168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5032,72.5031,0.0081,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38811.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:BHE,0.368,2.5556,2.3161,2.6111,2.5,0.0,2.6111,0.0,0.0,0.0,0.0,0.0,0.0,60.8119,60.8119,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207,1.0,38811.0,1.5,0.0,0.0,0.0,2.3663987752386917,2.3663987752386917,2.265710596337455,0.0207,0.0
3,1992-01-03,NYSE:BHE,0.3329,2.4722,2.2406,2.5556,2.4167,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,53.8043,53.8043,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,1.0,38811.0,1.5,0.0,0.0,0.0,2.265795647601327,2.3161869428039807,2.1902993366232506,0.045,0.0
4,1992-01-06,NYSE:BHE,0.3329,2.4444,2.2154,2.5,2.3611,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,51.6671,51.6671,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302,1.0,38811.0,1.5,0.0,0.0,0.0,2.2657911962035673,2.2657911962035673,2.139903837342497,0.0302,0.0
5,1992-01-07,NYSE:BHE,0.3329,2.4722,2.2406,2.4722,2.3889,0.0,2.4167,0.0,0.0,0.0,0.0,0.0,0.0,53.6499,53.6498,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657,1.0,38811.0,1.5,0.0,0.0,0.0,2.1902993366232506,2.2406,2.165103689021924,0.0657,0.0
6,1992-01-08,NYSE:BHE,0.3329,2.5,2.2658,2.5,2.3056,0.0,2.4444,0.0,0.0,0.0,0.0,0.0,0.0,55.6109,55.611,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2615,1.0,38811.0,1.5,0.0,0.0,0.0,2.215408608,2.2658,2.089611392,0.2615,0.0
7,1992-01-09,NYSE:BHE,0.3329,2.6389,2.3916,2.6389,2.4722,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,63.8473,63.8473,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374,1.0,38811.0,1.5,0.0,0.0,0.0,2.2657167759293646,2.3916,2.2405220053810297,0.0374,0.0
8,1992-01-10,NYSE:BHE,0.2287,2.6667,2.4168,2.6667,2.6111,0.0,2.6389,0.0,0.0,0.0,0.0,0.0,0.0,65.2366,65.2366,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,1.0,38811.0,1.5,0.0,0.0,0.0,2.391605174935313,2.4168,2.3664103498706264,0.0135,0.0
9,1992-01-13,NYSE:BHE,0.2287,2.7222,2.4672,2.8333,2.6944,0.0,2.7222,0.0,0.0,0.0,0.0,0.0,0.0,67.894,67.894,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,1.0,38811.0,1.5,0.0,0.0,0.0,2.4672,2.5678927925942254,2.4420041437072957,0.0833,0.0
10,1992-01-14,NYSE:BHE,0.2287,3.0278,2.7441,3.0556,2.8333,0.0,2.8889,0.0,0.0,0.0,0.0,0.0,0.0,77.9002,77.9002,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019,1.0,38811.0,1.5,0.0,0.0,0.0,2.6182147070480215,2.7692951846224982,2.567824337803025,0.4019,0.0
11,1992-01-15,NYSE:BHE,0.2287,3.1667,2.87,3.1944,3.0556,0.0,3.1111,0.0,0.0,0.0,0.0,0.0,0.0,80.8255,80.8255,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2709,1.0,38811.0,1.5,0.0,0.0,0.0,2.8196093725329208,2.8951046831085985,2.7693093756907823,0.2709,0.0
12,1992-01-16,NYSE:BHE,0.2287,3.3056,2.9958,3.3889,3.1389,0.0,3.2222,0.0,0.0,0.0,0.0,0.0,0.0,83.2178,83.2178,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,1.0,38811.0,1.5,0.0,0.0,0.0,2.9202162270087126,3.071293144966118,2.8447230820425946,0.0779,0.0
13,1992-01-17,NYSE:BHE,0.2285,3.3611,3.0462,3.4444,3.2778,0.0,3.3056,0.0,0.0,0.0,0.0,0.0,0.0,84.0737,84.0738,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,1.0,38811.0,1.5,0.0,0.0,0.0,2.9958997709083333,3.1216956591592036,2.970704340840796,0.194,0.0
14,1992-01-20,NYSE:BHE,0.2285,3.3333,3.021,3.4167,3.3333,0.0,3.4167,0.0,0.0,0.0,0.0,0.0,0.0,81.8265,81.8264,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468,1.0,38811.0,1.5,0.0,0.0,0.0,3.0965861758617588,3.0965861758617588,3.021,0.0468,0.0
15,1992-01-21,NYSE:BHE,0.2285,3.1389,2.8448,3.2778,3.1389,0.0,3.2778,0.0,0.0,0.0,0.0,0.0,0.0,68.1037,68.1037,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423,1.0,38811.0,1.5,0.0,0.0,0.0,2.9706857306699805,2.9706857306699805,2.8448,0.0423,0.0
16,1992-01-22,NYSE:BHE,0.2285,3.25,2.9455,3.2778,3.0833,0.0,3.1111,0.0,0.0,0.0,0.0,0.0,0.0,71.0876,71.0876,0.0018,1.5818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576,1.0,38811.0,1.5,0.0,0.0,0.0,2.819613861538462,2.970695353846154,2.7944185076923076,0.0576,0.0
