,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:BRC,0.7658,5.25,2.7581,5.25,5.1667,188.5538,5.1667,1.6775,14.7183,0.0,15.8785,1.0556,38.3695,55.3123,55.3379,0.0,1.4661,0.0,159.1838,7.8984,5.7609,0.0,0.0,0.7542,0.0,0.0168,1.0,38355.0,2.0,0.0,0.0,0.0,2.714338146666667,2.7581,2.714338146666667,0.0168,0.0
1,1992-01-01,NYSE:BRC,0.7658,0.0,2.7581,0.0,0.0,188.5538,0.0,1.6775,14.7183,0.0,15.8785,1.0556,38.3695,55.3123,55.3379,0.0,1.4661,0.0,159.1838,7.8984,5.7609,0.0,0.0,0.7542,0.0,0.0,1.0,38355.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:BRC,0.7658,5.25,2.7581,5.25,5.0,188.5538,5.0,1.6775,14.7183,0.0,15.8785,1.0556,38.6351,55.3123,55.3379,0.0,1.4661,0.0,159.1838,7.8984,5.7609,0.0,0.0,0.7542,0.0,0.0108,1.0,38355.0,2.0,0.0,0.0,0.0,2.6267619047619046,2.7581,2.6267619047619046,0.0108,0.0
3,1992-01-03,NYSE:BRC,0.7936,5.25,2.7581,5.25,5.25,188.5538,5.25,1.6775,14.7183,0.0,15.8785,1.0556,38.6351,55.3123,55.3379,0.0,1.4661,0.0,159.1838,7.8984,5.7609,0.0,0.0,0.7542,0.0,0.012,1.0,38355.0,2.0,0.0,0.0,0.0,2.7581,2.7581,2.7581,0.012,0.0
4,1992-01-06,NYSE:BRC,0.7936,5.0833,2.6825,5.25,5.0833,182.5679,5.25,1.6242,14.251,0.0,15.3744,1.0221,39.032,48.2489,49.1226,0.0,1.4661,0.0,153.1979,7.6014,5.5442,0.0,0.0,0.7258,0.0,0.0126,1.0,38355.0,2.0,0.0,0.0,0.0,2.7704689866818795,2.7704689866818795,2.6825,0.0126,0.023
5,1992-01-07,NYSE:BRC,0.7936,5.4167,2.8584,5.4167,5.3333,194.5396,5.3333,1.7307,15.1855,0.0,16.3826,1.0891,41.1855,59.4124,60.2921,0.0,1.4661,0.0,165.1696,8.1954,5.9775,0.0,0.0,0.7826,0.0,0.0138,1.0,38355.0,2.0,0.0,0.0,0.0,2.8143897059095027,2.8584,2.8143897059095027,0.0138,0.0
6,1992-01-08,NYSE:BRC,0.7936,5.5,2.9023,5.5,5.5,197.5325,5.5,1.7573,15.4191,0.0,16.6346,1.1059,41.3152,61.6402,62.5081,0.0,1.4661,0.0,168.1625,8.3439,6.0858,0.0,0.0,0.7967,0.0,0.0264,1.0,38355.0,2.0,0.0,0.0,0.0,2.9023,2.9023,2.9023,0.0264,0.0
7,1992-01-09,NYSE:BRC,0.7936,5.4583,2.8803,5.7917,5.375,196.036,5.5,1.744,15.3023,0.0,16.5086,1.0975,41.2045,59.8707,60.6846,0.0,1.4661,0.0,166.666,8.2696,6.0316,0.0,0.0,0.7897,0.0,0.0846,1.0,38355.0,2.0,0.0,0.0,0.0,2.902304746899218,3.056232436839309,2.836343275378781,0.0846,0.0
8,1992-01-10,NYSE:BRC,0.7032,5.75,3.0343,5.75,5.4583,206.5113,5.4583,1.8372,16.12,0.0,17.3907,1.1562,42.305,67.01,67.7723,0.0,1.4661,0.0,177.1413,8.7894,6.4107,0.0,0.0,0.8393,0.0,0.1482,1.0,38355.0,2.0,0.0,0.0,0.0,2.8803686417391305,3.0343,2.8803686417391305,0.1482,0.0
9,1992-01-13,NYSE:BRC,0.7032,5.6667,2.9903,5.6875,5.4167,203.5183,5.6875,1.8106,15.8864,0.0,17.1387,1.1394,42.0314,63.5322,64.2105,0.0,1.4661,0.0,174.1483,8.6409,6.3024,0.0,0.0,0.8251,0.0,0.0384,1.0,38355.0,2.0,0.0,0.0,0.0,3.0012760954347333,3.0012760954347333,2.858375776024847,0.0384,0.0
