,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:CAG,1.0373,17.75,5.5037,18.25,17.1875,7997.582,17.75,0.0,0.0,0.0,0.0,0.0,0.0,70.8742,70.9302,8.1044,1.9495,1.7987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8394,2.0,33574.0,1.5,0.0,0.0,0.0,5.5037,5.658733802816902,5.329286971830986,1.6788,0.0
1,1992-01-01,NYSE:CAG,1.0373,0.0,5.5037,0.0,0.0,7997.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8742,70.9302,8.1044,1.9495,1.7987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33574.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:CAG,1.0373,17.6875,5.4843,17.6875,17.25,8175.5519,17.5625,0.0,0.0,0.0,0.0,0.0,0.0,69.4969,69.5506,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8982,2.0,33574.0,1.5,0.0,0.0,0.0,5.445541696113074,5.4843,5.34864593639576,1.7964,0.0
3,1992-01-03,NYSE:CAG,0.9805,17.875,5.5424,17.875,17.5625,8262.2185,17.6875,0.0,0.0,0.0,0.0,0.0,0.0,71.2989,71.3508,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9104,2.0,33574.0,1.5,0.0,0.0,0.0,5.484262937062937,5.5424,5.445504895104895,1.8208,0.0
4,1992-01-06,NYSE:CAG,0.9805,17.75,5.5037,17.8125,17.625,8204.4408,17.8125,0.0,0.0,0.0,0.0,0.0,0.0,68.3978,68.4455,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5532,2.0,33574.0,1.5,0.0,0.0,0.0,5.523079225352114,5.523079225352114,5.464941549295775,1.1064,0.0
5,1992-01-07,NYSE:CAG,0.9805,17.375,5.3874,17.5625,17.1875,8031.1075,17.4375,0.0,0.0,0.0,0.0,0.0,0.0,60.4511,60.4879,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1746,2.0,33574.0,1.5,0.0,0.0,0.0,5.4067791366906475,5.4455374100719425,5.3292625899280575,2.3492,0.0
6,1992-01-08,NYSE:CAG,0.9805,17.375,5.3874,17.5625,17.0625,8031.1075,17.1875,0.0,0.0,0.0,0.0,0.0,0.0,60.4511,60.4879,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3858,2.0,33574.0,1.5,0.0,0.0,0.0,5.3292625899280575,5.4455374100719425,5.290504316546763,2.7716,0.0
7,1992-01-09,NYSE:CAG,0.9805,17.75,5.5037,17.8125,17.4375,8204.4408,17.4375,0.0,0.0,0.0,0.0,0.0,0.0,65.1474,65.1826,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897,2.0,33574.0,1.5,0.0,0.0,0.0,5.406803873239437,5.523079225352114,5.406803873239437,1.794,0.0
8,1992-01-10,NYSE:CAG,0.9842,17.5,5.4262,17.75,17.3125,8088.8853,17.6875,0.0,0.0,0.0,0.0,0.0,0.0,60.0296,60.0593,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0176,2.0,33574.0,1.5,0.0,0.0,0.0,5.484337857142856,5.503717142857142,5.368062142857143,2.0352,0.0
9,1992-01-13,NYSE:CAG,0.9842,17.25,5.3487,17.5625,17.1875,7973.3298,17.4375,0.0,0.0,0.0,0.0,0.0,0.0,55.3473,55.3724,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796,2.0,33574.0,1.5,0.0,0.0,0.0,5.4068380434782615,5.445596739130435,5.329320652173913,1.3592,0.0
10,1992-01-14,NYSE:CAG,0.9842,17.4375,5.4068,17.5,17.0625,8059.9964,17.125,0.0,0.0,0.0,0.0,0.0,0.0,57.9937,58.0185,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8618,2.0,33574.0,1.5,0.0,0.0,0.0,5.30990394265233,5.426179211469533,5.290524731182796,1.7236,0.0
11,1992-01-15,NYSE:CAG,0.9842,17.5625,5.4455,17.6875,17.3125,8117.7742,17.4375,0.0,0.0,0.0,0.0,0.0,0.0,59.7081,59.7327,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592,2.0,33574.0,1.5,0.0,0.0,0.0,5.406741992882562,5.484258007117438,5.367983985765125,1.184,0.0
12,1992-01-16,NYSE:CAG,0.9842,17.0625,5.2905,17.4375,16.875,7886.6632,17.4375,0.0,0.0,0.0,0.0,0.0,0.0,50.7804,50.7978,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0252,2.0,33574.0,1.5,0.0,0.0,0.0,5.406774725274724,5.406774725274724,5.2323626373626375,2.0504,0.0
13,1992-01-17,NYSE:CAG,1.0407,17.25,5.3487,17.4375,17.0625,7973.3298,17.1875,0.0,0.0,0.0,0.0,0.0,0.0,53.5832,53.6007,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6786,2.0,33574.0,1.5,0.0,0.0,0.0,5.329320652173913,5.4068380434782615,5.2905619565217386,1.3572,0.0
14,1992-01-20,NYSE:CAG,1.0407,17.25,5.3487,17.25,16.9375,7973.3298,17.1875,0.0,0.0,0.0,0.0,0.0,0.0,53.5832,53.6007,4.7905,1.9495,1.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4602,2.0,33574.0,1.5,0.0,0.0,0.0,5.329320652173913,5.3487,5.251803260869566,0.9204,0.0
