,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:CAT,1.1619,5.4844,2.6657,5.5,5.2969,4427.4705,5.3438,0.0,0.0,0.0,0.0,0.0,0.0,60.1034,60.1361,7.9249,0.8826,0.9817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1,38547.0,2.0,0.0,0.0,0.0,2.5973611808037345,2.6732824009919045,2.574565372693458,1.78,0.0
1,1992-01-01,NYSE:CAT,1.1619,0.0,2.6657,0.0,0.0,4427.4705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1034,60.1361,7.9249,0.8826,0.9817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38547.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:CAT,1.1619,5.4531,2.6505,5.5625,5.3594,4402.2427,5.4844,0.0,0.0,0.0,0.0,0.0,0.0,58.6188,58.65,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7992,1,38547.0,2.0,0.0,0.0,0.0,2.6657134840732795,2.703674286185839,2.6049567585410136,1.7992,0.0
3,1992-01-03,NYSE:CAT,1.1522,5.4375,2.6429,5.5625,5.4219,4389.6289,5.4844,0.0,0.0,0.0,0.0,0.0,0.0,57.8493,57.8798,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7488,1,38547.0,2.0,0.0,0.0,0.0,2.665695771954023,2.7036563218390803,2.6353176110344827,2.7488,0.0
4,1992-01-06,NYSE:CAT,1.1522,5.4531,2.6505,5.6094,5.4375,4402.2427,5.4844,0.0,0.0,0.0,0.0,0.0,0.0,58.4369,58.4671,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5872,1,38547.0,2.0,0.0,0.0,0.0,2.6657134840732795,2.7264702096055458,2.6429175606535735,1.5872,0.0
5,1992-01-07,NYSE:CAT,1.1522,5.4844,2.6657,5.5,5.4219,4427.4705,5.4219,0.0,0.0,0.0,0.0,0.0,0.0,59.6483,59.6782,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4408,1,38547.0,2.0,0.0,0.0,0.0,2.6353217908978195,2.6732824009919045,2.6353217908978195,1.4408,0.0
6,1992-01-08,NYSE:CAT,1.1522,5.4531,2.6505,5.5,5.4531,4402.2427,5.4531,0.0,0.0,0.0,0.0,0.0,0.0,57.833,57.8612,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9216,1,38547.0,2.0,0.0,0.0,0.0,2.6505,2.673295923419706,2.6505,2.9216,0.0
7,1992-01-09,NYSE:CAT,1.1522,5.4531,2.6505,5.4844,5.4219,4402.2427,5.4688,0.0,0.0,0.0,0.0,0.0,0.0,57.833,57.8612,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.564,1,38547.0,2.0,0.0,0.0,0.0,2.6581310447268525,2.6657134840732795,2.6353351213071465,1.564,0.0
8,1992-01-10,NYSE:CAT,1.2047,5.3906,2.6201,5.4531,5.375,4351.7872,5.4219,0.0,0.0,0.0,0.0,0.0,0.0,54.0196,54.0445,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8912,1,38547.0,2.0,0.0,0.0,0.0,2.635313358438763,2.6504781118984897,2.612517623270137,1.8912,0.0
9,1992-01-13,NYSE:CAT,1.2047,5.2188,2.5366,5.375,5.2188,4213.0346,5.375,0.0,0.0,0.0,0.0,0.0,0.0,45.1941,45.2123,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,1,38547.0,2.0,0.0,0.0,0.0,2.61252107764237,2.61252107764237,2.5366,2.84,0.0
10,1992-01-14,NYSE:CAT,1.2047,5.3281,2.5991,5.3281,5.1563,4301.3317,5.1563,0.0,0.0,0.0,0.0,0.0,0.0,50.7125,51.5869,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7208,1,38547.0,2.0,0.0,0.0,0.0,2.515294256864548,2.5991,2.515294256864548,2.7208,0.019
11,1992-01-15,NYSE:CAT,1.2047,5.6406,2.7515,5.6719,5.3906,4553.6092,5.4375,0.0,0.0,0.0,0.0,0.0,0.0,62.3706,62.9192,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.092,1,38547.0,2.0,0.0,0.0,0.0,2.6524272683757046,2.766768225011524,2.6295493209942205,4.092,0.0
12,1992-01-16,NYSE:CAT,1.2047,5.8906,2.8735,5.9688,5.625,4755.4313,5.625,0.0,0.0,0.0,0.0,0.0,0.0,68.7407,69.1422,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2536,1,38547.0,2.0,0.0,0.0,0.0,2.7439373748005296,2.911646827148338,2.7439373748005296,6.2536,0.0
13,1992-01-17,NYSE:CAT,1.5207,5.9375,2.8963,5.9531,5.875,4793.2729,5.9219,0.0,0.0,0.0,0.0,0.0,0.0,69.7739,70.1536,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5312,1,38547.0,2.0,0.0,0.0,0.0,2.8886903528421053,2.903909647157895,2.8658126315789474,4.5312,0.0
14,1992-01-20,NYSE:CAT,1.5207,6.0313,2.9421,6.0469,5.8438,4868.9561,5.9219,0.0,0.0,0.0,0.0,0.0,0.0,71.7827,72.1217,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.936,1,38547.0,2.0,0.0,0.0,0.0,2.888734102100708,2.949709762406115,2.8506365095418897,4.936,0.0
15,1992-01-21,NYSE:CAT,1.5207,5.8438,2.8506,5.9531,5.7344,4717.5896,5.9531,0.0,0.0,0.0,0.0,0.0,0.0,62.7942,63.1525,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636,1,38547.0,2.0,0.0,0.0,0.0,2.9039164345117907,2.9039164345117907,2.797234785584722,5.636,0.0
16,1992-01-22,NYSE:CAT,1.5207,5.8594,2.8582,5.8906,5.7188,4730.2035,5.8125,0.0,0.0,0.0,0.0,0.0,0.0,63.2076,63.5592,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,1,38547.0,2.0,0.0,0.0,0.0,2.835322302624842,2.8734192784244126,2.789615687613066,3.18,0.0
17,1992-01-23,NYSE:CAT,1.5207,5.8594,2.8582,5.8906,5.7813,4730.2035,5.8281,0.0,0.0,0.0,0.0,0.0,0.0,63.2076,63.5592,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7552,1,38547.0,2.0,0.0,0.0,0.0,2.8429319418370484,2.8734192784244126,2.82010302420043,2.7552,0.0
18,1992-01-24,NYSE:CAT,1.5021,5.8438,2.8506,5.8906,5.8281,4717.5896,5.8281,0.0,0.0,0.0,0.0,0.0,0.0,62.4034,62.7559,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3328,1,38547.0,2.0,0.0,0.0,0.0,2.8429415551524695,2.87342899483213,2.8429415551524695,1.3328,0.0
19,1992-01-27,NYSE:CAT,1.5021,5.9375,2.8963,5.9375,5.8594,4793.2729,5.8594,0.0,0.0,0.0,0.0,0.0,0.0,65.2596,65.5679,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6344,1,38547.0,2.0,0.0,0.0,0.0,2.8582029844210526,2.8963,2.8582029844210526,1.6344,0.0
20,1992-01-28,NYSE:CAT,1.5021,5.8438,2.8506,5.9375,5.8125,4717.5896,5.9375,0.0,0.0,0.0,0.0,0.0,0.0,60.3242,60.6375,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1936,1,38547.0,2.0,0.0,0.0,0.0,2.896306769567747,2.896306769567747,2.835331890208426,2.1936,0.0
21,1992-01-29,NYSE:CAT,1.5021,5.7969,2.8277,5.8281,5.7813,4679.748,5.8281,0.0,0.0,0.0,0.0,0.0,0.0,57.9638,58.2778,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.416,1,38547.0,2.0,0.0,0.0,0.0,2.842919210267557,2.842919210267557,2.8200903948662215,3.416,0.0
22,1992-01-30,NYSE:CAT,1.5021,5.8438,2.8506,5.8438,5.7813,4717.5896,5.7969,0.0,0.0,0.0,0.0,0.0,0.0,59.6635,59.956,9.1974,0.8826,1.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3792,1,38547.0,2.0,0.0,0.0,0.0,2.8277222252643828,2.8506,2.8201125603203394,1.3792,0.0
