,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:CL.1,0.9479,6.1094,3.2505,6.1094,6.0469,8364.832,6.0781,0.0,0.0,0.0,0.0,0.0,0.0,78.9269,79.0148,4.9393,1.081,0.3608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3056,8.0,33374.0,2.0,0.0,0.0,0.0,3.2338468671227947,3.2505,3.21724693914296,18.4448,0.0
1,1992-01-01,NYSE:CL.1,0.9479,0.0,3.2505,0.0,0.0,8364.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9269,79.0148,4.9393,1.081,0.3608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,33374.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:CL.1,0.9479,6.0469,3.2172,6.0781,5.8906,8279.2583,6.0625,0.0,0.0,0.0,0.0,0.0,0.0,73.0253,73.1,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4056,8.0,33374.0,2.0,0.0,0.0,0.0,3.2254998428947066,3.233799685789413,3.1340419586895765,19.2448,0.0
3,1992-01-03,NYSE:CL.1,0.8421,5.9844,3.1839,6.0469,5.9219,8193.6846,6.0156,0.0,0.0,0.0,0.0,0.0,0.0,67.5832,67.6466,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,8.0,33374.0,2.0,0.0,0.0,0.0,3.2004994385402044,3.217152080409064,3.150647919590936,23.2,0.0
4,1992-01-06,NYSE:CL.1,0.8421,5.9375,3.159,5.9844,5.9063,8129.5043,5.9688,0.0,0.0,0.0,0.0,0.0,0.0,63.7461,63.8023,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9504,8.0,33374.0,2.0,0.0,0.0,0.0,3.175652917894736,3.183952774736842,3.142400286315789,23.6032,0.0
5,1992-01-07,NYSE:CL.1,0.8421,5.9219,3.1507,5.9531,5.9219,8108.1108,5.9375,0.0,0.0,0.0,0.0,0.0,0.0,62.4729,62.5267,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.232,8.0,33374.0,2.0,0.0,0.0,0.0,3.1589998564649857,3.167299712929972,3.1507,17.856,0.0
6,1992-01-08,NYSE:CL.1,0.8421,6.125,3.2588,6.1406,5.8906,8386.2254,5.8906,0.0,0.0,0.0,0.0,0.0,0.0,70.6735,70.7217,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.588,8.0,33374.0,2.0,0.0,0.0,0.0,3.1340877191836736,3.2670999640816323,3.1340877191836736,36.704,0.0
7,1992-01-09,NYSE:CL.1,0.8421,6.2813,3.3419,6.3438,6.1094,8600.1598,6.1094,0.0,0.0,0.0,0.0,0.0,0.0,75.1686,75.2123,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8712,8.0,33374.0,2.0,0.0,0.0,0.0,3.2504424020505307,3.3751524716221164,3.2504424020505307,30.9696,0.0
8,1992-01-10,NYSE:CL.1,0.8102,6.2188,3.3086,6.2656,6.1563,8514.586,6.25,0.0,0.0,0.0,0.0,0.0,0.0,70.5128,70.5511,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7408,8.0,33374.0,2.0,0.0,0.0,0.0,3.325199395381746,3.3334990930726183,3.275348006046183,37.9264,0.0
9,1992-01-13,NYSE:CL.1,0.8102,6.1563,3.2754,6.25,6.1406,8429.0123,6.1563,0.0,0.0,0.0,0.0,0.0,0.0,66.1035,66.1369,5.9021,1.081,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.504,8.0,33374.0,2.0,0.0,0.0,0.0,3.2754,3.325252180692949,3.2670469665220994,20.032,0.0
