,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:CTS,0.1196,3.2292,2.3046,3.2292,3.0833,99.2775,3.0833,0.8115,13.6425,0.0,15.5114,0.3989,0.0,50.6759,52.1807,0.0,0.9474,0.0,103.6695,9.5302,4.3322,0.0,0.0,0.413,0.0,0.0228,1.0,36385.0,2.0,0.0,0.0,0.0,2.2004747863247864,2.3046,2.2004747863247864,0.0228,0.0
1,1992-01-01,NYSE:CTS,0.1196,0.0,2.3046,0.0,0.0,99.2775,0.0,0.8115,13.6425,0.0,15.5114,0.3989,0.0,50.6759,52.1807,0.0,0.9474,0.0,103.6695,9.5302,4.3322,0.0,0.0,0.413,0.0,0.0,1.0,36385.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:CTS,0.1196,3.1875,2.2749,3.1875,3.1875,97.9965,3.1875,0.801,13.4664,0.0,15.3113,0.3937,0.0,48.108,49.5884,0.0,0.9474,0.0,102.3885,9.4124,4.2787,0.0,0.0,0.4079,0.0,0.0012,1.0,36385.0,2.0,0.0,0.0,0.0,2.2749,2.2749,2.2749,0.0012,0.0
3,1992-01-03,NYSE:CTS,0.1763,3.125,2.2303,3.1667,3.125,96.075,3.1667,0.7853,13.2024,0.0,15.0111,0.386,0.0,44.4681,45.9045,0.0,0.9474,0.0,100.467,9.2358,4.1984,0.0,0.0,0.4002,0.0,0.033,1.0,36385.0,2.0,0.0,0.0,0.0,2.2600611232000003,2.2600611232000003,2.2303,0.033,0.0
4,1992-01-06,NYSE:CTS,0.1763,3.1667,2.26,3.1667,3.1458,97.357,3.1667,0.7958,13.3785,0.0,15.2114,0.3912,0.0,47.3314,48.6457,0.0,0.9474,0.0,101.749,9.3537,4.2519,0.0,0.0,0.4053,0.0,0.0108,1.0,36385.0,2.0,0.0,0.0,0.0,2.26,2.26,2.2450841570088733,0.0108,0.0
5,1992-01-07,NYSE:CTS,0.1763,3.1458,2.2451,3.1458,3.1042,96.7145,3.1458,0.7905,13.2902,0.0,15.111,0.3886,0.0,46.0498,47.3506,0.0,0.9474,0.0,101.1065,9.2946,4.2251,0.0,0.0,0.4027,0.0,0.0294,1.0,36385.0,2.0,0.0,0.0,0.0,2.2451,2.2451,2.2154108398499583,0.0294,0.0
6,1992-01-08,NYSE:CTS,0.1763,3.1042,2.2154,3.125,3.1042,95.4355,3.125,0.7801,13.1145,0.0,14.9111,0.3834,0.0,43.5237,44.7943,0.0,0.9474,0.0,99.8275,9.177,4.1717,0.0,0.0,0.3977,0.0,0.0402,1.0,36385.0,2.0,0.0,0.0,0.0,2.2302445074415305,2.2302445074415305,2.2154,0.0402,0.0
7,1992-01-09,NYSE:CTS,0.1763,3.0417,2.1708,3.1042,3.0417,93.514,3.1042,0.7644,12.8504,0.0,14.6109,0.3757,0.0,39.9756,41.1958,0.0,0.9474,0.0,97.906,9.0004,4.0914,0.0,0.0,0.39,0.0,0.0546,1.0,36385.0,2.0,0.0,0.0,0.0,2.2154049906302395,2.2154049906302395,2.1708,0.0546,0.0
8,1992-01-10,NYSE:CTS,0.181,2.9792,2.1262,3.0833,2.9375,91.5925,3.0833,0.7487,12.5864,0.0,14.3107,0.368,0.0,36.7494,37.9157,0.0,0.9474,0.0,95.9845,8.8237,4.0111,0.0,0.0,0.3823,0.0,0.0498,1.0,36385.0,2.0,0.0,0.0,0.0,2.2004942467776583,2.2004942467776583,2.096439480397422,0.0498,0.0
9,1992-01-13,NYSE:CTS,0.181,2.9583,2.1113,3.0,2.9583,90.95,2.9792,0.7434,12.4981,0.0,14.2103,0.3654,0.0,35.7114,36.8588,0.0,0.9474,0.0,95.342,8.7647,3.9842,0.0,0.0,0.3798,0.0,0.0096,1.0,36385.0,2.0,0.0,0.0,0.0,2.1262160565189467,2.141060744346415,2.1113,0.0096,0.0
