,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:CW,0.6751,3.8125,2.6726,3.8125,3.6875,153.257,3.7188,1.2436,22.2563,0.0,23.7378,0.7272,0.0,47.3681,47.8953,0.0,1.8438,0.0,178.537,5.8816,4.2389,0.0,0.0,0.8474,0.0,0.1344,1,38831.0,2.0,0.0,0.0,0.0,2.606915378360656,2.6726,2.5849737704918034,0.1344,0.0
1,1992-01-01,NYSE:CW,0.6751,0.0,2.6726,0.0,0.0,153.257,0.0,1.2436,22.2563,0.0,23.7378,0.7272,0.0,47.3681,47.8953,0.0,1.8438,0.0,178.537,5.8816,4.2389,0.0,0.0,0.8474,0.0,0.0,1,38831.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:CW,0.6751,3.7656,2.6398,3.7813,3.7188,151.3726,3.7813,1.2284,21.9826,0.0,23.4459,0.7183,0.0,43.7593,44.2059,0.0,1.8438,0.0,176.6526,5.8196,4.1941,0.0,0.0,0.8385,0.0,0.0656,1,38831.0,2.0,0.0,0.0,0.0,2.6508061769704696,2.6508061769704696,2.606991778202677,0.0656,0.0
3,1992-01-03,NYSE:CW,0.6707,3.7344,2.6179,3.75,3.7344,150.1164,3.75,1.2182,21.8002,0.0,23.2513,0.7123,0.0,41.49,41.8892,0.0,1.8438,0.0,175.3964,5.7782,4.1643,0.0,0.0,0.8325,0.0,0.0248,1,38831.0,2.0,0.0,0.0,0.0,2.6288359575835476,2.6288359575835476,2.6179,0.0248,0.0
4,1992-01-06,NYSE:CW,0.6707,3.75,2.6288,3.75,3.75,150.7445,3.75,1.2233,21.8914,0.0,23.3486,0.7153,0.0,43.0795,43.484,0.0,1.8438,0.0,176.0245,5.7989,4.1792,0.0,0.0,0.8355,0.0,0.0192,1,38831.0,2.0,0.0,0.0,0.0,2.6288,2.6288,2.6288,0.0192,0.0
5,1992-01-07,NYSE:CW,0.6707,3.7656,2.6398,3.7813,3.75,151.3726,3.75,1.2284,21.9826,0.0,23.4459,0.7183,0.0,44.6974,45.1064,0.0,1.8438,0.0,176.6526,5.8196,4.1941,0.0,0.0,0.8385,0.0,0.1008,1,38831.0,2.0,0.0,0.0,0.0,2.628863926067559,2.6508061769704696,2.628863926067559,0.1008,0.0
6,1992-01-08,NYSE:CW,0.6707,3.75,2.6288,3.7656,3.75,150.7445,0.0,1.2233,21.8914,0.0,23.3486,0.7153,0.0,43.3698,43.7537,0.0,1.8438,0.0,176.0245,5.7989,4.1792,0.0,0.0,0.8355,0.0,0.0176,1,38831.0,2.0,0.0,0.0,0.0,0.0,2.6397358079999997,2.6288,0.0176,0.0
7,1992-01-09,NYSE:CW,0.6707,3.7344,2.6179,3.7813,3.7344,150.1164,3.75,1.2182,21.8002,0.0,23.2513,0.7123,0.0,42.0256,42.385,0.0,1.8438,0.0,175.3964,5.7782,4.1643,0.0,0.0,0.8325,0.0,0.144,1,38831.0,2.0,0.0,0.0,0.0,2.6288359575835476,2.6507779750428453,2.6179,0.144,0.0
8,1992-01-10,NYSE:CW,0.603,3.7344,2.6179,3.7344,3.7188,150.1164,3.7344,1.2182,21.8002,0.0,23.2513,0.7123,0.0,42.0256,42.385,0.0,1.8438,0.0,175.3964,5.7782,4.1643,0.0,0.0,0.8325,0.0,0.0792,1,38831.0,2.0,0.0,0.0,0.0,2.6179,2.6179,2.6069640424164526,0.0792,0.0
9,1992-01-13,NYSE:CW,0.603,3.7188,2.6069,3.7344,3.6719,149.4883,3.7344,1.2131,21.709,0.0,23.1541,0.7093,0.0,40.5673,40.9011,0.0,1.8438,0.0,174.7683,5.7575,4.1494,0.0,0.0,0.8295,0.0,0.0312,1,38831.0,2.0,0.0,0.0,0.0,2.6178356889319137,2.6178356889319137,2.574022832634183,0.0312,0.0
10,1992-01-14,NYSE:CW,0.603,3.7188,2.6069,3.7344,3.7031,149.4883,3.7344,1.2131,21.709,0.0,23.1541,0.7093,0.0,40.5673,40.9011,0.0,1.8438,0.0,174.7683,5.7575,4.1494,0.0,0.0,0.8295,0.0,0.0456,1,38831.0,2.0,0.0,0.0,0.0,2.6178356889319137,2.6178356889319137,2.5958942104980105,0.0456,0.0
11,1992-01-15,NYSE:CW,0.603,3.8125,2.6726,3.8125,3.7344,153.257,3.75,1.2436,22.2563,0.0,23.7378,0.7272,0.0,52.1267,52.4787,0.0,1.8438,0.0,178.537,5.8816,4.2389,0.0,0.0,0.8474,0.0,0.0784,1,38831.0,2.0,0.0,0.0,0.0,2.6287868852459018,2.6726,2.617851131803279,0.0784,0.0
12,1992-01-16,NYSE:CW,0.603,3.7656,2.6398,3.8125,3.7656,151.3726,3.8125,1.2284,21.9826,0.0,23.4459,0.7183,0.0,47.1851,47.4712,0.0,1.8438,0.0,176.6526,5.8196,4.1941,0.0,0.0,0.8385,0.0,0.0368,1,38831.0,2.0,0.0,0.0,0.0,2.672678324835352,2.672678324835352,2.6398,0.0368,0.0
13,1992-01-17,NYSE:CW,0.7695,3.75,2.6288,3.75,3.75,150.7445,3.75,1.2233,21.8914,0.0,23.3486,0.7153,0.0,45.6322,45.8989,0.0,1.8438,0.0,176.0245,5.7989,4.1792,0.0,0.0,0.8355,0.0,0.0072,1,38831.0,2.0,0.0,0.0,0.0,2.6288,2.6288,2.6288,0.0072,0.0
14,1992-01-20,NYSE:CW,0.7695,3.75,2.6288,3.7656,3.75,150.7445,3.75,1.2233,21.8914,0.0,23.3486,0.7153,0.0,45.6322,45.8989,0.0,1.8438,0.0,176.0245,5.7989,4.1792,0.0,0.0,0.8355,0.0,0.012,1,38831.0,2.0,0.0,0.0,0.0,2.6288,2.6397358079999997,2.6288,0.012,0.0
15,1992-01-21,NYSE:CW,0.7695,3.75,2.6288,3.7813,3.75,150.7445,3.75,1.2233,21.8914,0.0,23.3486,0.7153,0.0,45.6322,45.8989,0.0,1.8438,0.0,176.0245,5.7989,4.1792,0.0,0.0,0.8355,0.0,0.016,1,38831.0,2.0,0.0,0.0,0.0,2.6288,2.6507417173333336,2.6288,0.016,0.0
16,1992-01-22,NYSE:CW,0.7695,3.7031,2.5959,3.75,3.7031,148.8602,3.75,1.208,21.6178,0.0,23.0568,0.7063,0.0,40.6228,40.8319,0.0,1.8438,0.0,174.1402,5.7368,4.1345,0.0,0.0,0.8265,0.0,0.0096,1,38831.0,2.0,0.0,0.0,0.0,2.628777240690232,2.628777240690232,2.5959,0.0096,0.0
17,1992-01-23,NYSE:CW,0.7695,3.6719,2.574,3.7031,3.6563,147.604,3.6875,1.1978,21.4354,0.0,22.8622,0.7004,0.0,37.655,37.8333,0.0,1.8438,0.0,172.884,5.6954,4.1047,0.0,0.0,0.8206,0.0,0.0352,1,38831.0,2.0,0.0,0.0,0.0,2.5849355919278847,2.5958711838557695,2.563064408072115,0.0352,0.0
18,1992-01-24,NYSE:CW,0.7268,3.625,2.5412,3.6719,3.625,145.7197,3.6719,1.1825,21.1617,0.0,22.5703,0.6914,0.0,33.6803,33.8211,0.0,1.8438,0.0,170.9997,5.6333,4.0599,0.0,0.0,0.8116,0.0,0.0192,1,38831.0,2.0,0.0,0.0,0.0,2.5740778703448277,2.5740778703448277,2.5412,0.0192,0.0
19,1992-01-27,NYSE:CW,0.7268,3.6719,2.574,3.6719,3.6406,147.604,3.6406,1.1978,21.4354,0.0,22.8622,0.7004,0.0,40.4498,40.6045,0.0,1.8438,0.0,172.884,5.6954,4.1047,0.0,0.0,0.8206,0.0,0.0384,1,38831.0,2.0,0.0,0.0,0.0,2.5520587161959747,2.574,2.5520587161959747,0.0384,0.0
20,1992-01-28,NYSE:CW,0.7268,3.6875,2.585,3.75,3.6875,148.2321,3.6875,1.2029,21.5266,0.0,22.9595,0.7034,0.0,42.5547,42.7124,0.0,1.8438,0.0,173.5121,5.7161,4.1196,0.0,0.0,0.8236,0.0,0.036,1,38831.0,2.0,0.0,0.0,0.0,2.585,2.6288135593220336,2.585,0.036,0.0
21,1992-01-29,NYSE:CW,0.7268,3.7188,2.6069,3.7344,3.7031,149.4883,3.7188,1.2131,21.709,0.0,23.1541,0.7093,0.0,46.6187,46.7805,0.0,1.8438,0.0,174.7683,5.7575,4.1494,0.0,0.0,0.8295,0.0,0.0064,1,38831.0,2.0,0.0,0.0,0.0,2.6069,2.6178356889319137,2.5958942104980105,0.0064,0.0
22,1992-01-30,NYSE:CW,0.7268,3.75,2.6288,3.75,3.6875,150.7445,3.6875,1.2233,21.8914,0.0,23.3486,0.7153,0.0,50.3977,50.5611,0.0,1.8438,0.0,176.0245,5.7989,4.1792,0.0,0.0,0.8355,0.0,0.0224,1,38831.0,2.0,0.0,0.0,0.0,2.5849866666666665,2.6288,2.5849866666666665,0.0224,0.0
