,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:DE,1.0449,8.0,4.1266,8.0,7.625,3659.2689,7.6667,1.2904,NM,0.0,36.7143,0.509,0.0,58.1601,59.5687,1.7139,0.6276,0.3747,8201.5689,52.4062,22.427,0.0,0.0,1.1625,0.0,2.4234,1,39420.0,2.0,0.0,0.0,0.0,3.9546755274999996,4.1266,3.933165625,2.4234,0.0
1,1992-01-01,NYSE:DE,1.0449,0.0,4.1266,0.0,0.0,3659.2689,0.0,1.2904,NM,0.0,36.7143,0.509,0.0,58.1601,59.5687,1.7139,0.6276,0.3747,8201.5689,52.4062,22.427,0.0,0.0,1.1625,0.0,0.0,1,39420.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:DE,1.0449,7.9375,4.0944,7.9583,7.75,3630.6808,7.9583,1.2803,NM,0.0,36.4274,0.505,0.0,56.2609,57.6662,2.2984,0.6276,0.5025,8172.9808,52.2235,22.3489,0.0,0.0,1.1584,0.0,1.4094,1,39420.0,2.0,0.0,0.0,0.0,4.105129262362205,4.105129262362205,3.99768188976378,1.4094,0.0
3,1992-01-03,NYSE:DE,1.0945,7.9375,4.0944,7.9792,7.8125,3630.6808,7.8958,1.2803,NM,0.0,36.4274,0.505,0.0,56.2609,57.6662,2.2984,0.6276,0.5025,8172.9808,52.2235,22.3489,0.0,0.0,1.1584,0.0,1.6824,1,39420.0,2.0,0.0,0.0,0.0,4.072889892283465,4.115910107716536,4.02992125984252,1.6824,0.0
4,1992-01-06,NYSE:DE,1.0945,7.9583,4.1051,8.125,7.9167,3640.21,7.9375,1.2837,NM,0.0,36.523,0.5064,0.0,56.8062,58.1825,2.2984,0.6276,0.5025,8182.51,52.2844,22.3749,0.0,0.0,1.1598,0.0,1.3854,1,39420.0,2.0,0.0,0.0,0.0,4.0943708141185935,4.1910882349245435,4.083641628237186,1.3854,0.0
5,1992-01-07,NYSE:DE,1.0945,7.8333,4.0406,8.0,7.8125,3583.0339,7.9375,1.2635,NM,0.0,35.9494,0.4984,0.0,52.5715,53.9322,2.2984,0.6276,0.5025,8125.3339,51.9191,22.2186,0.0,0.0,1.1517,0.0,1.3986,1,39420.0,2.0,0.0,0.0,0.0,4.0943488057396,4.126587772713927,4.029870871790944,1.3986,0.0
6,1992-01-08,NYSE:DE,1.0945,7.75,3.9976,7.8125,7.6667,3544.9167,7.7708,1.2501,NM,0.0,35.5669,0.4931,0.0,49.9008,51.2447,2.2984,0.6276,0.5025,8087.2167,51.6755,22.1144,0.0,0.0,1.1463,0.0,1.392,1,39420.0,2.0,0.0,0.0,0.0,4.008329042580645,4.029838709677419,3.954632247741935,1.392,0.0
7,1992-01-09,NYSE:DE,1.0945,7.7292,3.9869,7.7708,7.6667,3535.3875,7.7083,1.2467,NM,0.0,35.4713,0.4918,0.0,49.2275,50.5662,2.2984,0.6276,0.5025,8077.6875,51.6146,22.0883,0.0,0.0,1.1449,0.0,2.5524,1,39420.0,2.0,0.0,0.0,0.0,3.9761192969518193,4.008358241473891,3.954661055477928,2.5524,0.0
8,1992-01-10,NYSE:DE,1.1502,7.8542,4.0514,7.9792,7.7083,3592.5636,7.7292,1.2669,NM,0.0,36.045,0.4997,0.0,53.2991,54.4617,2.2984,0.6276,0.5025,8134.8636,51.98,22.2446,0.0,0.0,1.153,0.0,1.7484,1,39420.0,2.0,0.0,0.0,0.0,3.9869217590588475,4.115878240941153,3.9761409971734873,1.7484,0.0
9,1992-01-13,NYSE:DE,1.1502,7.7292,3.9869,7.8333,7.625,3535.3875,7.8333,1.2467,NM,0.0,35.4713,0.4918,0.0,49.062,50.2014,2.2984,0.6276,0.5025,8077.6875,51.6146,22.0883,0.0,0.0,1.1449,0.0,1.5954,1,39420.0,2.0,0.0,0.0,0.0,4.0405971859959635,4.0405971859959635,3.9331512316928015,1.5954,0.0
