,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:DLX,0.86,39.625,9.8515,40.5,39.375,3333.0965,40.0,4.9297,19.5197,0.0,19.0327,2.3774,0.0,61.5398,61.6661,0.1971,7.3015,0.2343,3220.6085,11.729,9.2378,0.0,0.0,2.2784,0.0,0.1295,1.0,31670.0,2.0,0.0,0.0,0.0,9.944731861198738,10.069041009463723,9.789345425867507,0.1295,0.0
1,1992-01-01,NYSE:DLX,0.86,0.0,9.8515,0.0,0.0,3333.0965,0.0,4.9297,19.5197,0.0,19.0327,2.3774,0.0,61.5398,61.6661,0.1971,7.3015,0.2343,3220.6085,11.729,9.2378,0.0,0.0,2.2784,0.0,0.0,1.0,31670.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:DLX,0.86,39.0,9.6961,39.625,38.5,3280.524,39.375,4.852,19.2118,0.0,18.7325,2.3399,0.0,57.5729,57.6993,0.0801,7.3015,0.0953,3168.036,11.5375,9.087,0.0,0.0,2.2412,0.0,0.2396,1.0,31670.0,2.0,0.0,0.0,0.0,9.78933173076923,9.851486217948716,9.571791025641026,0.2396,0.0
3,1992-01-03,NYSE:DLX,0.848,39.625,9.8515,39.625,38.75,3333.0965,38.75,4.9297,19.5197,0.0,19.0327,2.3774,0.0,60.3269,60.4399,0.0801,7.3015,0.0953,3220.6085,11.729,9.2378,0.0,0.0,2.2784,0.0,0.256,1.0,31670.0,2.0,0.0,0.0,0.0,9.633958990536277,9.8515,9.633958990536277,0.256,0.0
4,1992-01-06,NYSE:DLX,0.848,38.875,9.665,39.375,38.75,3270.0095,39.125,4.8364,19.1503,0.0,18.6725,2.3324,0.0,55.6579,55.7705,0.0801,7.3015,0.0953,3157.5215,11.4993,9.0568,0.0,0.0,2.2338,0.0,0.2354,1.0,31670.0,2.0,0.0,0.0,0.0,9.72715434083601,9.789308681672026,9.633922829581993,0.2354,0.0
5,1992-01-07,NYSE:DLX,0.848,39.0,9.6961,39.125,38.75,3280.524,38.875,4.852,19.2118,0.0,18.7325,2.3399,0.0,56.2655,56.3754,0.0801,7.3015,0.0953,3168.036,11.5375,9.087,0.0,0.0,2.2412,0.0,0.161,1.0,31670.0,2.0,0.0,0.0,0.0,9.665022756410256,9.727177243589743,9.633945512820512,0.161,0.0
6,1992-01-08,NYSE:DLX,0.848,38.25,9.5096,39.125,38.25,3217.437,38.75,4.7587,18.8424,0.0,18.3723,2.2949,0.0,51.6894,51.7978,0.0801,7.3015,0.0953,3104.949,11.3078,8.906,0.0,0.0,2.1966,0.0,0.3344,1.0,31670.0,2.0,0.0,0.0,0.0,9.633908496732026,9.727139869281046,9.5096,0.3344,0.0
7,1992-01-09,NYSE:DLX,0.848,38.75,9.6339,38.875,38.125,3259.495,38.375,4.8209,19.0887,0.0,18.6124,2.3249,0.0,54.3547,54.453,0.0801,7.3015,0.0953,3147.007,11.461,9.0267,0.0,0.0,2.2263,0.0,0.1704,1.0,31670.0,2.0,0.0,0.0,0.0,9.540668709677421,9.664977096774194,9.478514516129033,0.1704,0.0
8,1992-01-10,NYSE:DLX,0.8843,39.0,9.6961,39.0,38.5,3280.524,38.875,4.852,19.2118,0.0,18.7325,2.3399,0.0,55.6715,55.7651,0.0801,7.3015,0.0953,3168.036,11.5375,9.087,0.0,0.0,2.2412,0.0,0.132,1.0,31670.0,2.0,0.0,0.0,0.0,9.665022756410256,9.6961,9.571791025641026,0.132,0.0
9,1992-01-13,NYSE:DLX,0.8843,38.875,9.665,39.125,38.375,3270.0095,38.625,4.8364,19.1503,0.0,18.6725,2.3324,0.0,54.8199,54.9133,0.0801,7.3015,0.0953,3157.5215,11.4993,9.0568,0.0,0.0,2.2338,0.0,0.161,1.0,31670.0,2.0,0.0,0.0,0.0,9.602845659163986,9.72715434083601,9.540691318327974,0.161,0.0
