,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:EQC,0.2578,57.5,4.8333,57.5,54.0,384.5745,55.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4163,81.4733,0.0004,2.2603,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415,1.0,40360.0,0.25,0.0,0.0,0.0,4.623156521739131,4.8333,4.539099130434783,0.0415,0.0
1,1992-01-01,NYSE:EQC,0.2578,0.0,4.8333,0.0,0.0,384.5745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4163,81.4733,0.0004,2.2603,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40360.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:EQC,0.2578,56.5,4.7492,57.0,55.0,377.8862,56.0,0.0,0.0,0.0,0.0,0.0,0.0,74.142,74.189,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,1.0,40360.0,0.25,0.0,0.0,0.0,4.707171681415929,4.791228318584071,4.623115044247787,0.0216,0.0
3,1992-01-03,NYSE:EQC,0.4699,56.5,4.7492,57.0,55.0,377.8862,55.5,0.0,0.0,0.0,0.0,0.0,0.0,74.142,74.189,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,1.0,40360.0,0.25,0.0,0.0,0.0,4.665143362831858,4.791228318584071,4.623115044247787,0.0241,0.0
4,1992-01-06,NYSE:EQC,0.4699,55.5,4.6652,56.0,55.0,371.198,56.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1806,67.2189,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,1.0,40360.0,0.25,0.0,0.0,0.0,4.7072288288288275,4.7072288288288275,4.623171171171171,0.015,0.0
5,1992-01-07,NYSE:EQC,0.4699,55.0,4.6232,55.0,53.5,367.8539,55.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9476,63.9821,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,1.0,40360.0,0.25,0.0,0.0,0.0,4.6232,4.6232,4.497112727272727,0.0095,0.0
6,1992-01-08,NYSE:EQC,0.4699,55.0,4.6232,55.0,54.0,367.8539,55.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9476,63.9821,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,1.0,40360.0,0.25,0.0,0.0,0.0,4.6232,4.6232,4.539141818181818,0.014,0.0
7,1992-01-09,NYSE:EQC,0.4699,55.0,4.6232,55.0,54.5,367.8539,54.5,0.0,0.0,0.0,0.0,0.0,0.0,63.9476,63.9821,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,1.0,40360.0,0.25,0.0,0.0,0.0,4.581170909090909,4.6232,4.581170909090909,0.0102,0.0
8,1992-01-10,NYSE:EQC,0.4454,54.5,4.5811,55.0,54.0,364.5097,54.5,0.0,0.0,0.0,0.0,0.0,0.0,60.3219,60.3523,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207,1.0,40360.0,0.25,0.0,0.0,0.0,4.5811,4.623128440366973,4.539071559633028,0.0207,0.0
9,1992-01-13,NYSE:EQC,0.4454,55.0,4.6232,55.0,52.5,367.8539,53.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6052,62.6351,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,1.0,40360.0,0.25,0.0,0.0,0.0,4.455083636363636,4.6232,4.413054545454545,0.0141,0.0
10,1992-01-14,NYSE:EQC,0.4454,54.5,4.5811,55.0,54.5,364.5097,55.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9518,58.9781,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,1.0,40360.0,0.25,0.0,0.0,0.0,4.623128440366973,4.623128440366973,4.5811,0.0177,0.0
11,1992-01-15,NYSE:EQC,0.4454,55.0,4.6232,55.0,54.5,367.8539,55.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3789,61.4049,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,1.0,40360.0,0.25,0.0,0.0,0.0,4.6232,4.6232,4.581170909090909,0.0085,0.0
12,1992-01-16,NYSE:EQC,0.4454,55.0,4.6232,55.0,54.5,367.8539,55.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3789,61.4049,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,1.0,40360.0,0.25,0.0,0.0,0.0,4.6232,4.6232,4.581170909090909,0.0153,0.0
13,1992-01-17,NYSE:EQC,0.7012,56.0,4.7072,56.5,55.0,374.5421,55.0,0.0,0.0,0.0,0.0,0.0,0.0,66.037,66.0617,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,1.0,40360.0,0.25,0.0,0.0,0.0,4.623142857142857,4.749228571428572,4.623142857142857,0.0124,0.0
14,1992-01-20,NYSE:EQC,0.7012,57.5,4.8333,57.5,56.0,384.5745,56.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5751,71.5976,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,1.0,40360.0,0.25,0.0,0.0,0.0,4.7072139130434785,4.8333,4.7072139130434785,0.0127,0.0
15,1992-01-21,NYSE:EQC,0.7012,57.0,4.7913,58.0,55.0,381.2304,57.5,0.0,0.0,0.0,0.0,0.0,0.0,67.6171,67.6372,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545,1.0,40360.0,0.25,0.0,0.0,0.0,4.833328947368421,4.875357894736842,4.623184210526316,0.0545,0.0
16,1992-01-22,NYSE:EQC,0.7012,58.0,4.8753,58.0,56.0,387.9186,56.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0635,71.0825,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.0,40360.0,0.25,0.0,0.0,0.0,4.749214655172414,4.8753,4.707186206896552,0.025,0.0
17,1992-01-23,NYSE:EQC,0.7012,56.5,4.853,57.5,55.5,377.8862,56.5,0.0,0.0,0.0,0.0,0.0,0.0,60.6385,68.9814,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273,1.0,40360.0,0.25,0.0,0.0,0.0,4.853,4.938893805309735,4.767106194690265,0.0273,1.240
18,1992-01-24,NYSE:EQC,0.6593,57.0,4.8959,58.0,56.0,381.2304,56.5,0.0,0.0,0.0,0.0,0.0,0.0,62.6076,70.7707,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,1.0,40360.0,0.25,0.0,0.0,0.0,4.85295350877193,4.981792982456141,4.810007017543859,0.0177,0.0
19,1992-01-27,NYSE:EQC,0.6593,57.5,4.9389,58.0,57.0,384.5745,57.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5192,72.4803,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,1.0,40360.0,0.25,0.0,0.0,0.0,4.895953043478261,4.981846956521739,4.895953043478261,0.0077,0.0
20,1992-01-28,NYSE:EQC,0.6593,57.5,4.9389,58.5,57.5,384.5745,57.5,0.0,0.0,0.0,0.0,0.0,0.0,64.5192,72.4803,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,1.0,40360.0,0.25,0.0,0.0,0.0,4.9389,5.024793913043478,4.9389,0.0151,0.0
21,1992-01-29,NYSE:EQC,0.6593,57.0,4.8959,59.0,56.5,381.2304,58.0,0.0,0.0,0.0,0.0,0.0,0.0,60.908,67.8761,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,1.0,40360.0,0.25,0.0,0.0,0.0,4.981792982456141,5.067685964912282,4.85295350877193,0.0139,0.0
22,1992-01-30,NYSE:EQC,0.6593,56.0,4.8101,57.0,56.0,374.5421,56.5,0.0,0.0,0.0,0.0,0.0,0.0,54.3554,59.7067,0.001,2.2603,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,1.0,40360.0,0.25,0.0,0.0,0.0,4.853047321428572,4.895994642857143,4.8101,0.0078,0.0
