,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:FICO,0.9651,1.5556,1.4539,1.5556,1.5556,60.732,1.5556,2.7262,22.0284,0.0,22.2159,1.9107,0.0,54.7691,54.7775,0.0,2.9557,0.0,44.479,14.3527,10.613,0.0,0.0,1.3993,0.0,0.002,1,38057.0,1.5,0.0,0.0,0.0,1.4539,1.4539,1.4539,0.002,0.0
1,1992-01-01,NYSE:FICO,0.9651,0.0,1.4539,0.0,0.0,60.732,0.0,2.7262,22.0284,0.0,22.2159,1.9107,0.0,54.7691,54.7775,0.0,2.9557,0.0,44.479,14.3527,10.613,0.0,0.0,1.3993,0.0,0.0,1,38057.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:FICO,0.9651,0.0,1.4539,0.0,0.0,60.732,0.0,2.7262,22.0284,0.0,22.2159,1.9107,0.0,54.7691,54.7775,0.0,2.9557,0.0,44.479,14.3527,10.613,0.0,0.0,1.3993,0.0,0.0,1,38057.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1992-01-03,NYSE:FICO,1.0816,1.5556,1.4539,1.6296,1.5556,60.732,1.6296,2.7262,22.0284,0.0,22.2159,1.9107,0.0,54.7691,54.7775,0.0,2.9557,0.0,44.479,14.3527,10.613,0.0,0.0,1.3993,0.0,0.0101,1,38057.0,1.5,0.0,0.0,0.0,1.5230621239393158,1.5230621239393158,1.4539,0.0101,0.0
4,1992-01-06,NYSE:FICO,1.0816,1.6667,1.5578,1.6667,1.5556,65.07,1.5556,2.921,23.6018,0.0,23.8027,2.0471,0.0,61.1416,61.1483,0.0,2.9557,0.0,48.817,15.7525,11.6481,0.0,0.0,1.5358,0.0,0.0149,1,38057.0,1.5,0.0,0.0,0.0,1.4539591288174238,1.5578,1.4539591288174238,0.0149,0.0
5,1992-01-07,NYSE:FICO,1.0816,1.6667,1.5578,1.6667,1.5556,65.07,1.6667,2.921,23.6018,0.0,23.8027,2.0471,0.0,61.1416,61.1483,0.0,2.9557,0.0,48.817,15.7525,11.6481,0.0,0.0,1.5358,0.0,0.0041,1,38057.0,1.5,0.0,0.0,0.0,1.5578,1.5578,1.4539591288174238,0.0041,0.0
6,1992-01-08,NYSE:FICO,1.0816,1.7037,1.5924,1.7037,1.5556,66.516,1.6667,2.9859,24.1263,0.0,24.3317,2.0926,0.0,63.1487,63.1549,0.0,2.9557,0.0,50.263,16.2191,11.9931,0.0,0.0,1.5813,0.0,0.0466,1,38057.0,1.5,0.0,0.0,0.0,1.55781715090685,1.5924,1.453975136467688,0.0466,0.0
7,1992-01-09,NYSE:FICO,1.0816,1.6296,1.5231,1.7037,1.6296,63.624,1.7037,2.856,23.0774,0.0,23.2738,2.0016,0.0,56.8267,56.8327,0.0,2.9557,0.0,47.371,15.2859,11.303,0.0,0.0,1.4903,0.0,0.0155,1,38057.0,1.5,0.0,0.0,0.0,1.5923573085419735,1.5923573085419735,1.5231,0.0155,0.0
8,1992-01-10,NYSE:FICO,0.9269,1.6296,1.5231,1.7037,1.6296,63.624,1.7037,2.856,23.0774,0.0,23.2738,2.0016,0.0,56.8267,56.8327,0.0,2.9557,0.0,47.371,15.2859,11.303,0.0,0.0,1.4903,0.0,0.5137,1,38057.0,1.5,0.0,0.0,0.0,1.5923573085419735,1.5923573085419735,1.5231,0.5137,0.0
9,1992-01-13,NYSE:FICO,0.9269,1.7037,1.5924,1.7037,1.7037,66.516,1.7037,2.9859,24.1263,0.0,24.3317,2.0926,0.0,61.318,61.3231,0.0,2.9557,0.0,50.263,16.2191,11.9931,0.0,0.0,1.5813,0.0,0.0027,1,38057.0,1.5,0.0,0.0,0.0,1.5924,1.5924,1.5924,0.0027,0.0
