,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:GD,0.7568,6.7188,3.6123,6.7969,6.6719,2239.846,6.6719,1.4833,NM,0.0,NM,0.2203,0.0,61.0181,61.0368,1.8014,0.8211,0.5404,3262.846,NM,NM,0.0,0.0,0.3207,0.0,1.296,1,38803.0,2.0,0.0,0.0,0.0,3.587084653509555,3.654289734774067,3.587084653509555,1.296,0.0
1,1992-01-01,NYSE:GD,0.7568,0.0,3.6123,0.0,0.0,2239.846,0.0,1.4833,NM,0.0,NM,0.2203,0.0,61.0181,61.0368,1.8014,0.8211,0.5404,3262.846,NM,NM,0.0,0.0,0.3207,0.0,0.0,1,38803.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:GD,0.7568,6.7188,3.6123,6.7344,6.6719,2239.846,6.7188,1.4833,NM,0.0,NM,0.2203,0.0,61.0181,61.0368,3.2893,0.8211,0.9867,3262.846,NM,NM,0.0,0.0,0.3207,0.0,1.268,1,38803.0,2.0,0.0,0.0,0.0,3.6123,3.620687194141811,3.587084653509555,1.268,0.0
3,1992-01-03,NYSE:GD,0.797,6.7969,3.6543,6.875,6.7031,2265.8907,6.7188,1.5006,NM,0.0,NM,0.2229,0.0,63.9071,63.9235,3.2893,0.8211,0.9867,3288.8907,NM,NM,0.0,0.0,0.3233,0.0,1.6568,1,38803.0,2.0,0.0,0.0,0.0,3.6123101472730217,3.6962898527269785,3.6038691653547943,1.6568,0.0
4,1992-01-06,NYSE:GD,0.797,6.9375,3.7299,6.9688,6.8594,2312.7712,6.875,1.5316,NM,0.0,NM,0.2275,0.0,68.4409,68.4539,3.2893,0.8211,0.9867,3335.7712,NM,NM,0.0,0.0,0.3279,0.0,2.356,1,38803.0,2.0,0.0,0.0,0.0,3.6962972972972974,3.746728233513514,3.687910062702703,2.356,0.0
5,1992-01-07,NYSE:GD,0.797,7.1719,3.856,7.1875,6.8438,2390.9054,6.8438,1.5834,NM,0.0,NM,0.2352,0.0,74.2472,74.2565,3.2893,0.8211,0.9867,3413.9054,NM,NM,0.0,0.0,0.3356,0.0,4.8616,1,38803.0,2.0,0.0,0.0,0.0,3.6795957556574965,3.8643874008282317,3.6795957556574965,4.8616,0.0
6,1992-01-08,NYSE:GD,0.797,7.1719,3.856,7.1875,7.0313,2390.9054,7.125,1.5834,NM,0.0,NM,0.2352,0.0,74.2472,74.2565,3.2893,0.8211,0.9867,3413.9054,NM,NM,0.0,0.0,0.3356,0.0,3.5608,1,38803.0,2.0,0.0,0.0,0.0,3.8307840321253783,3.8643874008282317,3.780405861766059,3.5608,0.0
7,1992-01-09,NYSE:GD,0.797,7.1094,3.8224,7.2031,7.0938,2370.0696,7.1719,1.5696,NM,0.0,NM,0.2332,0.0,70.25,70.2596,3.2893,0.8211,0.9867,3393.0696,NM,NM,0.0,0.0,0.3335,0.0,1.9704,1,38803.0,2.0,0.0,0.0,0.0,3.8560033983177204,3.8727782147579264,3.814012591779897,1.9704,0.0
8,1992-01-10,NYSE:GD,0.5369,7.0625,3.7972,7.1094,6.9688,2354.4428,7.0625,1.5592,NM,0.0,NM,0.2316,0.0,67.3225,67.3324,3.2893,0.8211,0.9867,3377.4427,NM,NM,0.0,0.0,0.332,0.0,0.8456,1,38803.0,2.0,0.0,0.0,0.0,3.7972,3.8224160962831863,3.746821573097345,0.8456,0.0
9,1992-01-13,NYSE:GD,0.5369,7.1563,3.8476,7.1875,6.9531,2385.6964,7.0,1.5799,NM,0.0,NM,0.2347,0.0,70.0139,70.0224,3.2893,0.8211,0.9867,3408.6964,NM,NM,0.0,0.0,0.3351,0.0,1.9088,1,38803.0,2.0,0.0,0.0,0.0,3.763564970725095,3.8643747467266603,3.7383490854212376,1.9088,0.0
