,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:GHM,0.929,1.8,1.3786,1.8,1.6667,14.05,1.7667,0.9684,10.7894,0.0,11.0052,0.1765,40.2511,39.4196,39.5731,0.0,0.6027,0.0,21.002,6.6843,4.795,0.0,0.0,0.2695,0.0,0.1943,1.0,39728.0,2.0,0.0,0.0,0.0,1.3530959,1.3786,1.2765070111111112,0.1943,0.0
1,1992-01-01,NYSE:GHM,0.929,0.0,1.3786,0.0,0.0,14.05,0.0,0.9684,10.7894,0.0,11.0052,0.1765,40.2511,39.4196,39.5731,0.0,0.6027,0.0,21.002,6.6843,4.795,0.0,0.0,0.2695,0.0,0.0,1.0,39728.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:GHM,0.929,1.8833,1.4424,1.8833,1.8167,14.7004,1.8167,1.0132,11.2889,0.0,11.5147,0.1847,41.6867,47.874,48.0378,0.0004,0.6027,0.0044,21.6524,6.8913,4.9435,0.0,0.0,0.2778,0.0,0.0128,1.0,39728.0,2.0,0.0,0.0,0.0,1.3913917485265226,1.4424,1.3913917485265226,0.0128,0.0
3,1992-01-03,NYSE:GHM,1.1377,2.15,1.6467,2.25,1.9167,16.7819,1.9167,1.1567,12.8874,0.0,13.1451,0.2108,50.4004,64.802,64.9554,0.0004,0.6027,0.0044,23.7339,7.5538,5.4187,0.0,0.0,0.3045,0.0,0.0713,1.0,39728.0,2.0,0.0,0.0,0.0,1.4680139023255816,1.723290697674419,1.4680139023255816,0.0713,0.0
4,1992-01-06,NYSE:GHM,1.1377,2.2,1.685,2.2667,2.1667,17.1722,2.1833,1.1836,13.1871,0.0,13.4508,0.2157,50.6486,66.9681,67.1172,0.0004,0.6027,0.0044,24.1242,7.678,5.5078,0.0,0.0,0.3096,0.0,0.0923,1.0,39728.0,2.0,0.0,0.0,0.0,1.672209318181818,1.7360861363636366,1.6594952272727272,0.0923,0.0
5,1992-01-07,NYSE:GHM,1.1377,2.25,1.7233,2.2667,2.2333,17.5624,2.2333,1.2105,13.4868,0.0,13.7565,0.2206,50.8763,69.0212,69.1655,0.0004,0.6027,0.0044,24.5144,7.8022,5.5969,0.0,0.0,0.3146,0.0,0.021,1.0,39728.0,2.0,0.0,0.0,0.0,1.7105092844444443,1.7360907155555556,1.7105092844444443,0.021,0.0
6,1992-01-08,NYSE:GHM,1.1377,2.2667,1.736,2.3667,2.2667,17.6925,2.2667,1.2194,13.5867,0.0,13.8584,0.2223,50.4526,69.6973,69.8399,0.0004,0.6027,0.0044,24.6445,7.8436,5.6266,0.0,0.0,0.3162,0.0,0.075,1.0,39728.0,2.0,0.0,0.0,0.0,1.736,1.8125871090131025,1.736,0.075,0.0
7,1992-01-09,NYSE:GHM,1.1377,2.3667,1.8126,2.3667,2.2667,18.4731,2.3,1.2732,14.1861,0.0,14.4698,0.2321,51.2431,73.4425,73.5746,0.0004,0.6027,0.0044,25.4251,8.092,5.8048,0.0,0.0,0.3262,0.0,0.021,1.0,39728.0,2.0,0.0,0.0,0.0,1.7615160349854229,1.8126,1.736012346304982,0.021,0.0
8,1992-01-10,NYSE:GHM,1.0522,2.3667,1.8126,2.4167,2.3167,18.4731,2.3833,1.2732,14.1861,0.0,14.4698,0.2321,51.1372,73.4425,73.5746,0.0004,0.6027,0.0044,25.4251,8.092,5.8048,0.0,0.0,0.3262,0.0,0.0758,1.0,39728.0,2.0,0.0,0.0,0.0,1.8253135505133733,1.8508938268475095,1.774306173152491,0.0758,0.0
9,1992-01-13,NYSE:GHM,1.0522,2.4,1.8382,2.4,2.3667,18.7333,2.3833,1.2912,14.3859,0.0,14.6736,0.2354,51.2083,74.6535,74.7818,0.0004,0.6027,0.0044,25.6853,8.1748,5.8642,0.0,0.0,0.3296,0.0,0.063,1.0,39728.0,2.0,0.0,0.0,0.0,1.825409191666667,1.8382,1.8126949749999999,0.063,0.0
10,1992-01-14,NYSE:GHM,1.0522,2.4667,1.8892,2.4667,2.3667,19.2536,2.3667,1.327,14.7855,0.0,15.0812,0.2419,51.3143,76.9203,77.0409,0.0004,0.6027,0.0044,26.2056,8.3404,5.983,0.0,0.0,0.3363,0.0,0.021,1.0,39728.0,2.0,0.0,0.0,0.0,1.8126118457858675,1.8892,1.8126118457858675,0.021,0.0
11,1992-01-15,NYSE:GHM,1.0522,2.4833,1.902,2.4833,2.45,19.3837,2.45,1.336,14.8854,0.0,15.1831,0.2435,51.0834,77.4629,77.5816,0.0004,0.6027,0.0044,26.3357,8.3818,6.0127,0.0,0.0,0.3379,0.0,0.0068,1.0,39728.0,2.0,0.0,0.0,0.0,1.8764949865098863,1.902,1.8764949865098863,0.0068,0.0
12,1992-01-16,NYSE:GHM,1.0522,2.4833,1.902,2.5167,2.4667,19.3837,2.5,1.336,14.8854,0.0,15.1831,0.2435,51.0471,77.4629,77.5816,0.0004,0.6027,0.0044,26.3357,8.3818,6.0127,0.0,0.0,0.3379,0.0,0.0368,1.0,39728.0,2.0,0.0,0.0,0.0,1.9147908025611082,1.9275816051222165,1.8892857890709942,0.0368,0.0
13,1992-01-17,NYSE:GHM,1.4419,2.6333,2.0169,2.65,2.5,20.5546,2.5167,1.4167,15.7845,0.0,16.1002,0.2582,52.3262,81.904,82.005,0.0004,0.6027,0.0044,27.5066,8.7545,6.28,0.0,0.0,0.353,0.0,0.0368,1.0,39728.0,2.0,0.0,0.0,0.0,1.9275936011848251,2.0296908821630653,1.9148027190217596,0.0368,0.0
14,1992-01-20,NYSE:GHM,1.4419,2.6333,2.0169,2.6667,2.6167,20.5546,2.65,1.4167,15.7845,0.0,16.1002,0.2582,52.3262,81.904,82.005,0.0004,0.6027,0.0044,27.5066,8.7545,6.28,0.0,0.0,0.353,0.0,0.03,1.0,39728.0,2.0,0.0,0.0,0.0,2.0296908821630653,2.042481764326131,2.0041857099456952,0.03,0.0
15,1992-01-21,NYSE:GHM,1.4419,2.5167,1.9275,2.5833,2.4833,19.6439,2.5833,1.3539,15.0852,0.0,15.3869,0.2468,53.267,69.5428,69.6148,0.0004,0.6027,0.0044,26.5959,8.4646,6.0721,0.0,0.0,0.3413,0.0,0.0518,1.0,39728.0,2.0,0.0,0.0,0.0,1.9785078674454641,1.9785078674454641,1.90191947788771,0.0518,0.0
