,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:GVA,0.8714,8.0741,5.3877,8.5185,7.7778,313.375,8.5185,2.346,16.0522,0.0,16.865,0.5412,0.0,65.3549,65.7034,0.0,7.6844,0.0,289.895,11.0732,5.9238,0.0,0.0,0.5195,0.0,0.2963,1.0,36997.0,1.5,0.0,0.0,0.0,5.684240032944848,5.684240032944848,5.189984401976691,0.2963,0.0
1,1992-01-01,NYSE:GVA,0.8714,0.0,5.3877,0.0,0.0,313.375,0.0,2.346,16.0522,0.0,16.865,0.5412,0.0,65.3549,65.7034,0.0,7.6844,0.0,289.895,11.0732,5.9238,0.0,0.0,0.5195,0.0,0.0,1.0,36997.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:GVA,0.8714,7.7037,5.1406,7.8519,7.7037,299.0,7.8519,2.2383,15.3159,0.0,16.0914,0.5163,0.0,54.6412,54.8719,0.0,7.6844,0.0,275.52,10.5241,5.6301,0.0,0.0,0.4938,0.0,0.0621,1.0,36997.0,1.5,0.0,0.0,0.0,5.239492340044394,5.239492340044394,5.1406,0.0621,0.0
3,1992-01-03,NYSE:GVA,0.6673,7.7037,5.1406,7.8519,7.7037,299.0,7.7037,2.2383,15.3159,0.0,16.0914,0.5163,0.0,54.6412,54.8719,0.0,7.6844,0.0,275.52,10.5241,5.6301,0.0,0.0,0.4938,0.0,0.0702,1.0,36997.0,1.5,0.0,0.0,0.0,5.1406,5.239492340044394,5.1406,0.0702,0.0
4,1992-01-06,NYSE:GVA,0.6673,8.0,5.3383,8.0,7.7778,310.5,7.8519,2.3244,15.9049,0.0,16.7103,0.5362,0.0,60.6293,60.8587,0.0,7.6844,0.0,287.02,10.9633,5.8651,0.0,0.0,0.5144,0.0,0.1377,1.0,36997.0,1.5,0.0,0.0,0.0,5.23947472125,5.3383,5.190028717500001,0.1377,0.0
5,1992-01-07,NYSE:GVA,0.6673,7.8519,5.2395,8.0,7.7778,304.75,7.7778,2.2814,15.6104,0.0,16.4008,0.5263,0.0,56.6055,56.8012,0.0,7.6844,0.0,281.27,10.7437,5.7476,0.0,0.0,0.5041,0.0,0.0493,1.0,36997.0,1.5,0.0,0.0,0.0,5.190053757689221,5.3383257555496115,5.190053757689221,0.0493,0.0
6,1992-01-08,NYSE:GVA,0.6673,8.2963,5.536,8.2963,7.7778,322.0,7.7778,2.4105,16.494,0.0,17.3292,0.556,0.0,64.2673,64.4571,0.0,7.6844,0.0,298.52,11.4026,6.1001,0.0,0.0,0.535,0.0,0.2359,1.0,36997.0,1.5,0.0,0.0,0.0,5.190012511601557,5.536,5.190012511601557,0.2359,0.0
7,1992-01-09,NYSE:GVA,0.6673,8.4444,5.6349,8.5926,8.2222,327.75,8.2963,2.4536,16.7885,0.0,17.6386,0.566,0.0,66.3971,66.5831,0.0,7.6844,0.0,304.27,11.6222,6.2176,0.0,0.0,0.5453,0.0,0.2798,1.0,36997.0,1.5,0.0,0.0,0.0,5.5360737139406,5.733793015489555,5.4866272061958234,0.2798,0.0
8,1992-01-10,NYSE:GVA,0.5599,8.5926,5.7338,8.5926,8.4444,333.5,8.5926,2.4966,17.0831,0.0,17.9481,0.5759,0.0,68.4239,68.6054,0.0,7.6844,0.0,310.02,11.8419,6.3351,0.0,0.0,0.5556,0.0,0.1134,1.0,36997.0,1.5,0.0,0.0,0.0,5.7338,5.7338,5.634906864045807,0.1134,0.0
9,1992-01-13,NYSE:GVA,0.5599,8.4444,5.6349,8.5926,8.4444,327.75,8.5926,2.4536,16.7885,0.0,17.6386,0.566,0.0,64.2504,64.4077,0.0,7.6844,0.0,304.27,11.6222,6.2176,0.0,0.0,0.5453,0.0,0.106,1.0,36997.0,1.5,0.0,0.0,0.0,5.733793015489555,5.733793015489555,5.6349,0.106,0.0
