,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:IEX,0.9097,3.3086,2.1698,3.3086,3.2346,209.9948,3.2346,0.0,0.0,0.0,0.0,0.0,0.0,62.5152,62.5152,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511,1,39224.0,1.5,0.0,0.0,0.0,2.1212703499969776,2.1698,2.1212703499969776,0.0511,0.0
1,1992-01-01,NYSE:IEX,0.9097,0.0,2.1698,0.0,0.0,209.9948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5152,62.5152,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39224.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:IEX,0.9097,3.3333,2.186,3.3333,3.284,211.5619,3.3086,0.0,0.0,0.0,0.0,0.0,0.0,64.1882,64.1882,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972,1,39224.0,1.5,0.0,0.0,0.0,2.16980157801578,2.186,2.153668736687367,0.0972,0.0
3,1992-01-03,NYSE:IEX,0.9402,3.358,2.2022,3.358,3.3086,213.129,3.3086,0.0,0.0,0.0,0.0,0.0,0.0,65.8306,65.8306,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1,39224.0,1.5,0.0,0.0,0.0,2.169803132817153,2.2022,2.169803132817153,0.12,0.0
4,1992-01-06,NYSE:IEX,0.9402,3.6049,2.3641,3.6543,3.4074,228.8002,3.4074,0.0,0.0,0.0,0.0,0.0,0.0,77.1272,77.1273,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0962,1,39224.0,1.5,0.0,0.0,0.0,2.234579139504563,2.3964966101694913,2.234579139504563,0.0962,0.0
5,1992-01-07,NYSE:IEX,0.9402,3.6296,2.3803,3.6296,3.5803,230.3674,3.5803,0.0,0.0,0.0,0.0,0.0,0.0,77.9136,77.9136,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,1,39224.0,1.5,0.0,0.0,0.0,2.347968946991404,2.3803,2.347968946991404,0.0208,0.0
6,1992-01-08,NYSE:IEX,0.9402,3.6049,2.3641,3.679,3.6049,228.8002,3.6543,0.0,0.0,0.0,0.0,0.0,0.0,75.1318,75.1319,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,1,39224.0,1.5,0.0,0.0,0.0,2.3964966101694913,2.412694915254237,2.3641,0.0324,0.0
7,1992-01-09,NYSE:IEX,0.9402,3.5309,2.3155,3.6049,3.5309,224.0989,3.5803,0.0,0.0,0.0,0.0,0.0,0.0,67.3619,67.3619,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,1,39224.0,1.5,0.0,0.0,0.0,2.3478956215129285,2.364027854088193,2.3155,0.041,0.0
8,1992-01-10,NYSE:IEX,0.8884,3.4815,2.2831,3.5309,3.4321,220.9646,3.5309,0.0,0.0,0.0,0.0,0.0,0.0,62.706,62.706,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906,1,39224.0,1.5,0.0,0.0,0.0,2.3154955593853224,2.3154955593853224,2.250704440614678,0.0906,0.0
9,1992-01-13,NYSE:IEX,0.8884,3.5062,2.2993,3.5062,3.4568,222.5318,3.4568,0.0,0.0,0.0,0.0,0.0,0.0,64.0442,64.0443,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0926,1,39224.0,1.5,0.0,0.0,0.0,2.2669044093320405,2.2993,2.2669044093320405,0.0926,0.0
10,1992-01-14,NYSE:IEX,0.8884,3.5309,2.3155,3.5556,3.4815,224.0989,3.4815,0.0,0.0,0.0,0.0,0.0,0.0,65.3819,65.3819,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309,1,39224.0,1.5,0.0,0.0,0.0,2.2831043784870713,2.3316978107564643,2.2831043784870713,0.0309,0.0
11,1992-01-15,NYSE:IEX,0.8884,3.7037,2.4289,3.7037,3.5556,235.0688,3.5556,0.0,0.0,0.0,0.0,0.0,0.0,72.9643,72.9643,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,1,39224.0,1.5,0.0,0.0,0.0,2.3317754785754787,2.4289,2.3317754785754787,0.122,0.0
12,1992-01-16,NYSE:IEX,0.8884,3.7037,2.4289,3.8025,3.7037,235.0688,3.7037,0.0,0.0,0.0,0.0,0.0,0.0,72.9643,72.9643,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0516,1,39224.0,1.5,0.0,0.0,0.0,2.4289,2.493693401193401,2.4289,0.0516,0.0
13,1992-01-17,NYSE:IEX,0.8521,3.8025,2.4936,3.8519,3.7284,241.3372,3.7284,0.0,0.0,0.0,0.0,0.0,0.0,76.3913,76.3913,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405,1,39224.0,1.5,0.0,0.0,0.0,2.445006769230769,2.525995487179487,2.445006769230769,0.0405,0.0
14,1992-01-20,NYSE:IEX,0.8521,3.7284,2.4451,3.8272,3.7284,236.6359,3.8025,0.0,0.0,0.0,0.0,0.0,0.0,69.2966,69.2967,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567,1,39224.0,1.5,0.0,0.0,0.0,2.4936950836820087,2.5098934449093444,2.4451,0.0567,0.0
15,1992-01-21,NYSE:IEX,0.8521,3.7037,2.4289,3.8272,3.6543,235.0688,3.8272,0.0,0.0,0.0,0.0,0.0,0.0,67.061,67.0609,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0744,1,39224.0,1.5,0.0,0.0,0.0,2.5098917514917516,2.5098917514917516,2.3965032994032995,0.0744,0.0
16,1992-01-22,NYSE:IEX,0.8521,3.6296,2.3803,3.7284,3.6049,230.3674,3.7284,0.0,0.0,0.0,0.0,0.0,0.0,60.7307,60.7307,0.0,1.0657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0643,1,39224.0,1.5,0.0,0.0,0.0,2.445093266475645,2.445093266475645,2.364101683381089,0.0643,0.0
