,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:IIIN,0.5028,4.1322,2.1188,4.1322,4.0289,0.0,4.0289,0.0,0.0,0.0,0.0,0.0,0.0,79.6177,79.8051,0.3586,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,1.0,38887.0,2.0,0.0,0.0,0.0,2.0658325637674846,2.1188,2.0658325637674846,0.038,0.0
1,1992-01-01,NYSE:IIIN,0.5028,0.0,2.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6177,79.8051,0.3586,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38887.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:IIIN,0.5028,4.0806,2.0923,4.0806,4.0806,0.0,4.0806,0.0,0.0,0.0,0.0,0.0,0.0,75.2185,75.4204,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,1.0,38887.0,2.0,0.0,0.0,0.0,2.0923,2.0923,2.0923,0.0046,0.0
3,1992-01-03,NYSE:IIIN,0.6315,4.1322,2.1188,4.1322,4.0289,0.0,4.0289,0.0,0.0,0.0,0.0,0.0,0.0,76.6103,76.7935,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,1.0,38887.0,2.0,0.0,0.0,0.0,2.0658325637674846,2.1188,2.0658325637674846,0.0107,0.0
4,1992-01-06,NYSE:IIIN,0.6315,4.0289,2.0658,4.1322,4.0289,0.0,4.1322,0.0,0.0,0.0,0.0,0.0,0.0,68.343,68.5458,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,1.0,38887.0,2.0,0.0,0.0,0.0,2.118766601305567,2.118766601305567,2.0658,0.0015,0.0
5,1992-01-07,NYSE:IIIN,0.6315,3.9773,2.0393,4.0806,3.9773,0.0,4.0289,0.0,0.0,0.0,0.0,0.0,0.0,64.5898,64.7983,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419,1.0,38887.0,2.0,0.0,0.0,0.0,2.065757114122646,2.0922655017222733,2.0393,0.0419,0.0
6,1992-01-08,NYSE:IIIN,0.6315,3.9256,2.0128,3.9256,3.9256,0.0,3.9256,0.0,0.0,0.0,0.0,0.0,0.0,60.9832,61.1953,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.0,38887.0,2.0,0.0,0.0,0.0,2.0128,2.0128,2.0128,0.001,0.0
7,1992-01-09,NYSE:IIIN,0.6315,4.0289,2.0658,4.0289,4.0289,0.0,4.0289,0.0,0.0,0.0,0.0,0.0,0.0,65.1719,65.3456,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,1.0,38887.0,2.0,0.0,0.0,0.0,2.0658,2.0658,2.0658,0.0121,0.0
8,1992-01-10,NYSE:IIIN,0.6148,4.0289,2.0658,4.0289,3.9773,0.0,3.9773,0.0,0.0,0.0,0.0,0.0,0.0,65.1719,65.3456,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,1.0,38887.0,2.0,0.0,0.0,0.0,2.0393423366179353,2.0658,2.0393423366179353,0.0339,0.0
9,1992-01-13,NYSE:IIIN,0.6148,4.0289,2.0658,4.0289,4.0289,0.0,4.0289,0.0,0.0,0.0,0.0,0.0,0.0,65.1719,65.3456,0.4075,1.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,1.0,38887.0,2.0,0.0,0.0,0.0,2.0658,2.0658,2.0658,0.0012,0.0
