,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:KAMN,0.2853,8.0,3.6349,8.125,7.875,0.0,7.875,0.0,0.0,0.0,0.0,0.0,0.0,50.3773,54.9607,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495,1.0,32083.0,1.6,0.0,0.0,0.0,3.5781046875,3.6916953125,3.5781046875,0.0495,0.0
1,1992-01-01,NYSE:KAMN,0.2853,0.0,3.6349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3773,54.9607,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32083.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:KAMN,0.2853,8.125,3.6916,8.5,7.875,0.0,7.875,0.0,0.0,0.0,0.0,0.0,0.0,55.1995,59.7348,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486,1.0,32083.0,1.6,0.0,0.0,0.0,3.578012307692308,3.861981538461539,3.578012307692308,0.0486,0.0
3,1992-01-03,NYSE:KAMN,0.557,8.375,3.8052,8.375,8.125,0.0,8.375,0.0,0.0,0.0,0.0,0.0,0.0,62.9535,67.2189,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399,1.0,32083.0,1.6,0.0,0.0,0.0,3.8052,3.8052,3.6916119402985075,0.0399,0.0
4,1992-01-06,NYSE:KAMN,0.557,8.375,3.8052,8.375,8.25,0.0,8.375,0.0,0.0,0.0,0.0,0.0,0.0,62.9535,67.2189,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,1.0,32083.0,1.6,0.0,0.0,0.0,3.8052,3.8052,3.748405970149254,0.0303,0.0
5,1992-01-07,NYSE:KAMN,0.557,8.375,3.8052,8.375,8.25,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,62.9535,67.2189,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499,1.0,32083.0,1.6,0.0,0.0,0.0,3.748405970149254,3.8052,3.748405970149254,0.0499,0.0
6,1992-01-08,NYSE:KAMN,0.557,8.25,3.7484,8.375,8.25,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,56.8129,60.2281,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571,1.0,32083.0,1.6,0.0,0.0,0.0,3.7484,3.8051939393939396,3.7484,0.0571,0.0
7,1992-01-09,NYSE:KAMN,0.557,8.375,3.8052,8.375,8.25,0.0,8.375,0.0,0.0,0.0,0.0,0.0,0.0,60.9182,64.2339,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,1.0,32083.0,1.6,0.0,0.0,0.0,3.8052,3.8052,3.748405970149254,0.059,0.0
8,1992-01-10,NYSE:KAMN,0.4586,8.5,3.862,8.5,8.25,0.0,8.375,0.0,0.0,0.0,0.0,0.0,0.0,64.5476,67.7338,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621,1.0,32083.0,1.6,0.0,0.0,0.0,3.8052058823529413,3.862,3.7484117647058826,0.0621,0.0
9,1992-01-13,NYSE:KAMN,0.4586,8.375,3.8052,8.625,8.25,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,58.6791,61.2764,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239,1.0,32083.0,1.6,0.0,0.0,0.0,3.748405970149254,3.918788059701493,3.748405970149254,0.2239,0.0
10,1992-01-14,NYSE:KAMN,0.4586,8.625,3.9188,8.75,8.375,0.0,8.375,0.0,0.0,0.0,0.0,0.0,0.0,65.4456,67.8732,0.0,2.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,1.0,32083.0,1.6,0.0,0.0,0.0,3.8052115942028983,3.975594202898551,3.8052115942028983,0.1344,0.0
