,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:MAS,1.6752,11.75,5.2817,11.8125,11.375,3548.5,11.4375,0.0,0.0,0.0,0.0,0.0,0.0,70.6141,70.6317,1.9762,2.9408,0.6544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8902,1,35989.0,2.0,0.0,0.0,0.0,5.141229255319149,5.309794148936169,5.113135106382979,0.8902,0.0
1,1992-01-01,NYSE:MAS,1.6752,0.0,5.2817,0.0,0.0,3548.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6141,70.6317,1.9762,2.9408,0.6544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35989.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:MAS,1.6752,11.5,5.1693,11.6875,11.4375,3473.0,11.6875,0.0,0.0,0.0,0.0,0.0,0.0,63.9493,63.9677,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2984,1,35989.0,2.0,0.0,0.0,0.0,5.253582065217391,5.253582065217391,5.141205978260869,0.2984,0.0
3,1992-01-03,NYSE:MAS,1.7541,11.6875,5.2536,11.6875,11.4375,3529.625,11.4375,0.0,0.0,0.0,0.0,0.0,0.0,66.5029,66.5191,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666,1,35989.0,2.0,0.0,0.0,0.0,5.141223529411764,5.2536,5.141223529411764,0.3666,0.0
4,1992-01-06,NYSE:MAS,1.7541,11.9375,5.4006,12.0,11.4375,3605.125,11.5,0.0,0.0,0.0,0.0,0.0,0.0,69.5953,70.4501,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,1,35989.0,2.0,0.0,0.0,0.0,5.2026722513089005,5.4288753926701565,5.174396858638743,0.986,0.075
5,1992-01-07,NYSE:MAS,1.7541,12.1875,5.5138,12.1875,11.75,3680.625,11.75,0.0,0.0,0.0,0.0,0.0,0.0,72.3448,73.0695,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9896,1,35989.0,2.0,0.0,0.0,0.0,5.315868717948718,5.5138,5.315868717948718,0.9896,0.0
6,1992-01-08,NYSE:MAS,1.7541,12.5,5.6551,12.75,12.0,3775.0,12.0625,0.0,0.0,0.0,0.0,0.0,0.0,75.346,75.9404,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,1,35989.0,2.0,0.0,0.0,0.0,5.457171499999999,5.7682020000000005,5.428896,0.651,0.0
7,1992-01-09,NYSE:MAS,1.7541,11.875,5.3724,12.25,11.8125,3586.25,11.9375,0.0,0.0,0.0,0.0,0.0,0.0,61.0712,61.7597,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2064,1,35989.0,2.0,0.0,0.0,0.0,5.400675789473684,5.542054736842106,5.344124210526315,1.2064,0.0
8,1992-01-10,NYSE:MAS,1.745,11.8125,5.3441,12.0,11.75,3567.375,11.9375,0.0,0.0,0.0,0.0,0.0,0.0,59.8501,60.5422,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,1,35989.0,2.0,0.0,0.0,0.0,5.400651322751323,5.428926984126984,5.3158243386243385,0.856,0.0
9,1992-01-13,NYSE:MAS,1.745,12.0625,5.4572,12.1875,11.6875,3642.875,11.875,0.0,0.0,0.0,0.0,0.0,0.0,63.0341,63.6307,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1118,1,35989.0,2.0,0.0,0.0,0.0,5.372373056994818,5.513751295336788,5.287546113989637,1.1118,0.0
10,1992-01-14,NYSE:MAS,1.745,12.0,5.4289,12.1875,12.0,3624.0,12.125,0.0,0.0,0.0,0.0,0.0,0.0,61.7164,62.3175,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8894,1,35989.0,2.0,0.0,0.0,0.0,5.485451041666667,5.5137265625,5.4289,0.8894,0.0
11,1992-01-15,NYSE:MAS,1.745,12.75,5.7682,12.75,12.125,3850.5,12.125,0.0,0.0,0.0,0.0,0.0,0.0,69.8589,70.2517,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3984,1,35989.0,2.0,0.0,0.0,0.0,5.485445098039215,5.7682,5.485445098039215,1.3984,0.0
12,1992-01-16,NYSE:MAS,1.745,13.0625,5.9096,13.25,12.6875,3944.875,12.75,0.0,0.0,0.0,0.0,0.0,0.0,72.4849,72.8197,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4778,1,35989.0,2.0,0.0,0.0,0.0,5.768222009569378,5.9944267942583735,5.7399464114832535,1.4778,0.0
13,1992-01-17,NYSE:MAS,1.9226,12.875,5.8248,13.125,12.875,3888.25,13.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6218,68.9725,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2418,1,35989.0,2.0,0.0,0.0,0.0,5.8813514563106795,5.937902912621359,5.8248,2.2418,0.0
14,1992-01-20,NYSE:MAS,1.9226,12.8125,5.7965,12.875,12.75,3869.375,12.875,0.0,0.0,0.0,0.0,0.0,0.0,67.3337,67.6888,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,1,35989.0,2.0,0.0,0.0,0.0,5.824775609756098,5.824775609756098,5.768224390243902,0.253,0.0
15,1992-01-21,NYSE:MAS,1.9226,12.4375,5.6269,12.75,12.375,3756.125,12.75,0.0,0.0,0.0,0.0,0.0,0.0,60.0498,60.4222,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3274,1,35989.0,2.0,0.0,0.0,0.0,5.768279396984925,5.768279396984925,5.598624120603015,0.3274,0.0
16,1992-01-22,NYSE:MAS,1.9226,12.8125,5.7965,12.8125,12.375,3869.375,12.4375,0.0,0.0,0.0,0.0,0.0,0.0,64.2183,64.5236,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118,1,35989.0,2.0,0.0,0.0,0.0,5.6268463414634144,5.7965,5.598570731707317,0.7118,0.0
17,1992-01-23,NYSE:MAS,1.9226,12.875,5.8248,12.9375,12.5625,3888.25,12.6875,0.0,0.0,0.0,0.0,0.0,0.0,64.8761,65.1715,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9926,1,35989.0,2.0,0.0,0.0,0.0,5.739972815533981,5.853075728155339,5.683421359223301,0.9926,0.0
18,1992-01-24,NYSE:MAS,1.9085,12.6875,5.74,12.9375,12.6875,3831.625,12.875,0.0,0.0,0.0,0.0,0.0,0.0,61.2389,61.5408,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4408,1,35989.0,2.0,0.0,0.0,0.0,5.824827586206897,5.853103448275862,5.74,0.4408,0.0
19,1992-01-27,NYSE:MAS,1.9085,12.9375,5.8531,13.0,12.5625,3907.125,12.6875,0.0,0.0,0.0,0.0,0.0,0.0,64.1267,64.3894,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742,1,35989.0,2.0,0.0,0.0,0.0,5.739996618357488,5.881375845410629,5.683444927536232,0.4742,0.0
20,1992-01-28,NYSE:MAS,1.9085,12.9375,5.8531,12.9375,12.75,3907.125,12.9375,0.0,0.0,0.0,0.0,0.0,0.0,64.1267,64.3894,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6958,1,35989.0,2.0,0.0,0.0,0.0,5.8531,5.8531,5.768272463768117,0.6958,0.0
21,1992-01-29,NYSE:MAS,1.9085,13.0,5.8813,13.75,12.8125,3926.0,13.1875,0.0,0.0,0.0,0.0,0.0,0.0,64.8853,65.1381,2.3693,2.9408,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978,1,35989.0,2.0,0.0,0.0,0.0,5.966126442307693,6.22060576923077,5.796473557692308,1.0978,0.0
