,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:MEI,1.2013,3.3333,0.7122,3.3333,3.1667,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,54.981,54.9844,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,1,35004.0,1.5,0.0,0.0,0.0,0.6944019440194403,0.7122,0.6766038880388805,0.123,0.0
1,1992-01-01,NYSE:MEI,1.2013,0.0,0.7122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.981,54.9844,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35004.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:MEI,1.2013,3.25,0.6944,3.25,3.2083,0.0,3.2083,0.0,0.0,0.0,0.0,0.0,0.0,51.2755,51.2785,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,1,35004.0,1.5,0.0,0.0,0.0,0.6854903138461539,0.6944,0.6854903138461539,0.0672,0.0
3,1992-01-03,NYSE:MEI,1.1393,3.2083,0.6855,3.3333,3.2083,0.0,3.3333,0.0,0.0,0.0,0.0,0.0,0.0,49.4799,49.4827,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1005,1,35004.0,1.5,0.0,0.0,0.0,0.7122080696942307,0.7122080696942307,0.6855,0.1005,0.0
4,1992-01-06,NYSE:MEI,1.1393,3.4167,0.73,3.4167,3.2083,0.0,3.2083,0.0,0.0,0.0,0.0,0.0,0.0,57.4948,57.4977,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772,1,35004.0,1.5,0.0,0.0,0.0,0.6854739953756548,0.73,0.6854739953756548,0.2772,0.0
5,1992-01-07,NYSE:MEI,1.1393,3.4167,0.73,3.4167,3.2917,0.0,3.4167,0.0,0.0,0.0,0.0,0.0,0.0,57.4948,57.4977,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106,1,35004.0,1.5,0.0,0.0,0.0,0.73,0.73,0.7032929434834782,0.2106,0.0
6,1992-01-08,NYSE:MEI,1.1393,3.4167,0.73,3.4167,3.2917,0.0,3.4167,0.0,0.0,0.0,0.0,0.0,0.0,57.4948,57.4977,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0687,1,35004.0,1.5,0.0,0.0,0.0,0.73,0.73,0.7032929434834782,0.0687,0.0
7,1992-01-09,NYSE:MEI,1.1393,3.5833,0.7656,3.6667,3.2917,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,63.3107,63.3134,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,1,35004.0,1.5,0.0,0.0,0.0,0.73889277481651,0.7834190606424245,0.7032973850919544,0.1161,0.0
8,1992-01-10,NYSE:MEI,0.9883,3.5417,0.7567,3.6667,3.5417,0.0,3.5833,0.0,0.0,0.0,0.0,0.0,0.0,61.0613,61.0638,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,1,35004.0,1.5,0.0,0.0,0.0,0.7655880255244657,0.7834068074653415,0.7567,0.1224,0.0
9,1992-01-13,NYSE:MEI,0.9883,3.5,0.7478,3.6667,3.5,0.0,3.5417,0.0,0.0,0.0,0.0,0.0,0.0,58.8111,58.8134,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1092,1,35004.0,1.5,0.0,0.0,0.0,0.7567095028571429,0.7834166457142857,0.7478,0.1092,0.0
10,1992-01-14,NYSE:MEI,0.9883,3.4583,0.7389,3.5833,3.4583,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,56.5661,56.5683,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3804,1,35004.0,1.5,0.0,0.0,0.0,0.7389,0.7656074863372178,0.7389,0.3804,0.0
11,1992-01-15,NYSE:MEI,0.9883,3.5417,0.7567,3.5417,3.4167,0.0,3.4167,0.0,0.0,0.0,0.0,0.0,0.0,59.8658,59.868,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432,1,35004.0,1.5,0.0,0.0,0.0,0.7299931925346586,0.7567,0.7299931925346586,0.0432,0.0
12,1992-01-16,NYSE:MEI,0.9883,3.4167,0.73,3.6667,3.4167,0.0,3.4167,0.0,0.0,0.0,0.0,0.0,0.0,53.322,53.3237,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,1,35004.0,1.5,0.0,0.0,0.0,0.73,0.7834141130330436,0.73,0.186,0.0
13,1992-01-17,NYSE:MEI,0.9829,3.5417,0.7567,3.5417,3.4583,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,58.2381,58.2397,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,1,35004.0,1.5,0.0,0.0,0.0,0.7388812180591242,0.7567,0.7388812180591242,0.0681,0.0
14,1992-01-20,NYSE:MEI,0.9829,3.5417,0.7567,3.5833,3.4583,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,58.2381,58.2397,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0789,1,35004.0,1.5,0.0,0.0,0.0,0.7388812180591242,0.7655880255244657,0.7388812180591242,0.0789,0.0
15,1992-01-21,NYSE:MEI,0.9829,3.5,0.7478,3.5833,3.4583,0.0,3.5833,0.0,0.0,0.0,0.0,0.0,0.0,55.9597,55.9612,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075,1,35004.0,1.5,0.0,0.0,0.0,0.7655976400000001,0.7655976400000001,0.7388904971428571,0.3075,0.0
16,1992-01-22,NYSE:MEI,0.9829,3.5417,0.7567,3.5833,3.4583,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,57.7402,57.7417,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609,1,35004.0,1.5,0.0,0.0,0.0,0.7388812180591242,0.7655880255244657,0.7388812180591242,0.0609,0.0
17,1992-01-23,NYSE:MEI,0.9829,3.4583,0.7389,3.5833,3.4583,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,53.1151,53.1164,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1086,1,35004.0,1.5,0.0,0.0,0.0,0.7389,0.7656074863372178,0.7389,0.1086,0.0
18,1992-01-24,NYSE:MEI,0.9556,3.5,0.7478,3.5833,3.4583,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,55.0537,55.055,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3384,1,35004.0,1.5,0.0,0.0,0.0,0.7388904971428571,0.7655976400000001,0.7388904971428571,0.3384,0.0
19,1992-01-27,NYSE:MEI,0.9556,3.4583,0.7389,3.5833,3.4583,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,52.7067,52.7079,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,1,35004.0,1.5,0.0,0.0,0.0,0.7389,0.7656074863372178,0.7389,0.0336,0.0
20,1992-01-28,NYSE:MEI,0.9556,3.4167,0.73,3.5417,3.4167,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,50.3932,50.3943,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426,1,35004.0,1.5,0.0,0.0,0.0,0.7477975824626102,0.7567070565165217,0.73,0.0426,0.0
21,1992-01-29,NYSE:MEI,0.9556,3.3333,0.7122,3.5417,3.3333,0.0,3.5417,0.0,0.0,0.0,0.0,0.0,0.0,46.0405,46.0412,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348,1,35004.0,1.5,0.0,0.0,0.0,0.7567271892718928,0.7567271892718928,0.7122,0.0348,0.0
22,1992-01-30,NYSE:MEI,0.9556,3.25,0.6944,3.375,3.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,42.1223,42.1229,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693,1,35004.0,1.5,0.0,0.0,0.0,0.6944,0.7211076923076923,0.6944,0.0693,0.0
23,1992-01-31,NYSE:MEI,0.9395,3.375,0.7211,3.375,3.25,0.0,3.375,0.0,0.0,0.0,0.0,0.0,0.0,49.1174,49.1182,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,1,35004.0,1.5,0.0,0.0,0.0,0.7211,0.7211,0.6943925925925926,0.0288,0.0
24,1992-02-03,NYSE:MEI,0.9395,3.25,0.6944,3.375,3.25,0.0,3.375,0.0,0.0,0.0,0.0,0.0,0.0,43.4607,43.4612,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5775,1,35004.0,1.5,0.0,0.0,0.0,0.7211076923076923,0.7211076923076923,0.6944,0.5775,0.0
25,1992-02-04,NYSE:MEI,0.9395,3.375,0.7211,3.375,3.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,49.6993,49.6999,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1095,1,35004.0,1.5,0.0,0.0,0.0,0.6943925925925926,0.7211,0.6943925925925926,0.1095,0.0
26,1992-02-05,NYSE:MEI,0.9395,3.25,0.6944,3.375,3.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,44.4208,44.4212,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531,1,35004.0,1.5,0.0,0.0,0.0,0.6944,0.7211076923076923,0.6944,0.0531,0.0
27,1992-02-06,NYSE:MEI,0.9395,3.4583,0.7389,3.4583,3.25,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,53.3195,53.32,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956,1,35004.0,1.5,0.0,0.0,0.0,0.6943946447676604,0.7389,0.6943946447676604,0.4956,0.0
28,1992-02-07,NYSE:MEI,0.9322,3.2917,0.7033,3.4583,3.2917,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,46.8562,46.8565,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447,1,35004.0,1.5,0.0,0.0,0.0,0.7388955220706626,0.7388955220706626,0.7033,0.0447,0.0
29,1992-02-10,NYSE:MEI,0.9322,3.2917,0.7033,3.4167,3.2917,0.0,3.2917,0.0,0.0,0.0,0.0,0.0,0.0,46.8562,46.8565,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,1,35004.0,1.5,0.0,0.0,0.0,0.7033,0.73000732448279,0.7033,0.0105,0.0
30,1992-02-11,NYSE:MEI,0.9322,3.4583,0.7389,3.4583,3.2917,0.0,3.4167,0.0,0.0,0.0,0.0,0.0,0.0,53.4065,53.4069,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158,1,35004.0,1.5,0.0,0.0,0.0,0.7300117485469739,0.7389,0.7033042622097563,0.1158,0.0
31,1992-02-12,NYSE:MEI,0.9322,3.5,0.7478,3.5,3.3333,0.0,3.4583,0.0,0.0,0.0,0.0,0.0,0.0,54.903,54.9034,0.0,2.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,1,35004.0,1.5,0.0,0.0,0.0,0.7388904971428571,0.7478,0.7121833542857143,0.0084,0.0
