,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:MGM,0.204,2.8438,2.6808,2.875,2.8125,466.5685,2.8438,0.0,0.0,0.0,0.0,0.0,0.0,57.6081,57.6081,0.3971,3.0201,0.2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,4.0,0.0,1.0,0.0,0.0,0.0,2.6808,2.7102116885856953,2.6512940431816587,0.2592,0.0
1,1992-01-01,NYSE:MGM,0.204,0.0,2.6808,0.0,0.0,466.5685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6081,57.6081,0.3971,3.0201,0.2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:MGM,0.204,2.875,2.7103,2.9688,2.875,471.6956,2.875,0.0,0.0,0.0,0.0,0.0,0.0,59.4482,59.4482,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,4.0,0.0,1.0,0.0,0.0,0.0,2.7103,2.7987264834782613,2.7103,0.104,0.0
3,1992-01-03,NYSE:MGM,0.499,2.875,2.7103,2.9063,2.875,471.6956,2.875,0.0,0.0,0.0,0.0,0.0,0.0,59.4482,59.4482,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184,4.0,0.0,1.0,0.0,0.0,0.0,2.7103,2.7398069182608698,2.7103,0.0736,0.0
4,1992-01-06,NYSE:MGM,0.499,2.9375,2.7692,2.9688,2.875,481.9498,2.875,0.0,0.0,0.0,0.0,0.0,0.0,63.1577,63.1577,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,4.0,0.0,1.0,0.0,0.0,0.0,2.7102808510638297,2.7987067097872336,2.7102808510638297,0.1344,0.0
5,1992-01-07,NYSE:MGM,0.499,2.8125,2.6514,2.9688,2.8125,461.4413,2.9688,0.0,0.0,0.0,0.0,0.0,0.0,52.7623,52.7623,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828,4.0,0.0,1.0,0.0,0.0,0.0,2.798747136,2.798747136,2.6514,0.3312,0.0
6,1992-01-08,NYSE:MGM,0.499,2.9063,2.7398,2.9063,2.8125,476.8227,2.8438,0.0,0.0,0.0,0.0,0.0,0.0,58.3052,58.3052,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436,4.0,0.0,1.0,0.0,0.0,0.0,2.6808805835598526,2.7398,2.651373739806627,0.1744,0.0
7,1992-01-09,NYSE:MGM,0.499,2.9063,2.7398,2.9063,2.8125,476.8227,2.9063,0.0,0.0,0.0,0.0,0.0,0.0,58.3052,58.3052,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,4.0,0.0,1.0,0.0,0.0,0.0,2.7398,2.7398,2.651373739806627,0.584,0.0
8,1992-01-10,NYSE:MGM,0.4332,2.9688,2.7987,3.0,2.9063,487.077,2.9063,0.0,0.0,0.0,0.0,0.0,0.0,61.7734,61.7734,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1192,4.0,0.0,1.0,0.0,0.0,0.0,2.7397809923201293,2.828112368633792,2.7397809923201293,0.4768,0.0
9,1992-01-13,NYSE:MGM,0.4332,2.9063,2.7398,2.9375,2.875,476.8227,2.9375,0.0,0.0,0.0,0.0,0.0,0.0,56.6948,56.6948,0.3488,3.0201,0.2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,4.0,0.0,1.0,0.0,0.0,0.0,2.7692125726869214,2.7692125726869214,2.7102931562467742,0.296,0.0
