,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:NEE,0.1922,4.625,1.5563,4.625,4.5313,1567.9953,4.5625,0.0,0.0,0.0,0.0,0.0,0.0,67.9181,69.2754,6.3905,0.9236,1.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9664,8.0,31078.0,2.0,0.0,0.0,0.0,1.535268918918919,1.5563,1.524770203243243,39.7312,0.0
1,1992-01-01,NYSE:NEE,0.1922,0.0,1.5563,0.0,0.0,1567.9953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9181,69.2754,6.3905,0.9236,1.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31078.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:NEE,0.1922,4.5625,1.5352,4.625,4.5,1546.8062,4.625,0.0,0.0,0.0,0.0,0.0,0.0,60.1238,61.3427,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4352,8.0,31078.0,2.0,0.0,0.0,0.0,1.5562301369863014,1.5562301369863014,1.5141698630136984,19.4816,0.0
3,1992-01-03,NYSE:NEE,0.1808,4.5781,1.5405,4.5938,4.5313,1552.1035,4.5625,0.0,0.0,0.0,0.0,0.0,0.0,61.3189,62.4989,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1808,8.0,31078.0,2.0,0.0,0.0,0.0,1.5352507044407069,1.5457829448898015,1.5247521133221205,17.4464,0.0
4,1992-01-06,NYSE:NEE,0.1808,4.5313,1.5247,4.6094,4.5156,1536.2116,4.5781,0.0,0.0,0.0,0.0,0.0,0.0,55.9056,56.9921,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6824,8.0,31078.0,2.0,0.0,0.0,0.0,1.5404473484430516,1.5509792289188533,1.5194172356718822,13.4592,0.0
5,1992-01-07,NYSE:NEE,0.1808,4.5469,1.53,4.5625,4.4844,1541.5089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2601,58.3106,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9904,8.0,31078.0,2.0,0.0,0.0,0.0,0.0,1.5352492907255493,1.5089691877982803,15.9232,0.0
6,1992-01-08,NYSE:NEE,0.1808,4.4844,1.509,4.5313,4.4688,1520.3198,4.5156,0.0,0.0,0.0,0.0,0.0,0.0,50.5688,51.5081,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2704,8.0,31078.0,2.0,0.0,0.0,0.0,1.5194987958255286,1.5247818437249128,1.5037506020872355,18.1632,0.0
7,1992-01-09,NYSE:NEE,0.1808,4.4844,1.509,4.5781,4.4219,1520.3198,4.5313,0.0,0.0,0.0,0.0,0.0,0.0,50.5688,51.5081,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.656,8.0,31078.0,2.0,0.0,0.0,0.0,1.5247818437249128,1.5405300374632056,1.4879687583623227,13.248,0.0
8,1992-01-10,NYSE:NEE,0.1952,4.3906,1.4774,4.5,4.375,1488.5361,4.4844,0.0,0.0,0.0,0.0,0.0,0.0,42.0254,42.818,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2056,8.0,31078.0,2.0,0.0,0.0,0.0,1.508962911674942,1.5142121805675763,1.4721507311073658,17.6448,0.0
9,1992-01-13,NYSE:NEE,0.1952,4.3594,1.4669,4.3906,4.3281,1477.9415,4.375,0.0,0.0,0.0,0.0,0.0,0.0,39.6225,40.3727,4.6991,0.9236,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2432,8.0,31078.0,2.0,0.0,0.0,0.0,1.4721492636601368,1.4773985273202737,1.4563678235537,25.9456,0.0
