,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:NL,1.0486,10.0,2.3611,10.25,10.0,518.0901,10.125,0.0,0.0,0.0,0.0,0.0,0.0,50.365,51.2917,0.0892,1.8289,0.1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801,1.0,32500.0,0.1,0.0,0.0,0.0,2.39061375,2.4201275,2.3611,0.0801,0.0
1,1992-01-01,NYSE:NL,1.0486,0.0,2.3611,0.0,0.0,518.0901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.365,51.2917,0.0892,1.8289,0.1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32500.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:NL,1.0486,10.375,2.4496,10.375,10.0,537.5185,10.25,0.0,0.0,0.0,0.0,0.0,0.0,55.4512,56.3741,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,1.0,32500.0,0.1,0.0,0.0,0.0,2.420086746987952,2.4496,2.3610602409638557,0.0351,0.0
3,1992-01-03,NYSE:NL,1.1803,10.75,2.5382,10.75,10.375,556.9468,10.375,0.0,0.0,0.0,0.0,0.0,0.0,59.8788,60.7811,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322,1.0,32500.0,0.1,0.0,0.0,0.0,2.4496581395348835,2.5382,2.4496581395348835,0.0322,0.0
4,1992-01-06,NYSE:NL,1.1803,11.25,2.6562,11.25,11.0,582.8513,11.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8894,65.7493,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309,1.0,32500.0,0.1,0.0,0.0,0.0,2.5971733333333336,2.6562,2.5971733333333336,0.0309,0.0
5,1992-01-07,NYSE:NL,1.1803,11.0,2.5972,11.5,10.875,569.8991,11.125,0.0,0.0,0.0,0.0,0.0,0.0,60.8007,61.5509,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388,1.0,32500.0,0.1,0.0,0.0,0.0,2.6267136363636365,2.7152545454545454,2.567686363636364,0.0388,0.0
6,1992-01-08,NYSE:NL,1.1803,11.375,2.6857,11.375,10.75,589.3275,10.875,0.0,0.0,0.0,0.0,0.0,0.0,64.422,65.1461,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912,1.0,32500.0,0.1,0.0,0.0,0.0,2.567647252747253,2.6857,2.538134065934066,0.0912,0.0
7,1992-01-09,NYSE:NL,1.1803,11.875,2.8038,12.875,11.5,615.232,11.875,0.0,0.0,0.0,0.0,0.0,0.0,68.5888,69.2718,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0835,1.0,32500.0,0.1,0.0,0.0,0.0,2.8038,3.0399094736842103,2.715258947368421,0.0835,0.0
8,1992-01-10,NYSE:NL,1.1002,11.75,2.7743,12.0,11.625,608.7558,11.875,0.0,0.0,0.0,0.0,0.0,0.0,66.4922,67.1324,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0258,1.0,32500.0,0.1,0.0,0.0,0.0,2.8038138297872344,2.833327659574468,2.7447861702127665,0.0258,0.0
9,1992-01-13,NYSE:NL,1.1002,11.5,2.7153,11.875,11.375,595.8036,11.75,0.0,0.0,0.0,0.0,0.0,0.0,62.385,62.9451,0.1262,1.8289,0.2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302,1.0,32500.0,0.1,0.0,0.0,0.0,2.7743282608695656,2.8038423913043475,2.6857858695652173,0.0302,0.0
