,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:NVR,2.1534,0.875,0.875,1.125,0.8125,26.5746,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,67.6281,67.6281,0.0009,0.994,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831,1.0,0.0,1.0,0.0,0.0,0.0,0.8125,1.125,0.8125,0.1831,0.0
1,1992-01-01,NYSE:NVR,2.1534,0.0,0.875,0.0,0.0,26.5746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6281,67.6281,0.0009,0.994,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:NVR,2.1534,0.875,0.875,1.0,0.875,26.5746,0.875,0.0,0.0,0.0,0.0,0.0,0.0,67.6281,67.6281,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,1.0,0.0,1.0,0.0,0.0,0.0,0.875,1.0,0.875,0.051,0.0
3,1992-01-03,NYSE:NVR,3.4102,0.875,0.875,1.0,0.8125,26.5746,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,67.6281,67.6281,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686,1.0,0.0,1.0,0.0,0.0,0.0,0.8125,1.0,0.8125,0.0686,0.0
4,1992-01-06,NYSE:NVR,3.4102,0.875,0.875,0.9375,0.875,26.5746,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,67.6281,67.6281,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,0.9375,0.875,0.0309,0.0
5,1992-01-07,NYSE:NVR,3.4102,0.875,0.875,1.0,0.875,26.5746,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,67.6281,67.6281,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0354,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,1.0,0.875,0.0354,0.0
6,1992-01-08,NYSE:NVR,3.4102,1.0,1.0,1.0,0.875,30.371,0.875,0.0,0.0,0.0,0.0,0.0,0.0,74.3854,74.3854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383,1.0,0.0,1.0,0.0,0.0,0.0,0.875,1.0,0.875,0.0383,0.0
7,1992-01-09,NYSE:NVR,3.4102,1.0,1.0,1.0,0.9375,30.371,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,74.3854,74.3854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,1.0,0.9375,0.0498,0.0
8,1992-01-10,NYSE:NVR,3.1089,1.0,1.0,1.0,0.875,30.371,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,74.3854,74.3854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,1.0,0.875,0.079,0.0
9,1992-01-13,NYSE:NVR,3.1089,1.0,1.0,1.0,0.9375,30.371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3854,74.3854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9375,0.0529,0.0
10,1992-01-14,NYSE:NVR,3.1089,1.0,1.0,1.0,0.9375,30.371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3854,74.3854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1004,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9375,0.1004,0.0
11,1992-01-15,NYSE:NVR,3.1089,1.0,1.0,1.0,0.9375,30.371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3854,74.3854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9375,0.0325,0.0
12,1992-01-16,NYSE:NVR,3.1089,0.875,0.875,1.0,0.875,26.5746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1135,56.1135,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,0.0884,0.0
13,1992-01-17,NYSE:NVR,3.0415,0.875,0.875,0.9375,0.875,26.5746,0.875,0.0,0.0,0.0,0.0,0.0,0.0,56.1135,56.1135,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1159,1.0,0.0,1.0,0.0,0.0,0.0,0.875,0.9375,0.875,0.1159,0.0
14,1992-01-20,NYSE:NVR,3.0415,0.9375,0.9375,1.0,0.875,28.4728,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,61.5854,61.5854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,1.0,0.875,0.0657,0.0
15,1992-01-21,NYSE:NVR,3.0415,0.9375,0.9375,0.9375,0.875,28.4728,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,61.5854,61.5854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0516,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,0.9375,0.875,0.0516,0.0
16,1992-01-22,NYSE:NVR,3.0415,0.9375,0.9375,1.0,0.875,28.4728,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,61.5854,61.5854,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,1.0,0.875,0.0413,0.0
17,1992-01-23,NYSE:NVR,3.0415,0.875,0.875,1.0,0.875,26.5746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2873,53.2873,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,0.0282,0.0
18,1992-01-24,NYSE:NVR,2.8004,1.0,1.0,1.0,0.875,30.371,0.875,0.0,0.0,0.0,0.0,0.0,0.0,63.7945,63.7945,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431,1.0,0.0,1.0,0.0,0.0,0.0,0.875,1.0,0.875,0.0431,0.0
