,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:ODC,1.0181,16.4,7.1935,16.4,15.2,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,67.2919,67.3143,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,1.0,38971.0,1.25,0.0,0.0,0.0,6.667146341463416,7.1935,6.667146341463416,0.0144,0.0
1,1992-01-01,NYSE:ODC,1.0181,0.0,7.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2919,67.3143,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38971.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:ODC,1.0181,17.2,7.5444,17.2,15.6,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,71.4665,71.4874,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,1.0,38971.0,1.25,0.0,0.0,0.0,7.193497674418604,7.5444,6.84259534883721,0.0175,0.0
3,1992-01-03,NYSE:ODC,1.1888,17.0,7.4567,17.0,16.4,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,69.0923,69.1118,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,1.0,38971.0,1.25,0.0,0.0,0.0,7.193522352941176,7.4567,7.193522352941176,0.0065,0.0
4,1992-01-06,NYSE:ODC,1.1888,17.0,7.4567,17.0,16.4,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,69.0923,69.1118,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,1.0,38971.0,1.25,0.0,0.0,0.0,7.193522352941176,7.4567,7.193522352941176,0.0021,0.0
5,1992-01-07,NYSE:ODC,1.1888,16.8,7.3689,17.0,16.4,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,66.5291,66.547,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,1.0,38971.0,1.25,0.0,0.0,0.0,7.193449999999999,7.456625,7.193449999999999,0.0075,0.0
6,1992-01-08,NYSE:ODC,1.1888,17.0,7.4567,17.0,16.4,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,67.815,67.8326,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,1.0,38971.0,1.25,0.0,0.0,0.0,7.193522352941176,7.4567,7.193522352941176,0.0064,0.0
7,1992-01-09,NYSE:ODC,1.1888,16.4,7.1935,17.2,16.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3272,60.3409,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,1.0,38971.0,1.25,0.0,0.0,0.0,7.456676829268293,7.544402439024391,7.1935,0.0171,0.0
8,1992-01-10,NYSE:ODC,1.2176,16.8,7.3689,17.6,16.4,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2412,63.2545,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589,1.0,38971.0,1.25,0.0,0.0,0.0,7.456625,7.7198,7.193449999999999,0.0589,0.0
9,1992-01-13,NYSE:ODC,1.2176,17.2,7.5444,17.2,16.4,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,65.9356,65.9486,0.0,0.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,1.0,38971.0,1.25,0.0,0.0,0.0,7.193497674418604,7.5444,7.193497674418604,0.0005,0.0
