,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:PAR,1.208,1.75,1.7281,1.9167,1.75,19.4392,1.75,0.517,NM,0.0,NM,0.2242,0.0,47.1909,47.1909,0.0,20.3878,0.0,27.1942,NM,NM,0.0,0.0,0.3076,0.0,0.0077,1.0,38726.0,1.5,0.0,0.0,0.0,1.7281,1.8927138685714286,1.7281,0.0077,0.0
1,1992-01-01,NYSE:PAR,1.208,0.0,1.7281,0.0,0.0,19.4392,0.0,0.517,NM,0.0,NM,0.2242,0.0,47.1909,47.1909,0.0,20.3878,0.0,27.1942,NM,NM,0.0,0.0,0.3076,0.0,0.0,1.0,38726.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:PAR,1.208,1.8333,1.8103,1.8333,1.8333,20.3649,1.8333,0.5416,NM,0.0,NM,0.2349,0.0,55.4254,55.4254,0.0,20.3878,0.0,28.1199,NM,NM,0.0,0.0,0.318,0.0,0.0003,1.0,38726.0,1.5,0.0,0.0,0.0,1.8103,1.8103,1.8103,0.0003,0.0
3,1992-01-03,NYSE:PAR,1.2752,1.8333,1.8103,1.8333,1.75,20.3649,1.75,0.5416,NM,0.0,NM,0.2349,0.0,55.4254,55.4254,0.0,20.3878,0.0,28.1199,NM,NM,0.0,0.0,0.318,0.0,0.0059,1.0,38726.0,1.5,0.0,0.0,0.0,1.7280450553646431,1.8103,1.7280450553646431,0.0059,0.0
4,1992-01-06,NYSE:PAR,1.2752,1.6667,1.6458,1.8333,1.6667,18.5136,1.75,0.4923,NM,0.0,NM,0.2136,0.0,40.7036,40.7036,0.0,20.3878,0.0,26.2686,NM,NM,0.0,0.0,0.2971,0.0,0.0074,1.0,38726.0,1.5,0.0,0.0,0.0,1.7280554388912222,1.8103108777824441,1.6458,0.0074,0.0
5,1992-01-07,NYSE:PAR,1.2752,1.8333,1.8103,1.8333,1.75,20.3649,1.75,0.5416,NM,0.0,NM,0.2349,0.0,53.8925,53.8925,0.0,20.3878,0.0,28.1199,NM,NM,0.0,0.0,0.318,0.0,0.0035,1.0,38726.0,1.5,0.0,0.0,0.0,1.7280450553646431,1.8103,1.7280450553646431,0.0035,0.0
6,1992-01-08,NYSE:PAR,1.2752,1.8333,1.8103,1.9167,1.8333,20.3649,1.8333,0.5416,NM,0.0,NM,0.2349,0.0,53.8925,53.8925,0.0,20.3878,0.0,28.1199,NM,NM,0.0,0.0,0.318,0.0,0.0062,1.0,38726.0,1.5,0.0,0.0,0.0,1.8103,1.8926536900670923,1.8103,0.0062,0.0
7,1992-01-09,NYSE:PAR,1.2752,1.9167,1.8926,1.9167,1.9167,21.2906,1.9167,0.5662,NM,0.0,NM,0.2456,0.0,59.16,59.16,0.0,20.3878,0.0,29.0456,NM,NM,0.0,0.0,0.3285,0.0,0.0023,1.0,38726.0,1.5,0.0,0.0,0.0,1.8926,1.8926,1.8926,0.0023,0.0
8,1992-01-10,NYSE:PAR,1.2333,1.8333,1.8103,1.9167,1.8333,20.3649,1.8333,0.5416,NM,0.0,NM,0.2349,0.0,52.6788,52.6788,0.0,20.3878,0.0,28.1199,NM,NM,0.0,0.0,0.318,0.0,0.0032,1.0,38726.0,1.5,0.0,0.0,0.0,1.8103,1.8926536900670923,1.8103,0.0032,0.0
9,1992-01-13,NYSE:PAR,1.2333,1.8333,1.8103,1.9167,1.8333,20.3649,1.9167,0.5416,NM,0.0,NM,0.2349,0.0,52.6788,52.6788,0.0,20.3878,0.0,28.1199,NM,NM,0.0,0.0,0.318,0.0,0.005,1.0,38726.0,1.5,0.0,0.0,0.0,1.8926536900670923,1.8926536900670923,1.8103,0.005,0.0
10,1992-01-14,NYSE:PAR,1.2333,2.5,2.4687,2.5833,1.9167,27.7703,1.9167,0.7385,NM,0.0,NM,0.3203,0.0,76.5324,76.5324,0.0,20.3878,0.0,35.5253,NM,NM,0.0,0.0,0.4018,0.0,0.0549,1.0,38726.0,1.5,0.0,0.0,0.0,1.8927029160000002,2.550957084,1.8927029160000002,0.0549,0.0
11,1992-01-15,NYSE:PAR,1.2333,4.0,3.9498,4.6667,3.0833,44.4325,3.1667,1.1816,NM,0.0,NM,0.5125,0.0,89.4358,89.4358,0.0,20.3878,0.0,52.1875,NM,NM,0.0,0.0,0.5902,0.0,0.2909,1.0,38726.0,1.5,0.0,0.0,0.0,3.126957915,4.608132915,3.044604585,0.2909,0.0
12,1992-01-16,NYSE:PAR,1.2333,3.9167,3.8676,4.5,3.8333,43.5068,4.0833,1.157,NM,0.0,NM,0.5018,0.0,86.5874,86.5874,0.0,20.3878,0.0,51.2618,NM,NM,0.0,0.0,0.5797,0.0,0.2249,1.0,38726.0,1.5,0.0,0.0,0.0,4.0321114918170915,4.443587714147113,3.7852455076978067,0.2249,0.0
13,1992-01-17,NYSE:PAR,1.6936,3.5,3.4561,3.9167,3.25,38.8784,3.9167,1.0339,NM,0.0,NM,0.4485,0.0,73.912,73.912,0.0,20.3878,0.0,46.6334,NM,NM,0.0,0.0,0.5274,0.0,0.0518,1.0,38726.0,1.5,0.0,0.0,0.0,3.867573391428572,3.867573391428572,3.2092357142857146,0.0518,0.0
14,1992-01-20,NYSE:PAR,1.6936,3.3333,3.2915,3.6667,3.3333,37.0271,3.5833,0.9847,NM,0.0,NM,0.4271,0.0,69.5276,69.5276,0.0,20.3878,0.0,44.7821,NM,NM,0.0,0.0,0.5065,0.0,0.0243,1.0,38726.0,1.5,0.0,0.0,0.0,3.5383649686496867,3.6207191221912223,3.2915,0.0243,0.0
15,1992-01-21,NYSE:PAR,1.6936,3.3333,3.2915,3.3333,3.25,37.0271,3.25,0.9847,NM,0.0,NM,0.4271,0.0,69.5276,69.5276,0.0,20.3878,0.0,44.7821,NM,NM,0.0,0.0,0.5065,0.0,0.0069,1.0,38726.0,1.5,0.0,0.0,0.0,3.2092445924459247,3.2915,3.2092445924459247,0.0069,0.0
16,1992-01-22,NYSE:PAR,1.6936,3.1667,3.127,3.3333,3.0,35.1757,3.3333,0.9354,NM,0.0,NM,0.4057,0.0,65.0523,65.0524,0.0,20.3878,0.0,42.9307,NM,NM,0.0,0.0,0.4855,0.0,0.0092,1.0,38726.0,1.5,0.0,0.0,0.0,3.2915113840906933,3.2915113840906933,2.9623898695803197,0.0092,0.0
17,1992-01-23,NYSE:PAR,1.6936,3.5833,3.5384,3.75,3.3333,39.8041,3.3333,1.0585,NM,0.0,NM,0.4591,0.0,70.2141,70.2141,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0468,1.0,38726.0,1.5,0.0,0.0,0.0,3.2915325872798817,3.7030111908017753,3.2915325872798817,0.0468,0.0
18,1992-01-24,NYSE:PAR,1.7092,3.5,3.4561,3.5833,3.5,38.8784,3.5,1.0339,NM,0.0,NM,0.4485,0.0,68.0493,68.0493,0.0,20.3878,0.0,46.6334,NM,NM,0.0,0.0,0.5274,0.0,0.0171,1.0,38726.0,1.5,0.0,0.0,0.0,3.4561,3.5383551800000004,3.4561,0.0171,0.0
19,1992-01-27,NYSE:PAR,1.7092,3.5,3.4561,3.5833,3.4167,38.8784,3.5833,1.0339,NM,0.0,NM,0.4485,0.0,68.0493,68.0493,0.0,20.3878,0.0,46.6334,NM,NM,0.0,0.0,0.5274,0.0,0.0041,1.0,38726.0,1.5,0.0,0.0,0.0,3.5383551800000004,3.5383551800000004,3.3738448200000004,0.0041,0.0
20,1992-01-28,NYSE:PAR,1.7092,3.5,3.4561,3.5833,3.5,38.8784,3.5833,1.0339,NM,0.0,NM,0.4485,0.0,68.0493,68.0493,0.0,20.3878,0.0,46.6334,NM,NM,0.0,0.0,0.5274,0.0,0.005,1.0,38726.0,1.5,0.0,0.0,0.0,3.5383551800000004,3.5383551800000004,3.4561,0.005,0.0
21,1992-01-29,NYSE:PAR,1.7092,3.3333,3.2915,3.4167,3.3333,37.0271,3.4167,0.9847,NM,0.0,NM,0.4271,0.0,63.1832,63.1832,0.0,20.3878,0.0,44.7821,NM,NM,0.0,0.0,0.5065,0.0,0.0059,1.0,38726.0,1.5,0.0,0.0,0.0,3.3738541535415356,3.3738541535415356,3.2915,0.0059,0.0
22,1992-01-30,NYSE:PAR,1.7092,4.0,3.9498,4.0,3.4167,44.4325,3.5,1.1816,NM,0.0,NM,0.5125,0.0,71.8534,71.8534,0.0,20.3878,0.0,52.1875,NM,NM,0.0,0.0,0.5902,0.0,0.0318,1.0,38726.0,1.5,0.0,0.0,0.0,3.4560750000000002,3.9498,3.3738204150000004,0.0318,0.0
23,1992-01-31,NYSE:PAR,1.3298,3.75,3.703,4.0833,3.75,41.6555,4.0833,1.1077,NM,0.0,NM,0.4805,0.0,65.6133,65.6133,0.0,20.3878,0.0,49.4105,NM,NM,0.0,0.0,0.5588,0.0,0.0242,1.0,38726.0,1.5,0.0,0.0,0.0,4.03212264,4.03212264,3.703,0.0242,0.0
24,1992-02-03,NYSE:PAR,1.3298,3.8333,3.7853,3.8333,3.6667,42.5811,3.75,1.1324,NM,0.0,NM,0.4912,0.0,66.6529,66.6529,0.0,20.3878,0.0,50.3361,NM,NM,0.0,0.0,0.5693,0.0,0.0117,1.0,38726.0,1.5,0.0,0.0,0.0,3.7030430699397385,3.7853,3.6207861398794776,0.0117,0.0
25,1992-02-04,NYSE:PAR,1.3298,3.6667,3.6207,3.8333,3.6667,40.7298,3.6667,1.0831,NM,0.0,NM,0.4698,0.0,62.5781,62.5781,0.0,20.3878,0.0,48.4848,NM,NM,0.0,0.0,0.5483,0.0,0.0048,1.0,38726.0,1.5,0.0,0.0,0.0,3.6207,3.7852099462732154,3.6207,0.0048,0.0
26,1992-02-05,NYSE:PAR,1.3298,3.3333,3.2915,3.5833,3.3333,37.0271,3.5833,0.9847,NM,0.0,NM,0.4271,0.0,55.2968,55.2968,0.0,20.3878,0.0,44.7821,NM,NM,0.0,0.0,0.5065,0.0,0.0192,1.0,38726.0,1.5,0.0,0.0,0.0,3.5383649686496867,3.5383649686496867,3.2915,0.0192,0.0
27,1992-02-06,NYSE:PAR,1.3298,3.4167,3.3738,3.4167,3.3333,37.9528,3.3333,1.0093,NM,0.0,NM,0.4378,0.0,56.6546,56.6546,0.0,20.3878,0.0,45.7078,NM,NM,0.0,0.0,0.5169,0.0,0.0125,1.0,38726.0,1.5,0.0,0.0,0.0,3.291447168320309,3.3738,3.291447168320309,0.0125,0.0
28,1992-02-07,NYSE:PAR,0.8076,3.5,3.4561,3.5,3.4167,38.8784,3.5,1.0339,NM,0.0,NM,0.4485,0.0,58.0276,58.0276,0.0,20.3878,0.0,46.6334,NM,NM,0.0,0.0,0.5274,0.0,0.0122,1.0,38726.0,1.5,0.0,0.0,0.0,3.4561,3.4561,3.3738448200000004,0.0122,0.0
29,1992-02-10,NYSE:PAR,0.8076,3.4167,3.3738,3.5,3.4167,37.9528,3.5,1.0093,NM,0.0,NM,0.4378,0.0,56.1135,56.1135,0.0,20.3878,0.0,45.7078,NM,NM,0.0,0.0,0.5169,0.0,0.0033,1.0,38726.0,1.5,0.0,0.0,0.0,3.456054087277198,3.456054087277198,3.3738,0.0033,0.0
30,1992-02-11,NYSE:PAR,0.8076,3.5,3.4561,3.5,3.3333,38.8784,3.3333,1.0339,NM,0.0,NM,0.4485,0.0,57.619,57.619,0.0,20.3878,0.0,46.6334,NM,NM,0.0,0.0,0.5274,0.0,0.0087,1.0,38726.0,1.5,0.0,0.0,0.0,3.2914908942857144,3.4561,3.2914908942857144,0.0087,0.0
31,1992-02-12,NYSE:PAR,0.8076,3.6667,3.6207,3.6667,3.5833,40.7298,3.5833,1.0831,NM,0.0,NM,0.4698,0.0,60.535,60.535,0.0,20.3878,0.0,48.4848,NM,NM,0.0,0.0,0.5483,0.0,0.0132,1.0,38726.0,1.5,0.0,0.0,0.0,3.5383462813974416,3.6207,3.5383462813974416,0.0132,0.0
32,1992-02-13,NYSE:PAR,0.8076,3.5833,3.5384,3.6667,3.5833,39.8041,3.5833,1.0585,NM,0.0,NM,0.4591,0.0,58.3724,58.3724,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0131,1.0,38726.0,1.5,0.0,0.0,0.0,3.5384,3.6207549688834315,3.5384,0.0131,0.0
33,1992-02-14,NYSE:PAR,0.9255,3.5833,3.5384,3.5833,3.5,39.8041,3.5833,1.0585,NM,0.0,NM,0.4591,0.0,58.3724,58.3724,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0161,1.0,38726.0,1.5,0.0,0.0,0.0,3.5384,3.5384,3.456143778081657,0.0161,0.0
34,1992-02-17,NYSE:PAR,0.9255,0.0,3.5384,0.0,0.0,39.8041,0.0,1.0585,NM,0.0,NM,0.4591,0.0,58.3724,58.3724,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0,1.0,38726.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1992-02-18,NYSE:PAR,0.9255,3.5833,3.5384,3.5833,3.5833,39.8041,3.5833,1.0585,NM,0.0,NM,0.4591,0.0,58.3724,58.3724,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0063,1.0,38726.0,1.5,0.0,0.0,0.0,3.5384,3.5384,3.5384,0.0063,0.0
36,1992-02-19,NYSE:PAR,0.9255,3.5,3.4561,3.5,3.5,38.8784,3.5,1.0339,NM,0.0,NM,0.4485,0.0,55.8791,55.8791,0.0,20.3878,0.0,46.6334,NM,NM,0.0,0.0,0.5274,0.0,0.0095,1.0,38726.0,1.5,0.0,0.0,0.0,3.4561,3.4561,3.4561,0.0095,0.0
37,1992-02-20,NYSE:PAR,0.9255,3.5833,3.5384,3.5833,3.5,39.8041,3.5,1.0585,NM,0.0,NM,0.4591,0.0,57.8194,57.8194,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0053,1.0,38726.0,1.5,0.0,0.0,0.0,3.456143778081657,3.5384,3.456143778081657,0.0053,0.0
38,1992-02-21,NYSE:PAR,0.8982,3.5833,3.5384,3.5833,3.5,39.8041,3.5,1.0585,NM,0.0,NM,0.4591,0.0,57.8194,57.8194,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0143,1.0,38726.0,1.5,0.0,0.0,0.0,3.456143778081657,3.5384,3.456143778081657,0.0143,0.0
39,1992-02-24,NYSE:PAR,0.8982,3.5833,3.5384,3.5833,3.5,39.8041,3.5833,1.0585,NM,0.0,NM,0.4591,0.0,57.8194,57.8194,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0027,1.0,38726.0,1.5,0.0,0.0,0.0,3.5384,3.5384,3.456143778081657,0.0027,0.0
40,1992-02-25,NYSE:PAR,0.8982,3.5833,3.5384,3.5833,3.5,39.8041,3.5,1.0585,NM,0.0,NM,0.4591,0.0,57.8194,57.8194,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0107,1.0,38726.0,1.5,0.0,0.0,0.0,3.456143778081657,3.5384,3.456143778081657,0.0107,0.0
41,1992-02-26,NYSE:PAR,0.8982,3.5833,3.5384,3.5833,3.5,39.8041,3.5,1.0585,NM,0.0,NM,0.4591,0.0,57.8194,57.8194,0.0,20.3878,0.0,47.5591,NM,NM,0.0,0.0,0.5379,0.0,0.0168,1.0,38726.0,1.5,0.0,0.0,0.0,3.456143778081657,3.5384,3.456143778081657,0.0168,0.0
42,1992-02-27,NYSE:PAR,0.8982,3.25,3.2092,3.5,3.25,36.1014,3.5,0.96,NM,0.0,NM,0.4164,0.0,46.0785,46.0785,0.0,20.3878,0.0,43.8564,NM,NM,0.0,0.0,0.496,0.0,0.0072,1.0,38726.0,1.5,0.0,0.0,0.0,3.4560615384615385,3.4560615384615385,3.2092,0.0072,0.0
43,1992-02-28,NYSE:PAR,0.8558,3.3333,3.2915,3.3333,3.0833,37.0271,3.25,0.9847,NM,0.0,NM,0.4271,0.0,48.8736,48.8735,0.0,20.3878,0.0,44.7821,NM,NM,0.0,0.0,0.5065,0.0,0.0168,1.0,38726.0,1.5,0.0,0.0,0.0,3.2092445924459247,3.2915,3.0446350313503134,0.0168,0.0
44,1992-03-02,NYSE:PAR,0.8558,0.0,3.2915,0.0,0.0,37.0271,0.0,0.9471,25.3424,0.0,24.2887,0.4693,0.0,48.8736,48.8735,0.0,20.3878,0.0,34.8751,13.7846,6.0296,0.0,0.0,0.442,0.0,0.0,1.0,38726.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1992-03-03,NYSE:PAR,0.8558,3.3333,3.2915,3.3333,3.3333,37.0271,3.3333,0.9471,25.3424,0.0,24.2887,0.4693,0.0,48.8736,48.8735,0.0,20.3878,0.0,34.8751,13.7846,6.0296,0.0,0.0,0.442,0.0,0.003,1.0,38726.0,1.5,0.0,0.0,0.0,3.2915,3.2915,3.2915,0.003,0.0
46,1992-03-04,NYSE:PAR,0.8558,3.25,3.2092,3.3333,3.25,36.1014,3.3333,0.9235,24.7088,0.0,23.6815,0.4576,0.0,46.102,46.102,0.0,20.3878,0.0,33.9494,13.4187,5.8695,0.0,0.0,0.4303,0.0,0.0023,1.0,38726.0,1.5,0.0,0.0,0.0,3.291454264615384,3.291454264615384,3.2092,0.0023,0.0
