,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:PNC,1.6172,23.5625,9.1444,24.125,23.3125,5045.2025,24.125,0.0,0.0,0.0,0.0,0.0,0.0,68.8088,68.8568,0.9512,1.2602,0.4443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,2.0,31230.0,2.0,0.0,0.0,0.0,9.362701326259947,9.362701326259947,9.047377188328912,0.864,0.0
1,1992-01-01,NYSE:PNC,1.6172,0.0,9.1444,0.0,0.0,5045.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8088,68.8568,0.9512,1.2602,0.4443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31230.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:PNC,1.6172,23.75,9.2172,23.75,23.125,5085.35,23.25,0.0,0.0,0.0,0.0,0.0,0.0,70.2096,70.2561,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,2.0,31230.0,2.0,0.0,0.0,0.0,9.023153684210527,9.2172,8.974642105263158,1.032,0.0
3,1992-01-03,NYSE:PNC,1.6223,23.9375,9.29,24.1875,23.625,5125.4975,23.625,0.0,0.0,0.0,0.0,0.0,0.0,71.5839,71.6288,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5594,2.0,31230.0,2.0,0.0,0.0,0.0,9.168720626631853,9.387023498694516,9.168720626631853,1.1188,0.0
4,1992-01-06,NYSE:PNC,1.6223,24.0,9.3142,24.0625,23.5625,5138.88,23.8125,0.0,0.0,0.0,0.0,0.0,0.0,72.0468,72.0912,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3344,2.0,31230.0,2.0,0.0,0.0,0.0,9.2414328125,9.338455729166666,9.144409895833332,0.6688,0.0
5,1992-01-07,NYSE:PNC,1.6223,23.75,9.2172,23.8125,23.4375,5085.35,23.6875,0.0,0.0,0.0,0.0,0.0,0.0,67.3224,67.362,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164,2.0,31230.0,2.0,0.0,0.0,0.0,9.192944210526315,9.241455789473683,9.095921052631578,0.8328,0.0
6,1992-01-08,NYSE:PNC,1.6223,23.9375,9.29,23.9375,23.4375,5125.4975,23.625,0.0,0.0,0.0,0.0,0.0,0.0,68.9661,69.0043,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277,2.0,31230.0,2.0,0.0,0.0,0.0,9.168720626631853,9.29,9.095953002610965,0.554,0.0
7,1992-01-09,NYSE:PNC,1.6223,24.125,9.3627,24.25,23.75,5165.645,23.8125,0.0,0.0,0.0,0.0,0.0,0.0,70.5608,70.5976,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5488,2.0,31230.0,2.0,0.0,0.0,0.0,9.241421502590674,9.411211398963731,9.217165803108808,1.0976,0.0
8,1992-01-10,NYSE:PNC,1.5071,23.875,9.2657,24.125,23.75,5112.115,24.125,0.0,0.0,0.0,0.0,0.0,0.0,65.7122,65.745,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1878,2.0,31230.0,2.0,0.0,0.0,0.0,9.362723036649214,9.362723036649214,9.217188481675393,0.3756,0.0
9,1992-01-13,NYSE:PNC,1.5071,23.8125,9.2415,23.9375,23.5,5098.7325,23.8125,0.0,0.0,0.0,0.0,0.0,0.0,64.5186,64.5504,1.0528,1.2602,0.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2738,2.0,31230.0,2.0,0.0,0.0,0.0,9.2415,9.290011811023621,9.120220472440945,0.5476,0.0
