,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:PSA,0.3341,8.25,2.5905,8.25,7.875,0.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,51.5055,52.955,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539,1.0,0.0,1.0,0.0,0.0,0.0,2.55125,2.5905,2.47275,0.0539,0.0
1,1992-01-01,NYSE:PSA,0.3341,0.0,2.5905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5055,52.955,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:PSA,0.3341,8.25,2.5905,8.375,8.0,0.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,51.5055,52.955,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,1.0,0.0,1.0,0.0,0.0,0.0,2.55125,2.62975,2.512,0.0272,0.0
3,1992-01-03,NYSE:PSA,0.351,8.125,2.5512,8.25,8.0,0.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,46.038,47.179,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,1.0,0.0,1.0,0.0,0.0,0.0,2.5512,2.590449230769231,2.5119507692307694,0.0225,0.0
4,1992-01-06,NYSE:PSA,0.351,8.125,2.5512,8.25,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,46.038,47.179,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229,1.0,0.0,1.0,0.0,0.0,0.0,2.5119507692307694,2.590449230769231,2.5119507692307694,0.0229,0.0
5,1992-01-07,NYSE:PSA,0.351,8.125,2.5512,8.25,8.0,0.0,8.125,0.0,0.0,0.0,0.0,0.0,0.0,46.038,47.179,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,1.0,0.0,1.0,0.0,0.0,0.0,2.5512,2.590449230769231,2.5119507692307694,0.0161,0.0
6,1992-01-08,NYSE:PSA,0.351,8.125,2.5512,8.25,8.125,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,46.038,47.179,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231,1.0,0.0,1.0,0.0,0.0,0.0,2.590449230769231,2.590449230769231,2.5512,0.0231,0.0
7,1992-01-09,NYSE:PSA,0.351,8.5,2.669,8.5,8.125,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,62.2207,63.322,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,1.0,0.0,1.0,0.0,0.0,0.0,2.5905,2.669,2.55125,0.0135,0.0
8,1992-01-10,NYSE:PSA,0.3013,8.625,2.7082,8.625,8.375,0.0,8.375,0.0,0.0,0.0,0.0,0.0,0.0,65.8924,66.9481,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,1.0,0.0,1.0,0.0,0.0,0.0,2.6297014492753625,2.7082,2.6297014492753625,0.0192,0.0
9,1992-01-13,NYSE:PSA,0.3013,8.75,2.7475,8.75,8.5,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,69.1241,70.1284,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,1.0,0.0,1.0,0.0,0.0,0.0,2.669,2.7475,2.669,0.0124,0.0
10,1992-01-14,NYSE:PSA,0.3013,8.625,2.7082,8.75,8.625,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,62.7239,63.5437,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,1.0,0.0,1.0,0.0,0.0,0.0,2.7082,2.747449275362319,2.7082,0.0048,0.0
11,1992-01-15,NYSE:PSA,0.3013,8.625,2.7082,8.875,8.625,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,62.7239,63.5437,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,1.0,0.0,1.0,0.0,0.0,0.0,2.747449275362319,2.786698550724638,2.7082,0.0333,0.0
12,1992-01-16,NYSE:PSA,0.3013,8.625,2.7082,8.625,8.5,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,62.7239,63.5437,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291,1.0,0.0,1.0,0.0,0.0,0.0,2.7082,2.7082,2.6689507246376816,0.0291,0.0
13,1992-01-17,NYSE:PSA,0.3687,8.75,2.7475,8.875,8.625,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,66.5878,67.3703,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,1.0,0.0,1.0,0.0,0.0,0.0,2.70825,2.78675,2.70825,0.0134,0.0
14,1992-01-20,NYSE:PSA,0.3687,8.75,2.7475,8.875,8.75,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,66.5878,67.3703,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,1.0,0.0,1.0,0.0,0.0,0.0,2.7475,2.78675,2.7475,0.0156,0.0
15,1992-01-21,NYSE:PSA,0.3687,8.875,2.7867,8.875,8.625,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,70.1734,70.9113,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,1.0,0.0,1.0,0.0,0.0,0.0,2.7082014084507047,2.7867,2.7082014084507047,0.0155,0.0
16,1992-01-22,NYSE:PSA,0.3687,9.0,2.826,9.125,8.75,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,73.2634,73.9551,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,1.0,0.0,1.0,0.0,0.0,0.0,2.7475,2.86525,2.7475,0.027,0.0
17,1992-01-23,NYSE:PSA,0.3687,9.25,2.9045,9.5,9.125,0.0,9.125,0.0,0.0,0.0,0.0,0.0,0.0,78.1408,78.7455,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428,1.0,0.0,1.0,0.0,0.0,0.0,2.86525,2.983,2.86525,0.0428,0.0
18,1992-01-24,NYSE:PSA,0.3223,9.125,2.8652,9.25,9.125,0.0,9.125,0.0,0.0,0.0,0.0,0.0,0.0,71.1516,71.6494,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,1.0,0.0,1.0,0.0,0.0,0.0,2.8652,2.9044493150684936,2.8652,0.0151,0.0
19,1992-01-27,NYSE:PSA,0.3223,9.125,2.8652,9.25,9.125,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,71.1516,71.6494,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,1.0,0.0,1.0,0.0,0.0,0.0,2.9044493150684936,2.9044493150684936,2.8652,0.0096,0.0
20,1992-01-28,NYSE:PSA,0.3223,9.375,2.9437,9.375,9.125,0.0,9.125,0.0,0.0,0.0,0.0,0.0,0.0,76.1084,76.5508,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178,1.0,0.0,1.0,0.0,0.0,0.0,2.8652013333333337,2.9437,2.8652013333333337,0.0178,0.0
21,1992-01-29,NYSE:PSA,0.3223,9.25,2.9045,9.5,9.125,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,69.6632,70.0316,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176,1.0,0.0,1.0,0.0,0.0,0.0,2.983,2.983,2.86525,0.0176,0.0
22,1992-01-30,NYSE:PSA,0.3223,9.5,2.983,9.5,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,74.343,74.6765,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142,1.0,0.0,1.0,0.0,0.0,0.0,2.94375,2.983,2.9045,0.0142,0.0
23,1992-01-31,NYSE:PSA,0.1683,9.75,3.0615,9.875,9.375,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,77.998,78.2989,0.0604,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,1.0,0.0,1.0,0.0,0.0,0.0,2.983,3.10075,2.94375,0.0121,0.0
24,1992-02-03,NYSE:PSA,0.1683,9.75,3.0615,9.875,9.625,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,77.998,78.2989,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,1.0,0.0,1.0,0.0,0.0,0.0,3.0615,3.10075,3.02225,0.011,0.0
25,1992-02-04,NYSE:PSA,0.1683,9.375,2.9437,9.75,9.375,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,62.507,62.6971,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,1.0,0.0,1.0,0.0,0.0,0.0,3.0614480000000004,3.0614480000000004,2.9437,0.0116,0.0
26,1992-02-05,NYSE:PSA,0.1683,9.5,2.983,9.5,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,65.0022,65.1872,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,1.0,0.0,1.0,0.0,0.0,0.0,2.94375,2.983,2.9045,0.0067,0.0
27,1992-02-06,NYSE:PSA,0.1683,9.25,2.9045,9.5,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,56.8529,56.993,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,1.0,0.0,1.0,0.0,0.0,0.0,2.9437500000000005,2.983,2.9045,0.0091,0.0
28,1992-02-07,NYSE:PSA,0.0882,9.25,2.9045,9.5,9.125,0.0,9.125,0.0,0.0,0.0,0.0,0.0,0.0,56.8529,56.993,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211,1.0,0.0,1.0,0.0,0.0,0.0,2.86525,2.983,2.86525,0.0211,0.0
29,1992-02-10,NYSE:PSA,0.0882,9.5,2.983,9.625,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,62.3301,62.465,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,1.0,0.0,1.0,0.0,0.0,0.0,2.94375,3.02225,2.9045,0.0203,0.0
30,1992-02-11,NYSE:PSA,0.0882,9.875,3.1007,10.0,9.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,68.7402,68.8646,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,1.0,0.0,1.0,0.0,0.0,0.0,2.982951898734177,3.1399493670886076,2.982951898734177,0.0285,0.0
31,1992-02-12,NYSE:PSA,0.0882,9.75,3.0615,10.0,9.75,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,64.7829,64.8929,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,1.0,0.0,1.0,0.0,0.0,0.0,3.0615,3.1399999999999997,3.0615,0.0116,0.0
32,1992-02-13,NYSE:PSA,0.0882,9.75,3.0615,9.875,9.625,0.0,9.625,0.0,0.0,0.0,0.0,0.0,0.0,64.7829,64.8929,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,1.0,0.0,1.0,0.0,0.0,0.0,3.02225,3.10075,3.02225,0.0082,0.0
33,1992-02-14,NYSE:PSA,-0.0515,9.75,3.0615,10.0,9.625,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,64.7829,64.8929,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,1.0,0.0,1.0,0.0,0.0,0.0,3.0615,3.1399999999999997,3.02225,0.0128,0.0
34,1992-02-17,NYSE:PSA,-0.0515,0.0,3.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.7829,64.8929,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1992-02-18,NYSE:PSA,-0.0515,9.75,3.0615,9.875,9.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,64.7829,64.8929,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,1.0,0.0,1.0,0.0,0.0,0.0,2.983,3.10075,2.983,0.0114,0.0
36,1992-02-19,NYSE:PSA,-0.0515,9.625,3.0222,9.75,9.5,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,60.1271,60.2213,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,1.0,0.0,1.0,0.0,0.0,0.0,3.0614493506493505,3.0614493506493505,2.9829506493506495,0.0071,0.0
37,1992-02-20,NYSE:PSA,-0.0515,9.625,3.0222,9.625,9.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,60.1271,60.2213,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,1.0,0.0,1.0,0.0,0.0,0.0,2.9829506493506495,3.0222,2.9829506493506495,0.0185,0.0
38,1992-02-21,NYSE:PSA,-0.067,9.375,2.9437,9.625,9.375,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,51.5361,51.6044,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,1.0,0.0,1.0,0.0,0.0,0.0,2.982949333333334,3.0221986666666667,2.9437,0.0095,0.0
39,1992-02-24,NYSE:PSA,-0.067,9.25,2.9045,9.5,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,47.8544,47.9128,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,1.0,0.0,1.0,0.0,0.0,0.0,2.9437500000000005,2.983,2.9045,0.0079,0.0
40,1992-02-25,NYSE:PSA,-0.067,9.125,2.8652,9.375,9.125,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,44.4358,44.4857,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,1.0,0.0,1.0,0.0,0.0,0.0,2.9044493150684936,2.943698630136987,2.8652,0.0116,0.0
41,1992-02-26,NYSE:PSA,-0.067,9.375,2.9437,9.375,9.125,0.0,9.125,0.0,0.0,0.0,0.0,0.0,0.0,51.8452,51.8965,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,1.0,0.0,1.0,0.0,0.0,0.0,2.8652013333333337,2.9437,2.8652013333333337,0.0189,0.0
42,1992-02-27,NYSE:PSA,-0.067,9.625,3.0222,9.625,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8922,57.9428,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,1.0,0.0,1.0,0.0,0.0,0.0,2.825953246753247,3.0222,2.825953246753247,0.0172,0.0
43,1992-02-28,NYSE:PSA,-0.0504,9.5,2.983,9.875,9.375,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,54.2257,54.2697,0.0626,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,1.0,0.0,1.0,0.0,0.0,0.0,3.0615000000000006,3.10075,2.94375,0.0308,0.0
44,1992-03-02,NYSE:PSA,-0.0504,9.625,3.0222,9.625,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,57.1484,57.1921,0.0642,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224,1.0,0.0,1.0,0.0,0.0,0.0,2.9437012987012987,3.0222,2.9044519480519484,0.0224,0.0
45,1992-03-03,NYSE:PSA,-0.0504,9.375,2.9437,9.5,9.25,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,50.2392,50.2726,0.0642,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163,1.0,0.0,1.0,0.0,0.0,0.0,2.982949333333334,2.982949333333334,2.904450666666667,0.0163,0.0
46,1992-03-04,NYSE:PSA,-0.0504,9.25,2.9045,9.5,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,47.1686,47.1979,0.0642,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,1.0,0.0,1.0,0.0,0.0,0.0,2.9437500000000005,2.983,2.9045,0.0095,0.0
47,1992-03-05,NYSE:PSA,-0.0504,9.375,2.9437,9.5,9.25,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,50.4313,50.4608,0.0642,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,1.0,0.0,1.0,0.0,0.0,0.0,2.9437,2.982949333333334,2.904450666666667,0.0083,0.0
48,1992-03-06,NYSE:PSA,-0.0043,9.375,2.9437,9.5,9.25,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,50.4313,50.4608,0.0642,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,1.0,0.0,1.0,0.0,0.0,0.0,2.904450666666667,2.982949333333334,2.904450666666667,0.011,0.0
49,1992-03-09,NYSE:PSA,-0.0043,9.5,2.983,9.5,9.375,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,53.7443,53.7738,0.0642,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,1.0,0.0,1.0,0.0,0.0,0.0,2.94375,2.983,2.94375,0.0034,0.0
50,1992-03-10,NYSE:PSA,-0.0043,9.5,2.983,9.5,9.375,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,53.7443,53.7738,0.0642,1.3759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,1.0,0.0,1.0,0.0,0.0,0.0,2.983,2.983,2.94375,0.009,0.0
