,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:RAMP.1,0.8934,0.2344,0.2239,0.2441,0.2305,71.37,0.2305,0.2066,2.3844,0.0,2.4134,0.0938,0.0,45.8582,45.8582,0.0,1.9111,0.0,99.519,12.0367,6.0708,0.0,0.0,1.0185,0.0,1.76,1.0,35381.0,2.0,0.0,0.0,0.0,0.2201747013651877,0.23316548634812284,0.2201747013651877,1.76,0.0
1,1992-01-01,NYSE:RAMP.1,0.8934,0.0,0.2239,0.0,0.0,71.37,0.0,0.2066,2.3844,0.0,2.4134,0.0938,0.0,45.8582,45.8582,0.0,1.9111,0.0,99.519,12.0367,6.0708,0.0,0.0,1.0185,0.0,0.0,1.0,35381.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:RAMP.1,0.8934,0.2344,0.2239,0.2461,0.2344,71.37,0.2344,0.2066,2.3844,0.0,2.4134,0.0938,0.0,45.8582,45.8582,0.0,1.9111,0.0,99.519,12.0367,6.0708,0.0,0.0,1.0185,0.0,0.256,1.0,35381.0,2.0,0.0,0.0,0.0,0.2239,0.23507589590443684,0.2239,0.256,0.0
3,1992-01-03,NYSE:RAMP.1,1.011,0.2402,0.2295,0.2422,0.2344,73.1541,0.2344,0.2118,2.444,0.0,2.4737,0.0961,0.0,51.8917,51.8913,0.0,1.9111,0.0,101.3031,12.2524,6.1797,0.0,0.0,1.0367,0.0,1.0176,1.0,35381.0,2.0,0.0,0.0,0.0,0.22395836802664448,0.23141090757701915,0.22395836802664448,1.0176,0.0
4,1992-01-06,NYSE:RAMP.1,1.011,0.2422,0.2313,0.2422,0.2344,73.7489,0.2422,0.2135,2.4639,0.0,2.4938,0.0969,0.0,53.7422,53.7424,0.0,1.9111,0.0,101.8979,12.3244,6.2159,0.0,0.0,1.0428,0.0,0.0896,1.0,35381.0,2.0,0.0,0.0,0.0,0.2313,0.2313,0.22385103220478944,0.0896,0.0
5,1992-01-07,NYSE:RAMP.1,1.011,0.2402,0.2295,0.2422,0.2344,73.1541,0.2344,0.2118,2.444,0.0,2.4737,0.0961,0.0,51.6046,51.6041,0.0,1.9111,0.0,101.3031,12.2524,6.1797,0.0,0.0,1.0367,0.0,0.1984,1.0,35381.0,2.0,0.0,0.0,0.0,0.22395836802664448,0.23141090757701915,0.22395836802664448,0.1984,0.0
6,1992-01-08,NYSE:RAMP.1,1.011,0.2422,0.2313,0.2422,0.2344,73.7489,0.2344,0.2135,2.4639,0.0,2.4938,0.0969,0.0,53.5925,53.5926,0.0,1.9111,0.0,101.8979,12.3244,6.2159,0.0,0.0,1.0428,0.0,1.0496,1.0,35381.0,2.0,0.0,0.0,0.0,0.22385103220478944,0.2313,0.22385103220478944,1.0496,0.0
7,1992-01-09,NYSE:RAMP.1,1.011,0.2422,0.2313,0.2461,0.2383,73.7489,0.2383,0.2135,2.4639,0.0,2.4938,0.0969,0.0,53.5925,53.5926,0.0,1.9111,0.0,101.8979,12.3244,6.2159,0.0,0.0,1.0428,0.0,11.5328,1.0,35381.0,2.0,0.0,0.0,0.0,0.22757551610239474,0.2350244838976053,0.22757551610239474,11.5328,0.0
8,1992-01-10,NYSE:RAMP.1,0.899,0.25,0.2388,0.25,0.2422,76.128,0.25,0.2204,2.5433,0.0,2.5742,0.1,0.0,61.0211,61.0211,0.0,1.9111,0.0,104.277,12.6121,6.3611,0.0,0.0,1.0672,0.0,4.352,1.0,35381.0,2.0,0.0,0.0,0.0,0.2388,0.2388,0.23134944000000002,4.352,0.0
9,1992-01-13,NYSE:RAMP.1,0.899,0.2422,0.2313,0.25,0.2422,73.7489,0.25,0.2135,2.4639,0.0,2.4938,0.0969,0.0,52.0486,52.0487,0.0,1.9111,0.0,101.8979,12.3244,6.2159,0.0,0.0,1.0428,0.0,0.0832,1.0,35381.0,2.0,0.0,0.0,0.0,0.23874896779521054,0.23874896779521054,0.2313,0.0832,0.0
10,1992-01-14,NYSE:RAMP.1,0.899,0.2481,0.2369,0.25,0.2383,75.533,0.2422,0.2186,2.5235,0.0,2.5541,0.0992,0.0,57.1383,57.1379,0.0,1.9111,0.0,103.682,12.5402,6.3248,0.0,0.0,1.0611,0.0,0.768,1.0,35381.0,2.0,0.0,0.0,0.0,0.23126634421604192,0.23871422813381704,0.22754240225715439,0.768,0.0
11,1992-01-15,NYSE:RAMP.1,0.899,0.2461,0.2351,0.25,0.2383,74.9383,0.25,0.2169,2.5036,0.0,2.534,0.0985,0.0,55.0411,55.0413,0.0,1.9111,0.0,103.0873,12.4682,6.2885,0.0,0.0,1.055,0.0,0.128,1.0,35381.0,2.0,0.0,0.0,0.0,0.2388256806176351,0.2388256806176351,0.2276486387647298,0.128,0.0
12,1992-01-16,NYSE:RAMP.1,0.899,0.2422,0.2313,0.2539,0.2383,73.7489,0.2383,0.2135,2.4639,0.0,2.4938,0.0969,0.0,51.0086,51.0087,0.0,1.9111,0.0,101.8979,12.3244,6.2159,0.0,0.0,1.0428,0.0,23.2448,1.0,35381.0,2.0,0.0,0.0,0.0,0.22757551610239474,0.24247345169281587,0.22757551610239474,23.2448,0.0
13,1992-01-17,NYSE:RAMP.1,0.9445,0.2578,0.2463,0.2578,0.2422,78.5069,0.2422,0.2272,2.6228,0.0,2.6547,0.1032,0.0,62.7616,62.7612,0.0,1.9111,0.0,106.6559,12.8998,6.5062,0.0,0.0,1.0915,0.0,6.6368,1.0,35381.0,2.0,0.0,0.0,0.0,0.23139588828549262,0.2463,0.23139588828549262,6.6368,0.0
14,1992-01-20,NYSE:RAMP.1,0.9445,0.2617,0.25,0.2617,0.2461,79.6963,0.2578,0.2307,2.6626,0.0,2.6949,0.1047,0.0,65.0208,65.0204,0.0,1.9111,0.0,107.8453,13.0437,6.5787,0.0,0.0,1.1037,0.0,4.1344,1.0,35381.0,2.0,0.0,0.0,0.0,0.24627435995414595,0.25,0.2350974398165839,4.1344,0.0
15,1992-01-21,NYSE:RAMP.1,0.9445,0.25,0.2388,0.2617,0.25,76.128,0.25,0.2204,2.5433,0.0,2.5742,0.1,0.0,54.3652,54.3656,0.0,1.9111,0.0,104.277,12.6121,6.3611,0.0,0.0,1.0672,0.0,12.8832,1.0,35381.0,2.0,0.0,0.0,0.0,0.2388,0.24997584,0.2388,12.8832,0.0
16,1992-01-22,NYSE:RAMP.1,0.9445,0.25,0.2388,0.2578,0.25,76.128,0.25,0.2204,2.5433,0.0,2.5742,0.1,0.0,54.3652,54.3656,0.0,1.9111,0.0,104.277,12.6121,6.3611,0.0,0.0,1.0672,0.0,2.3936,1.0,35381.0,2.0,0.0,0.0,0.0,0.2388,0.24625055999999998,0.2388,2.3936,0.0
17,1992-01-23,NYSE:RAMP.1,0.9445,0.2617,0.25,0.2656,0.2578,79.6963,0.2578,0.2307,2.6626,0.0,2.6949,0.1047,0.0,61.6534,61.6533,0.0,1.9111,0.0,107.8453,13.0437,6.5787,0.0,0.0,1.1037,0.0,2.5344,1.0,35381.0,2.0,0.0,0.0,0.0,0.24627435995414595,0.2537256400458541,0.24627435995414595,2.5344,0.0
18,1992-01-24,NYSE:RAMP.1,0.9752,0.2539,0.2425,0.2617,0.25,77.3174,0.2617,0.2238,2.5831,0.0,2.6145,0.1016,0.0,55.3114,55.311,0.0,1.9111,0.0,105.4664,12.756,6.4336,0.0,0.0,1.0793,0.0,1.0752,1.0,35381.0,2.0,0.0,0.0,0.0,0.24994978337928314,0.24994978337928314,0.2387751083103584,1.0752,0.0
19,1992-01-27,NYSE:RAMP.1,0.9752,0.252,0.2407,0.2617,0.2481,76.7227,0.2539,0.2221,2.5632,0.0,2.5944,0.1008,0.0,53.8208,53.8208,0.0,1.9111,0.0,104.8717,12.6841,6.3974,0.0,0.0,1.0733,0.0,13.5808,1.0,35381.0,2.0,0.0,0.0,0.0,0.24251480158730157,0.24996503968253964,0.23697488095238092,13.5808,0.0
20,1992-01-28,NYSE:RAMP.1,0.9752,0.2617,0.25,0.2617,0.2539,79.6963,0.2539,0.2307,2.6626,0.0,2.6949,0.1047,0.0,59.6726,59.6726,0.0,1.9111,0.0,107.8453,13.0437,6.5787,0.0,0.0,1.1037,0.0,1.8752,1.0,35381.0,2.0,0.0,0.0,0.0,0.24254871990829197,0.25,0.24254871990829197,1.8752,0.0
