,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:RHI,0.4498,0.9375,0.688,0.9375,0.8958,0.0,0.8958,0.0,0.0,0.0,0.0,0.0,24.9535,59.3161,59.3162,8.9302,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732,1,36690.0,2.0,0.0,0.0,0.0,0.6573977599999999,0.688,0.6573977599999999,0.0732,0.0
1,1992-01-01,NYSE:RHI,0.4498,0.0,0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9535,59.3161,59.3162,8.9302,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36690.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:RHI,0.4498,0.9271,0.6803,0.9271,0.9271,0.0,0.9271,0.0,0.0,0.0,0.0,0.0,24.7464,55.73,55.73,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1,36690.0,2.0,0.0,0.0,0.0,0.6803,0.6803,0.6803,0.012,0.0
3,1992-01-03,NYSE:RHI,0.4693,0.9167,0.6727,0.9167,0.9167,0.0,0.9167,0.0,0.0,0.0,0.0,0.0,24.767,52.3237,52.3236,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,1,36690.0,2.0,0.0,0.0,0.0,0.6727,0.6727,0.6727,0.0072,0.0
4,1992-01-06,NYSE:RHI,0.4693,0.9375,0.688,0.9375,0.9167,0.0,0.9167,0.0,0.0,0.0,0.0,0.0,25.2729,57.8702,57.8703,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0456,1,36690.0,2.0,0.0,0.0,0.0,0.6727355733333332,0.688,0.6727355733333332,0.0456,0.0
5,1992-01-07,NYSE:RHI,0.4693,0.9271,0.6803,0.9375,0.9271,0.0,0.9271,0.0,0.0,0.0,0.0,0.0,25.118,54.4586,54.4585,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708,1,36690.0,2.0,0.0,0.0,0.0,0.6803,0.6879314529177003,0.6803,0.0708,0.0
6,1992-01-08,NYSE:RHI,0.4693,0.9375,0.688,0.9375,0.9167,0.0,0.9271,0.0,0.0,0.0,0.0,0.0,25.2002,57.1773,57.1774,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,1,36690.0,2.0,0.0,0.0,0.0,0.6803677866666666,0.688,0.6727355733333332,0.0324,0.0
7,1992-01-09,NYSE:RHI,0.4693,0.9375,0.688,0.9375,0.9375,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,25.0737,57.1773,57.1774,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,1,36690.0,2.0,0.0,0.0,0.0,0.688,0.688,0.688,0.0024,0.0
8,1992-01-10,NYSE:RHI,0.3826,0.9375,0.688,0.9375,0.9375,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,25.0025,57.1773,57.1774,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,1,36690.0,2.0,0.0,0.0,0.0,0.688,0.688,0.688,0.0036,0.0
9,1992-01-13,NYSE:RHI,0.3826,0.9479,0.6956,0.9479,0.9479,0.0,0.9479,0.0,0.0,0.0,0.0,0.0,25.1449,60.1487,60.1485,9.0248,2.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1,36690.0,2.0,0.0,0.0,0.0,0.6956,0.6956,0.6956,0.24,0.0
