,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:ROG,0.4796,4.0313,4.0238,4.0313,3.9063,49.7134,3.9375,0.0,0.0,0.0,0.0,0.0,0.0,57.1692,57.1809,0.0894,8.3694,0.7249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,1.0,36676.0,2.0,0.0,0.0,0.0,3.9301745094634484,4.0238,3.899032555255128,0.0156,0.0
1,1992-01-01,NYSE:ROG,0.4796,0.0,4.0238,0.0,0.0,49.7134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1692,57.1809,0.0894,8.3694,0.7249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36676.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:ROG,0.4796,4.0625,4.055,4.0625,4.0313,50.0988,4.0313,0.0,0.0,0.0,0.0,0.0,0.0,59.3619,59.3735,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,1.0,36676.0,2.0,0.0,0.0,0.0,4.0238575999999995,4.055,4.0238575999999995,0.0112,0.0
3,1992-01-03,NYSE:ROG,0.5812,4.0,3.9926,4.0,4.0,49.328,4.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4663,53.4755,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,1.0,36676.0,2.0,0.0,0.0,0.0,3.9926,3.9926,3.9926,0.004,0.0
4,1992-01-06,NYSE:ROG,0.5812,4.0,3.9926,4.0,3.9688,49.328,4.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4663,53.4755,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,1.0,36676.0,2.0,0.0,0.0,0.0,3.9926,3.9926,3.96145772,0.008,0.0
5,1992-01-07,NYSE:ROG,0.5812,4.0625,4.055,4.0938,4.0,50.0988,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2726,58.2818,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,36676.0,2.0,0.0,0.0,0.0,3.9926153846153847,4.086242215384615,3.9926153846153847,0.01,0.0
6,1992-01-08,NYSE:ROG,0.5812,4.0625,4.055,4.0625,4.0625,50.0988,4.0625,0.0,0.0,0.0,0.0,0.0,0.0,58.2726,58.2818,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,1.0,36676.0,2.0,0.0,0.0,0.0,4.055,4.055,4.055,0.0044,0.0
7,1992-01-09,NYSE:ROG,0.5812,4.0938,4.0938,4.0938,3.9688,50.4841,4.0313,0.0,0.0,0.0,0.0,0.0,0.0,60.6306,61.1713,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,1.0,36676.0,2.0,0.0,0.0,0.0,4.0313,4.0938,3.9688,0.0144,0.008
8,1992-01-10,NYSE:ROG,0.5231,4.0938,4.0938,4.0938,4.0313,50.4841,4.0313,0.0,0.0,0.0,0.0,0.0,0.0,60.6306,61.1713,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,1.0,36676.0,2.0,0.0,0.0,0.0,4.0313,4.0938,4.0313,0.0052,0.0
9,1992-01-13,NYSE:ROG,0.5231,4.0938,4.0938,4.0938,4.0625,50.4841,4.0625,0.0,0.0,0.0,0.0,0.0,0.0,60.6306,61.1713,0.094,8.3694,0.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,1.0,36676.0,2.0,0.0,0.0,0.0,4.0625,4.0938,4.0625,0.0032,0.0
