,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:SMP,0.5944,9.875,5.0754,10.0,9.75,129.56,9.75,0.0,0.0,0.0,0.0,0.0,0.0,53.6845,53.7925,0.0616,1.2353,0.4695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326,1.0,30652.0,2.5,0.0,0.0,0.0,5.011154430379747,5.139645569620254,5.011154430379747,0.0326,0.0
1,1992-01-01,NYSE:SMP,0.5944,0.0,5.0754,0.0,0.0,129.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6845,53.7925,0.0616,1.2353,0.4695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30652.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:SMP,0.5944,9.75,5.0111,9.875,9.625,127.92,9.875,0.0,0.0,0.0,0.0,0.0,0.0,51.5914,51.6904,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,1.0,30652.0,2.5,0.0,0.0,0.0,5.075344871794871,5.075344871794871,4.9468551282051285,0.0192,0.0
3,1992-01-03,NYSE:SMP,0.7903,9.875,5.0754,9.875,9.5,129.56,9.625,0.0,0.0,0.0,0.0,0.0,0.0,53.542,53.6414,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,1.0,30652.0,2.5,0.0,0.0,0.0,4.9469088607594935,5.0754,4.882663291139241,0.0193,0.0
4,1992-01-06,NYSE:SMP,0.7903,10.125,5.2039,10.25,9.875,132.84,9.875,0.0,0.0,0.0,0.0,0.0,0.0,57.2522,57.351,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231,1.0,30652.0,2.5,0.0,0.0,0.0,5.075408641975309,5.2681456790123455,5.075408641975309,0.0231,0.0
5,1992-01-07,NYSE:SMP,0.7903,10.125,5.2039,10.5,10.125,132.84,10.25,0.0,0.0,0.0,0.0,0.0,0.0,57.2522,57.351,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,1.0,30652.0,2.5,0.0,0.0,0.0,5.2681456790123455,5.396637037037037,5.2039,0.0141,0.0
6,1992-01-08,NYSE:SMP,0.7903,10.125,5.2039,10.375,10.0,132.84,10.125,0.0,0.0,0.0,0.0,0.0,0.0,57.2522,57.351,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,1.0,30652.0,2.5,0.0,0.0,0.0,5.2039,5.332391358024692,5.139654320987654,0.0181,0.0
7,1992-01-09,NYSE:SMP,0.7903,10.125,5.2039,10.125,10.0,132.84,10.125,0.0,0.0,0.0,0.0,0.0,0.0,57.2522,57.351,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,1.0,30652.0,2.5,0.0,0.0,0.0,5.2039,5.2039,5.139654320987654,0.0263,0.0
8,1992-01-10,NYSE:SMP,0.6866,10.25,5.2681,10.25,10.125,134.48,10.125,0.0,0.0,0.0,0.0,0.0,0.0,59.4311,59.5291,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,1.0,30652.0,2.5,0.0,0.0,0.0,5.20385487804878,5.2681,5.20385487804878,0.0183,0.0
9,1992-01-13,NYSE:SMP,0.6866,10.25,5.2681,10.25,10.0,134.48,10.25,0.0,0.0,0.0,0.0,0.0,0.0,59.4311,59.5291,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,1.0,30652.0,2.5,0.0,0.0,0.0,5.2681,5.2681,5.139609756097561,0.0067,0.0
10,1992-01-14,NYSE:SMP,0.6866,10.25,5.2681,10.25,10.25,134.48,10.25,0.0,0.0,0.0,0.0,0.0,0.0,59.4311,59.5291,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,30652.0,2.5,0.0,0.0,0.0,5.2681,5.2681,5.2681,0.02,0.0
11,1992-01-15,NYSE:SMP,0.6866,10.25,5.2681,10.25,10.125,134.48,10.125,0.0,0.0,0.0,0.0,0.0,0.0,59.4311,59.5291,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,1.0,30652.0,2.5,0.0,0.0,0.0,5.20385487804878,5.2681,5.20385487804878,0.0053,0.0
12,1992-01-16,NYSE:SMP,0.6866,10.75,5.5251,10.75,10.125,141.04,10.25,0.0,0.0,0.0,0.0,0.0,0.0,68.1621,68.252,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149,1.0,30652.0,2.5,0.0,0.0,0.0,5.268118604651163,5.5251,5.203873255813954,0.0149,0.0
13,1992-01-17,NYSE:SMP,0.6112,10.625,5.4608,10.75,10.625,139.4,10.75,0.0,0.0,0.0,0.0,0.0,0.0,64.4289,64.5087,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,1.0,30652.0,2.5,0.0,0.0,0.0,5.525044705882353,5.525044705882353,5.4608,0.0058,0.0
14,1992-01-20,NYSE:SMP,0.6112,10.75,5.5251,10.75,10.625,141.04,10.75,0.0,0.0,0.0,0.0,0.0,0.0,66.4101,66.488,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,1.0,30652.0,2.5,0.0,0.0,0.0,5.5251,5.5251,5.460854651162791,0.0042,0.0
15,1992-01-21,NYSE:SMP,0.6112,10.5,5.3966,10.875,10.375,137.76,10.875,0.0,0.0,0.0,0.0,0.0,0.0,59.2968,59.3578,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,1.0,30652.0,2.5,0.0,0.0,0.0,5.589335714285715,5.589335714285715,5.332354761904762,0.0067,0.0
16,1992-01-22,NYSE:SMP,0.6112,10.5,5.3966,10.75,10.5,137.76,10.5,0.0,0.0,0.0,0.0,0.0,0.0,59.2968,59.3578,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,1.0,30652.0,2.5,0.0,0.0,0.0,5.3966,5.525090476190476,5.3966,0.051,0.0
17,1992-01-23,NYSE:SMP,0.6112,10.625,5.4608,10.875,10.5,139.4,10.75,0.0,0.0,0.0,0.0,0.0,0.0,61.6771,61.7373,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,1.0,30652.0,2.5,0.0,0.0,0.0,5.525044705882353,5.589289411764705,5.396555294117647,0.0101,0.0
18,1992-01-24,NYSE:SMP,0.6173,10.5,5.3966,10.75,10.5,137.76,10.5,0.0,0.0,0.0,0.0,0.0,0.0,58.0229,58.0756,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,1.0,30652.0,2.5,0.0,0.0,0.0,5.3966,5.525090476190476,5.3966,0.0125,0.0
19,1992-01-27,NYSE:SMP,0.6173,10.75,5.5251,10.75,10.375,141.04,10.75,0.0,0.0,0.0,0.0,0.0,0.0,62.7734,62.8246,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,1.0,30652.0,2.5,0.0,0.0,0.0,5.5251,5.5251,5.332363953488373,0.0093,0.0
20,1992-01-28,NYSE:SMP,0.6173,10.5,5.3966,10.75,10.5,137.76,10.75,0.0,0.0,0.0,0.0,0.0,0.0,55.954,55.994,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,1.0,30652.0,2.5,0.0,0.0,0.0,5.525090476190476,5.525090476190476,5.3966,0.0045,0.0
21,1992-01-29,NYSE:SMP,0.6173,10.25,5.2681,10.75,10.25,134.48,10.75,0.0,0.0,0.0,0.0,0.0,0.0,50.0936,50.125,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,1.0,30652.0,2.5,0.0,0.0,0.0,5.525080487804878,5.525080487804878,5.2681,0.0046,0.0
22,1992-01-30,NYSE:SMP,0.6173,10.25,5.2681,10.25,10.125,134.48,10.125,0.0,0.0,0.0,0.0,0.0,0.0,50.0936,50.125,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,1.0,30652.0,2.5,0.0,0.0,0.0,5.20385487804878,5.2681,5.20385487804878,0.0027,0.0
23,1992-01-31,NYSE:SMP,0.4608,10.625,5.4608,10.625,10.375,139.4,10.5,0.0,0.0,0.0,0.0,0.0,0.0,57.7853,57.8167,0.0783,1.2353,0.5971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,1.0,30652.0,2.5,0.0,0.0,0.0,5.396555294117647,5.4608,5.332310588235294,0.0124,0.0
24,1992-02-03,NYSE:SMP,0.4608,10.75,5.5251,10.75,10.625,141.04,10.625,0.0,0.0,0.0,0.0,0.0,0.0,59.9985,60.0296,0.0632,1.2353,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,1.0,30652.0,2.5,0.0,0.0,0.0,5.460854651162791,5.5251,5.460854651162791,0.0035,0.0
25,1992-02-04,NYSE:SMP,0.4608,10.875,5.5893,10.875,10.625,142.68,10.875,0.0,0.0,0.0,0.0,0.0,0.0,62.1362,62.1668,0.0632,1.2353,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,1.0,30652.0,2.5,0.0,0.0,0.0,5.5893,5.5893,5.460810344827586,0.0024,0.0
26,1992-02-05,NYSE:SMP,0.4608,11.0,5.6536,11.0,10.625,144.32,10.875,0.0,0.0,0.0,0.0,0.0,0.0,64.1968,64.2268,0.0632,1.2353,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,1.0,30652.0,2.5,0.0,0.0,0.0,5.589354545454546,5.6536,5.460863636363636,0.0068,0.0
27,1992-02-06,NYSE:SMP,0.4608,11.25,5.7821,11.25,11.0,147.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9531,67.9818,0.0632,1.2353,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,1.0,30652.0,2.5,0.0,0.0,0.0,5.653608888888889,5.7821,5.653608888888889,0.0118,0.0
28,1992-02-07,NYSE:SMP,0.7646,11.0,5.6536,11.25,11.0,144.32,11.25,0.0,0.0,0.0,0.0,0.0,0.0,61.0548,61.0776,0.0632,1.2353,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,1.0,30652.0,2.5,0.0,0.0,0.0,5.7820909090909085,5.7820909090909085,5.6536,0.0074,0.0
29,1992-02-10,NYSE:SMP,0.7646,10.75,5.5251,11.25,10.75,141.04,11.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0378,55.056,0.0632,1.2353,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,1.0,30652.0,2.5,0.0,0.0,0.0,5.653590697674419,5.782081395348838,5.5251,0.0091,0.0
