,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:WGO,1.0491,1.9375,1.3863,1.9375,1.8125,96.8208,1.9375,1.1724,NM,0.0,NM,0.4349,0.0,75.6343,75.6344,0.0565,11.8506,0.113,94.9708,NM,NM,0.0,0.0,0.4266,0.0,0.1022,2.0,26479.0,2.0,0.0,0.0,0.0,1.3863,1.3863,1.2968612903225807,0.2044,0.0
1,1992-01-01,NYSE:WGO,1.0491,0.0,1.3863,0.0,0.0,96.8208,0.0,1.1724,NM,0.0,NM,0.4349,0.0,75.6343,75.6344,0.0565,11.8506,0.113,94.9708,NM,NM,0.0,0.0,0.4266,0.0,0.0,2.0,26479.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:WGO,1.0491,2.0,1.431,2.0,1.875,99.944,1.9375,1.2102,NM,0.0,NM,0.4489,0.0,77.9302,77.9303,0.0366,11.8506,0.0733,98.094,NM,NM,0.0,0.0,0.4406,0.0,0.089,2.0,26479.0,2.0,0.0,0.0,0.0,1.3862812500000001,1.431,1.3415625,0.178,0.0
3,1992-01-03,NYSE:WGO,1.6603,2.0625,1.4757,2.0625,1.9375,103.0673,2.0,1.248,NM,0.0,NM,0.4629,0.0,79.9634,79.9635,0.0366,11.8506,0.0733,101.2173,NM,NM,0.0,0.0,0.4546,0.0,0.1458,2.0,26479.0,2.0,0.0,0.0,0.0,1.4309818181818181,1.4757,1.3862636363636365,0.2916,0.0
4,1992-01-06,NYSE:WGO,1.6603,2.0,1.431,2.125,2.0,99.944,2.0625,1.2102,NM,0.0,NM,0.4489,0.0,72.746,72.746,0.0366,11.8506,0.0733,98.094,NM,NM,0.0,0.0,0.4406,0.0,0.1546,2.0,26479.0,2.0,0.0,0.0,0.0,1.47571875,1.5204375,1.431,0.3092,0.0
5,1992-01-07,NYSE:WGO,1.6603,1.8125,1.2968,2.0,1.8125,90.5743,2.0,1.0968,NM,0.0,NM,0.4068,0.0,56.3222,56.3223,0.0366,11.8506,0.0733,88.7243,NM,NM,0.0,0.0,0.3985,0.0,0.0836,2.0,26479.0,2.0,0.0,0.0,0.0,1.430951724137931,1.430951724137931,1.2968,0.1672,0.0
6,1992-01-08,NYSE:WGO,1.6603,1.875,1.3415,1.9375,1.8125,93.6975,1.8125,1.1346,NM,0.0,NM,0.4208,0.0,59.5967,59.5967,0.0366,11.8506,0.0733,91.8475,NM,NM,0.0,0.0,0.4125,0.0,0.0552,2.0,26479.0,2.0,0.0,0.0,0.0,1.2967833333333332,1.3862166666666667,1.2967833333333332,0.1104,0.0
7,1992-01-09,NYSE:WGO,1.6603,1.875,1.3415,1.9375,1.875,93.6975,1.9375,1.1346,NM,0.0,NM,0.4208,0.0,59.5967,59.5967,0.0366,11.8506,0.0733,91.8475,NM,NM,0.0,0.0,0.4125,0.0,0.0418,2.0,26479.0,2.0,0.0,0.0,0.0,1.3862166666666667,1.3862166666666667,1.3415,0.0836,0.0
8,1992-01-10,NYSE:WGO,1.7621,1.875,1.3415,1.9375,1.875,93.6975,1.9375,1.1346,NM,0.0,NM,0.4208,0.0,59.5967,59.5967,0.0366,11.8506,0.0733,91.8475,NM,NM,0.0,0.0,0.4125,0.0,0.016,2.0,26479.0,2.0,0.0,0.0,0.0,1.3862166666666667,1.3862166666666667,1.3415,0.032,0.0
9,1992-01-13,NYSE:WGO,1.7621,1.875,1.3415,1.9375,1.875,93.6975,1.875,1.1346,NM,0.0,NM,0.4208,0.0,59.5967,59.5967,0.0366,11.8506,0.0733,91.8475,NM,NM,0.0,0.0,0.4125,0.0,0.0068,2.0,26479.0,2.0,0.0,0.0,0.0,1.3415,1.3862166666666667,1.3415,0.0136,0.0
10,1992-01-14,NYSE:WGO,1.7621,2.0,1.431,2.0,1.9375,99.944,2.0,1.2102,NM,0.0,NM,0.4489,0.0,66.3775,66.3776,0.0366,11.8506,0.0733,98.094,NM,NM,0.0,0.0,0.4406,0.0,0.0516,2.0,26479.0,2.0,0.0,0.0,0.0,1.431,1.431,1.3862812500000001,0.1032,0.0
11,1992-01-15,NYSE:WGO,1.7621,1.9375,1.3863,2.0,1.9375,96.8208,1.9375,1.1724,NM,0.0,NM,0.4349,0.0,60.8762,60.8763,0.0366,11.8506,0.0733,94.9708,NM,NM,0.0,0.0,0.4266,0.0,0.035,2.0,26479.0,2.0,0.0,0.0,0.0,1.3863,1.4310193548387098,1.3863,0.07,0.0
12,1992-01-16,NYSE:WGO,1.7621,2.0,1.431,2.0,1.9375,99.944,1.9375,1.2102,NM,0.0,NM,0.4489,0.0,64.0821,64.0821,0.0366,11.8506,0.0733,98.094,NM,NM,0.0,0.0,0.4406,0.0,0.1036,2.0,26479.0,2.0,0.0,0.0,0.0,1.3862812500000001,1.431,1.3862812500000001,0.2072,0.0
13,1992-01-17,NYSE:WGO,1.929,1.9375,1.3863,2.0,1.9375,96.8208,2.0,1.1724,NM,0.0,NM,0.4349,0.0,58.8857,58.8858,0.0366,11.8506,0.0733,94.9708,NM,NM,0.0,0.0,0.4266,0.0,0.035,2.0,26479.0,2.0,0.0,0.0,0.0,1.4310193548387098,1.4310193548387098,1.3863,0.07,0.0
14,1992-01-20,NYSE:WGO,1.929,2.0,1.431,2.0625,1.9375,99.944,1.9375,1.2102,NM,0.0,NM,0.4489,0.0,62.1877,62.1878,0.0366,11.8506,0.0733,98.094,NM,NM,0.0,0.0,0.4406,0.0,0.1078,2.0,26479.0,2.0,0.0,0.0,0.0,1.3862812500000001,1.47571875,1.3862812500000001,0.2156,0.0
15,1992-01-21,NYSE:WGO,1.929,2.0,1.431,2.0625,1.9375,99.944,2.0,1.2102,NM,0.0,NM,0.4489,0.0,62.1877,62.1878,0.0366,11.8506,0.0733,98.094,NM,NM,0.0,0.0,0.4406,0.0,0.0642,2.0,26479.0,2.0,0.0,0.0,0.0,1.431,1.47571875,1.3862812500000001,0.1284,0.0
16,1992-01-22,NYSE:WGO,1.929,2.0625,1.4757,2.0625,1.9375,103.0673,2.0,1.248,NM,0.0,NM,0.4629,0.0,65.4096,65.4097,0.0366,11.8506,0.0733,101.2173,NM,NM,0.0,0.0,0.4546,0.0,0.0272,2.0,26479.0,2.0,0.0,0.0,0.0,1.4309818181818181,1.4757,1.3862636363636365,0.0544,0.0
