,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NYSE:WMT.1,1.2269,14.7188,9.4127,14.9688,14.4375,67251.8528,14.8125,12.5341,51.6447,0.0,52.2232,2.0288,26.6359,80.9128,80.9381,23.9368,1.0721,0.5239,69563.7458,31.4569,27.1945,0.0,0.0,2.1168,0.0,9.9676,4.0,33063.0,2.0,0.0,0.0,0.0,9.472621324428621,9.5725754653912,9.232808126341821,39.8704,0.0
1,1992-01-01,NYSE:WMT.1,1.2269,0.0,9.4127,0.0,0.0,67251.8528,0.0,12.5341,51.6447,0.0,52.2232,2.0288,26.6359,80.9128,80.9381,23.9368,1.0721,0.5239,69563.7458,31.4569,27.1945,0.0,0.0,2.1168,0.0,0.0,4.0,33063.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NYSE:WMT.1,1.2269,14.7813,9.4527,14.7813,14.375,67537.4233,14.625,12.5873,51.864,0.0,52.445,2.0375,26.8224,81.3984,81.4226,24.9045,1.0721,0.5451,69849.3163,31.5861,27.3061,0.0,0.0,2.1254,0.0,8.2716,4.0,33063.0,2.0,0.0,0.0,0.0,9.352745529824846,9.4527,9.192869537862029,33.0864,0.0
3,1992-01-03,NYSE:WMT.1,1.1931,14.4375,9.2328,14.6563,13.875,65966.7855,14.5625,12.2946,50.6579,0.0,51.2253,1.9901,27.2177,70.7383,70.7685,24.9045,1.0721,0.5451,68278.6785,30.8758,26.6921,0.0,0.0,2.0777,0.0,15.1252,4.0,33063.0,2.0,0.0,0.0,0.0,9.31273766233766,9.372722884155843,8.873080519480519,60.5008,0.0
4,1992-01-06,NYSE:WMT.1,1.1931,14.1875,9.073,14.5625,14.1875,64824.5035,14.4375,12.0817,49.7807,0.0,50.3383,1.9556,27.1782,64.1576,64.1901,24.9045,1.0721,0.5451,67136.3965,30.3593,26.2456,0.0,0.0,2.0429,0.0,9.2092,4.0,33063.0,2.0,0.0,0.0,0.0,9.232876651982378,9.312814977973568,9.073,36.8368,0.0
5,1992-01-07,NYSE:WMT.1,1.1931,14.125,9.033,14.1875,14.0313,64538.933,14.125,12.0285,49.5614,0.0,50.1166,1.947,27.2209,62.59,62.6228,24.9045,1.0721,0.5451,66850.826,30.2302,26.1339,0.0,0.0,2.0342,0.0,6.2912,4.0,33063.0,2.0,0.0,0.0,0.0,9.033,9.072969026548671,8.97307843539823,25.1648,0.0
6,1992-01-08,NYSE:WMT.1,1.1931,14.25,9.1129,14.3438,13.9688,65110.074,14.0313,12.1349,50.0,0.0,50.5601,1.9642,27.2019,64.4603,64.4902,24.9045,1.0721,0.5451,67421.967,30.4884,26.3572,0.0,0.0,2.0516,0.0,7.4344,4.0,33063.0,2.0,0.0,0.0,0.0,8.97304096631579,9.172885264561403,8.933072106666666,29.7376,0.0
7,1992-01-09,NYSE:WMT.1,1.1931,14.25,9.1129,14.3125,14.0313,65110.074,14.1875,12.1349,50.0,0.0,50.5601,1.9642,26.7529,64.4603,64.4902,24.9045,1.0721,0.5451,67421.967,30.4884,26.3572,0.0,0.0,2.0516,0.0,4.8964,4.0,33063.0,2.0,0.0,0.0,0.0,9.072931140350876,9.152868859649121,8.97304096631579,19.5856,0.0
8,1992-01-10,NYSE:WMT.1,1.2301,14.1563,9.053,14.3125,14.0,64681.7183,14.1875,12.0551,49.6711,0.0,50.2274,1.9513,26.6991,61.7739,61.8044,24.9045,1.0721,0.5451,66993.6113,30.2947,26.1897,0.0,0.0,2.0386,0.0,5.252,4.0,33063.0,2.0,0.0,0.0,0.0,9.072952501713019,9.152890409217099,8.9530456404569,21.008,0.0
9,1992-01-13,NYSE:WMT.1,1.2301,14.4688,9.2528,14.5313,14.0938,66109.5708,14.125,12.3212,50.7675,0.0,51.3362,1.9944,26.9568,66.7485,66.772,24.9045,1.0721,0.5451,68421.4638,30.9404,26.7479,0.0,0.0,2.082,0.0,5.0416,4.0,33063.0,2.0,0.0,0.0,0.0,9.032939842972466,9.292768760367135,9.012987437797191,20.1664,0.0
10,1992-01-14,NYSE:WMT.1,1.2301,14.75,9.4327,14.875,14.4375,67394.638,14.4375,12.5607,51.7544,0.0,52.3341,2.0332,27.0296,70.4728,70.4917,24.9045,1.0721,0.5451,69706.531,31.5215,27.2503,0.0,0.0,2.1211,0.0,6.6004,4.0,33063.0,2.0,0.0,0.0,0.0,9.23285466101695,9.512638135593221,9.23285466101695,26.4016,0.0
11,1992-01-15,NYSE:WMT.1,1.2301,14.6563,9.3727,14.7813,14.5938,66966.2823,14.75,12.4809,51.4254,0.0,52.0015,2.0202,27.0264,67.7489,67.7684,24.9045,1.0721,0.5451,69278.1753,31.3278,27.0828,0.0,0.0,2.1081,0.0,3.9532,4.0,33063.0,2.0,0.0,0.0,0.0,9.432621125386353,9.45263746716429,9.332731266417856,15.8128,0.0
12,1992-01-16,NYSE:WMT.1,1.2301,14.5,9.2728,14.625,14.3438,66252.356,14.5625,12.3478,50.8772,0.0,51.4471,1.9987,27.1655,63.3536,63.374,24.9045,1.0721,0.5451,68564.249,31.005,26.8038,0.0,0.0,2.0863,0.0,6.0288,4.0,33063.0,2.0,0.0,0.0,0.0,9.312768965517243,9.352737931034483,9.17290956137931,24.1152,0.0
13,1992-01-17,NYSE:WMT.1,1.1913,14.2813,9.1329,14.5,14.0625,65252.8593,14.4688,12.1615,50.1097,0.0,50.6709,1.9685,27.398,57.7089,57.73,24.9045,1.0721,0.5451,67564.7523,30.553,26.413,0.0,0.0,2.0559,0.0,11.8712,4.0,33063.0,2.0,0.0,0.0,0.0,9.252806363566343,9.27275878246378,8.99297726747565,47.4848,0.0
14,1992-01-20,NYSE:WMT.1,1.1913,13.9375,8.9131,14.2188,13.9063,63682.2215,14.0938,11.8688,48.9035,0.0,49.4513,1.9212,27.8707,50.1476,50.1688,24.9045,1.0721,0.5451,65994.1145,29.8427,25.799,0.0,0.0,2.0081,0.0,6.9772,4.0,33063.0,2.0,0.0,0.0,0.0,9.013054620986548,9.092992737578474,8.893147446098656,27.9088,0.0
15,1992-01-21,NYSE:WMT.1,1.1913,13.625,8.7132,13.9375,13.3438,62254.369,13.9063,11.6027,47.807,0.0,48.3425,1.8781,28.3008,44.4462,44.4669,24.9045,1.0721,0.5451,64566.262,29.1971,25.2408,0.0,0.0,1.9647,0.0,11.1956,4.0,33063.0,2.0,0.0,0.0,0.0,8.893091608073394,8.913044036697247,8.53337234201835,44.7824,0.0
16,1992-01-22,NYSE:WMT.1,1.1913,14.125,9.033,14.125,13.5313,64538.933,13.5625,12.0285,49.5614,0.0,50.1166,1.947,27.7284,53.5465,53.5612,24.9045,1.0721,0.5451,66850.826,30.2302,26.1339,0.0,0.0,2.0342,0.0,7.26,4.0,33063.0,2.0,0.0,0.0,0.0,8.673278761061948,9.033,8.653326223008849,29.04,0.0
