,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:AAON,1.3282,0.0798,0.067,0.0,0.0,5.5382,0.0798,0.0,0.0,0.0,0.0,0.0,214.8372,54.6405,54.6406,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,1.0,41837.0,1.5,0.0,0.0,0.0,0.067,0.0,0.0,0.0034,0.0
1,1992-01-01,NasdaqGS:AAON,1.3282,0.0,0.067,0.0,0.0,5.5382,0.0,0.0,0.0,0.0,0.0,0.0,214.8372,54.6405,54.6406,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41837.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:AAON,1.3282,0.0798,0.067,0.0,0.0,5.5382,0.0798,0.0,0.0,0.0,0.0,0.0,210.9634,54.6405,54.6406,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,1.0,41837.0,1.5,0.0,0.0,0.0,0.067,0.0,0.0,0.0263,0.0
3,1992-01-03,NasdaqGS:AAON,1.2693,0.0,0.067,0.0,0.0,5.5382,0.0,0.0,0.0,0.0,0.0,0.0,210.9634,54.6405,54.6406,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41837.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1992-01-06,NasdaqGS:AAON,1.2693,0.0898,0.0754,0.0,0.0,6.229,0.0798,0.0,0.0,0.0,0.0,0.0,209.8408,60.2411,60.2412,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363,1.0,41837.0,1.5,0.0,0.0,0.0,0.06700356347438752,0.0,0.0,0.1363,0.0
5,1992-01-07,NasdaqGS:AAON,1.2693,0.0898,0.0754,0.0,0.0,6.229,0.0898,0.0,0.0,0.0,0.0,0.0,206.3275,60.2411,60.2412,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,1.0,41837.0,1.5,0.0,0.0,0.0,0.0754,0.0,0.0,0.0016,0.0
6,1992-01-08,NasdaqGS:AAON,1.2693,0.0898,0.0754,0.0,0.0,6.229,0.0898,0.0,0.0,0.0,0.0,0.0,203.0151,60.2411,60.2412,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1504,1.0,41837.0,1.5,0.0,0.0,0.0,0.0754,0.0,0.0,0.1504,0.0
7,1992-01-09,NasdaqGS:AAON,1.2693,0.0,0.0754,0.0,0.0,6.229,0.0,0.0,0.0,0.0,0.0,0.0,203.0151,60.2411,60.2412,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41837.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1992-01-10,NasdaqGS:AAON,1.0714,0.0998,0.0838,0.0,0.0,6.9218,0.0998,0.0,0.0,0.0,0.0,0.0,205.05,65.5667,65.5671,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,1.0,41837.0,1.5,0.0,0.0,0.0,0.0838,0.0,0.0,0.0094,0.0
9,1992-01-13,NasdaqGS:AAON,1.0714,0.0,0.0838,0.0,0.0,6.9218,0.0,0.0,0.0,0.0,0.0,0.0,205.05,65.5667,65.5671,0.0,2.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41837.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
