,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:AMAT,2.1701,0.5508,0.4137,0.5703,0.5508,594.8438,0.5684,0.0,0.0,0.0,0.0,0.0,0.0,76.2278,76.2274,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5648,1.0,37363.0,2.0,0.0,0.0,0.0,0.42691917211328984,0.4283462418300654,0.4137,23.5648,0.0
1,1992-01-01,NasdaqGS:AMAT,2.1701,0.0,0.4137,0.0,0.0,594.8438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.2278,76.2274,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37363.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:AMAT,2.1701,0.5234,0.3932,0.543,0.5039,565.1793,0.543,0.0,0.0,0.0,0.0,0.0,0.0,66.4329,66.433,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7504,1.0,37363.0,2.0,0.0,0.0,0.0,0.4079243408482996,0.4079243408482996,0.37855078333970194,15.7504,0.0
3,1992-01-03,NasdaqGS:AMAT,2.2317,0.5234,0.3932,0.5352,0.5117,565.1793,0.5352,0.0,0.0,0.0,0.0,0.0,0.0,66.4329,66.433,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6448,1.0,37363.0,2.0,0.0,0.0,0.0,0.40206465418418036,0.40206465418418036,0.38441047000382117,5.6448,0.0
4,1992-01-06,NasdaqGS:AMAT,2.2317,0.5254,0.3946,0.5352,0.5195,567.2881,0.5273,0.0,0.0,0.0,0.0,0.0,0.0,66.7864,66.7863,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9376,1.0,37363.0,2.0,0.0,0.0,0.0,0.39602698896079175,0.4019602588503997,0.3901688237533308,10.9376,0.0
5,1992-01-07,NasdaqGS:AMAT,2.2317,0.5273,0.3961,0.5352,0.5195,569.3968,0.5273,0.0,0.0,0.0,0.0,0.0,0.0,67.1589,67.1588,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7408,1.0,37363.0,2.0,0.0,0.0,0.0,0.3961,0.40203436373980656,0.3902407547885454,13.7408,0.0
6,1992-01-08,NasdaqGS:AMAT,2.2317,0.5586,0.4196,0.5859,0.5234,603.1388,0.5234,0.0,0.0,0.0,0.0,0.0,0.0,72.4778,72.4778,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4672,1.0,37363.0,2.0,0.0,0.0,0.0,0.3931590404582886,0.4401067669172932,0.3931590404582886,24.4672,0.0
7,1992-01-09,NasdaqGS:AMAT,2.2317,0.582,0.4372,0.5898,0.5586,628.4448,0.5586,0.0,0.0,0.0,0.0,0.0,0.0,75.6615,75.6615,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0416,1.0,37363.0,2.0,0.0,0.0,0.0,0.41962185567010307,0.4430593814432989,0.41962185567010307,22.0416,0.0
8,1992-01-10,NasdaqGS:AMAT,2.0746,0.5664,0.4254,0.582,0.543,611.5738,0.5801,0.0,0.0,0.0,0.0,0.0,0.0,69.8595,69.8594,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3824,1.0,37363.0,2.0,0.0,0.0,0.0,0.43568951271186435,0.43711652542372875,0.4078252118644068,21.3824,0.0
9,1992-01-13,NasdaqGS:AMAT,2.0746,0.5508,0.4137,0.5703,0.543,594.7028,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,64.5304,64.5302,0.0,1.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792,1.0,37363.0,2.0,0.0,0.0,0.0,0.42248774509803927,0.4283462418300654,0.40784150326797397,5.792,0.0
