,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:FAST,1.9384,1.0273,0.6887,1.0313,0.9844,311.8195,0.9844,0.0,0.0,0.0,0.0,0.0,0.0,84.0721,84.0723,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.856,1,43608.0,2.0,0.0,0.0,0.0,0.6599399201791102,0.6913815925240924,0.6599399201791102,1.856,0.0
1,1992-01-01,NasdaqGS:FAST,1.9384,0.0,0.6887,0.0,0.0,311.8195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0721,84.0723,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43608.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:FAST,1.9384,1.0234,0.6861,1.0234,1.0078,310.6336,1.0078,0.0,0.0,0.0,0.0,0.0,0.0,82.7206,82.7208,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9088,1,43608.0,2.0,0.0,0.0,0.0,0.6756415673246042,0.6861,0.6756415673246042,0.9088,0.0
3,1992-01-03,NasdaqGS:FAST,1.9729,1.0078,0.6756,1.0234,1.0078,305.8911,1.0078,0.0,0.0,0.0,0.0,0.0,0.0,77.3643,77.3642,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2016,1,43608.0,2.0,0.0,0.0,0.0,0.6756,0.6860577892438977,0.6756,0.2016,0.0
4,1992-01-06,NasdaqGS:FAST,1.9729,1.0078,0.6756,1.0234,1.0078,305.8911,1.0078,0.0,0.0,0.0,0.0,0.0,0.0,77.3643,77.3642,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864,1,43608.0,2.0,0.0,0.0,0.0,0.6756,0.6860577892438977,0.6756,0.864,0.0
5,1992-01-07,NasdaqGS:FAST,1.9729,0.9688,0.6494,1.0156,0.9531,294.035,0.9922,0.0,0.0,0.0,0.0,0.0,0.0,65.1357,65.1357,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1536,1,43608.0,2.0,0.0,0.0,0.0,0.66508534269199,0.6807706853839801,0.638876073492981,2.1536,0.0
6,1992-01-08,NasdaqGS:FAST,1.9729,0.9766,0.6547,1.0,0.9609,296.4061,0.9609,0.0,0.0,0.0,0.0,0.0,0.0,66.2835,66.2835,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0592,1,43608.0,2.0,0.0,0.0,0.0,0.6441749232029489,0.6703870571370059,0.6441749232029489,1.0592,0.0
7,1992-01-09,NasdaqGS:FAST,1.9729,1.0469,0.7018,1.0547,0.9766,317.7475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4401,74.4401,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8528,1,43608.0,2.0,0.0,0.0,0.0,0.6703601108033241,0.707028808864266,0.6546736842105264,1.8528,0.0
8,1992-01-10,NasdaqGS:FAST,1.9404,1.0547,0.707,1.0625,1.0234,320.1186,1.0234,0.0,0.0,0.0,0.0,0.0,0.0,75.1591,75.1591,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8448,1,43608.0,2.0,0.0,0.0,0.0,0.6860185834834551,0.7122285958092349,0.6860185834834551,0.8448,0.0
9,1992-01-13,NasdaqGS:FAST,1.9404,1.0313,0.6913,1.0625,1.0078,313.005,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,68.8971,68.8974,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6224,1,43608.0,2.0,0.0,0.0,0.0,0.712213953262872,0.712213953262872,0.6755475031513624,1.6224,0.0
10,1992-01-14,NasdaqGS:FAST,1.9404,1.0703,0.7175,1.0703,1.0078,324.8611,1.0313,0.0,0.0,0.0,0.0,0.0,0.0,72.9433,72.9435,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5408,1,43608.0,2.0,0.0,0.0,0.0,0.691355461085677,0.7175,0.6756017004578155,0.5408,0.0
11,1992-01-15,NasdaqGS:FAST,1.9404,1.0781,0.7228,1.1172,1.0547,327.2325,1.0703,0.0,0.0,0.0,0.0,0.0,0.0,73.6808,73.681,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1296,1,43608.0,2.0,0.0,0.0,0.0,0.7175705778684723,0.7490141545311195,0.7071117336054169,1.1296,0.0
12,1992-01-16,NasdaqGS:FAST,1.9404,1.0234,0.6861,1.0781,1.0078,310.6336,1.0781,0.0,0.0,0.0,0.0,0.0,0.0,61.1221,61.1221,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7232,1,43608.0,2.0,0.0,0.0,0.0,0.7227715555989838,0.7227715555989838,0.6756415673246042,2.7232,0.0
13,1992-01-17,NasdaqGS:FAST,2.0179,1.0391,0.6966,1.0469,1.0234,315.3761,1.0469,0.0,0.0,0.0,0.0,0.0,0.0,63.0594,63.0595,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,1,43608.0,2.0,0.0,0.0,0.0,0.7018290251178906,0.7018290251178906,0.6860749109806564,0.112,0.0
14,1992-01-20,NasdaqGS:FAST,2.0179,1.0313,0.6913,1.0547,1.0234,313.005,1.0469,0.0,0.0,0.0,0.0,0.0,0.0,61.4117,61.4118,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0496,1,43608.0,2.0,0.0,0.0,0.0,0.701756976631436,0.706985464947154,0.6860044797827984,3.0496,0.0
15,1992-01-21,NasdaqGS:FAST,2.0179,1.0,0.6704,1.0469,0.9766,303.52,1.0469,0.0,0.0,0.0,0.0,0.0,0.0,55.1983,55.1982,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064,1,43608.0,2.0,0.0,0.0,0.0,0.70184176,0.70184176,0.65471264,0.8064,0.0
16,1992-01-22,NasdaqGS:FAST,2.0179,1.0078,0.6756,1.0078,0.9844,305.8911,0.9844,0.0,0.0,0.0,0.0,0.0,0.0,56.3863,56.3861,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1,43608.0,2.0,0.0,0.0,0.0,0.6599133161341536,0.6756,0.6599133161341536,0.496,0.0
17,1992-01-23,NasdaqGS:FAST,2.0179,1.0625,0.7123,1.0938,1.0156,322.49,1.0156,0.0,0.0,0.0,0.0,0.0,0.0,63.6523,63.6522,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4736,1,43608.0,2.0,0.0,0.0,0.0,0.6808582400000002,0.7332835200000001,0.6808582400000002,2.4736,0.0
18,1992-01-24,NasdaqGS:FAST,1.9149,1.125,0.7542,1.1484,1.0703,341.46,1.0781,0.0,0.0,0.0,0.0,0.0,0.0,69.837,69.8369,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4832,1,43608.0,2.0,0.0,0.0,0.0,0.72275824,0.7698873600000001,0.71752912,2.4832,0.0
19,1992-01-27,NasdaqGS:FAST,1.9149,1.0391,0.6966,1.1406,1.0,315.3761,1.1406,0.0,0.0,0.0,0.0,0.0,0.0,55.7821,55.7822,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.464,1,43608.0,2.0,0.0,0.0,0.0,0.7646443653161391,0.7646443653161391,0.6703878356269849,6.464,0.0
20,1992-01-28,NasdaqGS:FAST,1.9149,1.0391,0.6966,1.0547,1.0078,315.3761,1.0313,0.0,0.0,0.0,0.0,0.0,0.0,55.7821,55.7822,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5264,1,43608.0,2.0,0.0,0.0,0.0,0.6913709748821096,0.7070580502357809,0.6756168607448754,1.5264,0.0
21,1992-01-29,NasdaqGS:FAST,1.9149,1.0391,0.6966,1.0625,1.0391,315.3761,1.0391,0.0,0.0,0.0,0.0,0.0,0.0,55.7821,55.7822,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6896,1,43608.0,2.0,0.0,0.0,0.0,0.6966,0.7122870753536715,0.6966,5.6896,0.0
22,1992-01-30,NasdaqGS:FAST,1.9149,1.0234,0.6861,1.0547,1.0078,310.6336,1.0469,0.0,0.0,0.0,0.0,0.0,0.0,53.3442,53.3442,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2064,1,43608.0,2.0,0.0,0.0,0.0,0.7018546902481922,0.70708390658589,0.6756415673246042,1.2064,0.0
23,1992-01-31,NasdaqGS:FAST,2.0772,1.0078,0.6756,1.0234,1.0,305.8911,1.0156,0.0,0.0,0.0,0.0,0.0,0.0,50.9464,50.9463,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232,1,43608.0,2.0,0.0,0.0,0.0,0.6808288946219487,0.6860577892438977,0.6703711053780511,1.232,0.0
24,1992-02-03,NasdaqGS:FAST,2.0772,1.0,0.6704,1.0469,1.0,303.52,1.0313,0.0,0.0,0.0,0.0,0.0,0.0,49.7425,49.7424,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7168,1,43608.0,2.0,0.0,0.0,0.0,0.69138352,0.70184176,0.6704,0.7168,0.0
25,1992-02-04,NasdaqGS:FAST,2.0772,0.9844,0.6599,1.0234,0.9844,298.7775,1.0234,0.0,0.0,0.0,0.0,0.0,0.0,47.3332,47.3333,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2896,1,43608.0,2.0,0.0,0.0,0.0,0.6860439455505893,0.6860439455505893,0.6599,1.2896,0.0
26,1992-02-05,NasdaqGS:FAST,2.0772,1.0078,0.6756,1.0078,0.9844,305.8911,1.0078,0.0,0.0,0.0,0.0,0.0,0.0,51.1548,51.1547,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592,1,43608.0,2.0,0.0,0.0,0.0,0.6756,0.6756,0.6599133161341536,0.2592,0.0
27,1992-02-06,NasdaqGS:FAST,2.0772,1.0117,0.6782,1.0313,0.9844,307.077,1.0078,0.0,0.0,0.0,0.0,0.0,0.0,51.7829,51.783,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7904,1,43608.0,2.0,0.0,0.0,0.0,0.6755856083819314,0.6913389937728577,0.6598992586735198,0.7904,0.0
28,1992-02-07,NasdaqGS:FAST,1.8686,1.0078,0.6756,1.0234,0.9922,305.8911,1.0234,0.0,0.0,0.0,0.0,0.0,0.0,51.0756,51.0755,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736,1,43608.0,2.0,0.0,0.0,0.0,0.6860577892438977,0.6860577892438977,0.6651422107561024,0.4736,0.0
29,1992-02-10,NasdaqGS:FAST,1.8686,1.0078,0.6756,1.0078,0.9922,305.8911,0.9922,0.0,0.0,0.0,0.0,0.0,0.0,51.0756,51.0755,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336,1,43608.0,2.0,0.0,0.0,0.0,0.6651422107561024,0.6756,0.6651422107561024,0.2336,0.0
30,1992-02-11,NasdaqGS:FAST,1.8686,1.0,0.6704,1.0156,1.0,303.52,1.0078,0.0,0.0,0.0,0.0,0.0,0.0,49.5075,49.5074,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576,1,43608.0,2.0,0.0,0.0,0.0,0.67562912,0.6808582400000001,0.6704,0.4576,0.0
31,1992-02-12,NasdaqGS:FAST,1.8686,1.0547,0.707,1.0547,1.0,320.1186,1.0156,0.0,0.0,0.0,0.0,0.0,0.0,58.9978,58.9977,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,43608.0,2.0,0.0,0.0,0.0,0.6807899876742202,0.707,0.6703327960557505,0.4,0.0
32,1992-02-13,NasdaqGS:FAST,1.8686,1.0938,0.7332,1.1055,1.0313,331.975,1.0313,0.0,0.0,0.0,0.0,0.0,0.0,64.1773,64.1772,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7088,1,43608.0,2.0,0.0,0.0,0.0,0.6913047723532638,0.741042786615469,0.6913047723532638,1.7088,0.0
33,1992-02-14,NasdaqGS:FAST,1.8731,1.0859,0.728,1.0938,1.0781,329.6036,1.0938,0.0,0.0,0.0,0.0,0.0,0.0,62.4773,62.4771,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336,1,43608.0,2.0,0.0,0.0,0.0,0.7332962519569021,0.7332962519569021,0.7227707892071092,0.2336,0.0
34,1992-02-17,NasdaqGS:FAST,1.8731,0.0,0.728,0.0,0.0,329.6036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4773,62.4771,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43608.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1992-02-18,NasdaqGS:FAST,1.8731,1.0781,0.7228,1.0938,1.0703,327.2325,1.0938,0.0,0.0,0.0,0.0,0.0,0.0,60.7447,60.7449,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592,1,43608.0,2.0,0.0,0.0,0.0,0.7333258881365365,0.7333258881365365,0.7175705778684723,0.2592,0.0
36,1992-02-19,NasdaqGS:FAST,1.8731,1.0391,0.6966,1.0781,1.0391,315.3761,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,52.8522,52.8523,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8144,1,43608.0,2.0,0.0,0.0,0.0,0.7122870753536715,0.7227451255894526,0.6966,1.8144,0.0
37,1992-02-20,NasdaqGS:FAST,1.8731,1.0391,0.6966,1.0547,1.0391,315.3761,1.0469,0.0,0.0,0.0,0.0,0.0,0.0,52.8522,52.8523,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1632,1,43608.0,2.0,0.0,0.0,0.0,0.7018290251178906,0.7070580502357809,0.6966,0.1632,0.0
38,1992-02-21,NasdaqGS:FAST,1.9327,1.0391,0.6966,1.0547,1.0391,315.3761,1.043,0.0,0.0,0.0,0.0,0.0,0.0,52.8522,52.8523,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7664,1,43608.0,2.0,0.0,0.0,0.0,0.6992145125589452,0.7070580502357809,0.6966,3.7664,0.0
39,1992-02-24,NasdaqGS:FAST,1.9327,1.043,0.6992,1.0469,1.0391,316.562,1.0469,0.0,0.0,0.0,0.0,0.0,0.0,53.6052,53.6053,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2112,1,43608.0,2.0,0.0,0.0,0.0,0.7018144582933845,0.7018144582933845,0.6965855417066156,0.2112,0.0
40,1992-02-25,NasdaqGS:FAST,1.9327,0.9688,0.6494,1.0,0.9688,294.035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4036,40.4036,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6384,1,43608.0,2.0,0.0,0.0,0.0,0.6703137902559867,0.6703137902559867,0.6494,1.6384,0.0
41,1992-02-26,NasdaqGS:FAST,1.9327,0.9766,0.6547,1.0,0.9688,296.4061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0221,42.0221,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3776,1,43608.0,2.0,0.0,0.0,0.0,0.6703870571370059,0.6703870571370059,0.6494709809543313,0.3776,0.0
42,1992-02-27,NasdaqGS:FAST,1.9327,0.9883,0.6625,1.0,0.9766,299.9631,0.9766,0.0,0.0,0.0,0.0,0.0,0.0,44.4589,44.4589,0.0,2.2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4832,1,43608.0,2.0,0.0,0.0,0.0,0.6546569867449156,0.6703430132550845,0.6546569867449156,4.4832,0.0
