,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:FELE,0.2176,2.25,1.635,2.25,2.25,109.512,2.25,4.7903,11.4557,0.0,9.0445,0.6257,44.6055,52.9868,52.9868,0.0,1.2332,0.0,136.302,6.3986,5.3802,0.0,0.0,0.7405,0.0,0.0128,1.0,41352.0,2.0,0.0,0.0,0.0,1.635,1.635,1.635,0.0128,0.0
1,1992-01-01,NasdaqGS:FELE,0.2176,0.0,1.635,0.0,0.0,109.512,0.0,4.7903,11.4557,0.0,9.0445,0.6257,44.6055,52.9868,52.9868,0.0,1.2332,0.0,136.302,6.3986,5.3802,0.0,0.0,0.7405,0.0,0.0,1.0,41352.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:FELE,0.2176,2.2031,1.6009,2.25,2.1875,107.2305,2.25,4.6905,11.217,0.0,8.856,0.6127,44.1359,48.1462,48.1462,0.0,1.2332,0.0,134.0205,6.2915,5.2901,0.0,0.0,0.7281,0.0,0.0616,1.0,41352.0,2.0,0.0,0.0,0.0,1.6349802550950934,1.6349802550950934,1.5895641368980074,0.0616,0.0
3,1992-01-03,NasdaqGS:FELE,0.2392,2.2813,1.6577,2.2813,2.1875,111.033,2.25,4.8569,11.6148,0.0,9.1701,0.6344,43.9225,55.4509,55.4509,0.0,1.2332,0.0,137.823,6.47,5.4402,0.0,0.0,0.7488,0.0,0.0312,1.0,41352.0,2.0,0.0,0.0,0.0,1.6349559461710428,1.6577,1.5895405032218473,0.0312,0.0
4,1992-01-06,NasdaqGS:FELE,0.2392,2.25,1.635,2.2813,2.25,109.512,2.2813,4.7903,11.4557,0.0,9.0445,0.6257,43.6173,52.2785,52.2785,0.0,1.2332,0.0,136.302,6.3986,5.3802,0.0,0.0,0.7405,0.0,0.0328,1.0,41352.0,2.0,0.0,0.0,0.0,1.6577446666666664,1.6577446666666664,1.635,0.0328,0.0
5,1992-01-07,NasdaqGS:FELE,0.2392,2.3125,1.6804,2.3125,2.2813,112.554,2.2813,4.9234,11.7739,0.0,9.2957,0.6431,43.7501,57.5138,57.5138,0.0,1.2332,0.0,139.344,6.5414,5.5003,0.0,0.0,0.7571,0.0,0.012,1.0,41352.0,2.0,0.0,0.0,0.0,1.6577282248648646,1.6804,1.6577282248648646,0.012,0.0
6,1992-01-08,NasdaqGS:FELE,0.2392,2.3438,1.7031,2.3438,2.25,114.075,2.3125,4.9899,11.933,0.0,9.4213,0.6518,43.7311,59.8835,59.8835,0.0,1.2332,0.0,140.865,6.6128,5.5603,0.0,0.0,0.7653,0.0,0.0952,1.0,41352.0,2.0,0.0,0.0,0.0,1.6803561524020822,1.7031,1.63494112125608,0.0952,0.0
7,1992-01-09,NasdaqGS:FELE,0.2392,2.4375,1.7712,2.4375,2.3125,118.638,2.3594,5.1895,12.4103,0.0,9.7982,0.6778,44.1675,66.0088,66.0088,0.0,1.2332,0.0,145.428,6.827,5.7404,0.0,0.0,0.7901,0.0,0.0728,1.0,41352.0,2.0,0.0,0.0,0.0,1.7144489353846155,1.7712,1.6803692307692308,0.0728,0.0
8,1992-01-10,NasdaqGS:FELE,0.1425,2.4844,1.8053,2.5,2.4844,120.9195,2.5,5.2893,12.649,0.0,9.9866,0.6909,43.8671,68.5912,68.5912,0.0,1.2332,0.0,147.7095,6.9341,5.8305,0.0,0.0,0.8025,0.0,0.0224,1.0,41352.0,2.0,0.0,0.0,0.0,1.8166358074384157,1.8166358074384157,1.8053,0.0224,0.0
9,1992-01-13,NasdaqGS:FELE,0.1425,2.4375,1.7712,2.5,2.375,118.638,2.375,5.1895,12.4103,0.0,9.7982,0.6778,41.3025,63.4038,63.4038,0.0,1.2332,0.0,145.428,6.827,5.7404,0.0,0.0,0.7901,0.0,0.0432,1.0,41352.0,2.0,0.0,0.0,0.0,1.7257846153846155,1.8166153846153845,1.7257846153846155,0.0432,0.0
10,1992-01-14,NasdaqGS:FELE,0.1425,2.4375,1.7712,2.5,2.4375,118.638,2.4844,5.1895,12.4103,0.0,9.7982,0.6778,41.3025,63.4038,63.4038,0.0,1.2332,0.0,145.428,6.827,5.7404,0.0,0.0,0.7901,0.0,0.0208,1.0,41352.0,2.0,0.0,0.0,0.0,1.8052797046153846,1.8166153846153845,1.7712,0.0208,0.0
11,1992-01-15,NasdaqGS:FELE,0.1425,2.4688,1.7939,2.4844,2.4688,120.159,2.4844,5.2561,12.5694,0.0,9.9238,0.6865,40.9673,65.4255,65.4255,0.0,1.2332,0.0,146.949,6.8984,5.8005,0.0,0.0,0.7984,0.0,0.0176,1.0,41352.0,2.0,0.0,0.0,0.0,1.805235401814647,1.805235401814647,1.7939,0.0176,0.0
12,1992-01-16,NasdaqGS:FELE,0.1425,2.5,1.8166,2.5,2.4688,121.68,2.4844,5.3226,12.7285,0.0,10.0494,0.6952,39.8099,67.3669,67.3669,0.0,1.2332,0.0,148.47,6.9698,5.8605,0.0,0.0,0.8066,0.0,0.112,1.0,41352.0,2.0,0.0,0.0,0.0,1.805264416,1.8166,1.793928832,0.112,0.0
13,1992-01-17,NasdaqGS:FELE,0.1708,2.5156,1.828,2.5313,2.5,122.4405,2.5313,5.3559,12.8081,0.0,10.1122,0.6996,39.432,68.3246,68.3247,0.0,1.2332,0.0,149.2305,7.0055,5.8905,0.0,0.0,0.8108,0.0,0.1416,1.0,41352.0,2.0,0.0,0.0,0.0,1.8394086500238511,1.8394086500238511,1.8166640165368102,0.1416,0.0
14,1992-01-20,NasdaqGS:FELE,0.1708,2.4688,1.7939,2.4688,2.4688,120.159,2.4688,5.2561,12.5694,0.0,9.9238,0.6865,37.8825,62.4073,62.4073,0.0,1.2332,0.0,146.949,6.8984,5.8005,0.0,0.0,0.7984,0.0,0.004,1.0,41352.0,2.0,0.0,0.0,0.0,1.7939,1.7939,1.7939,0.004,0.0
15,1992-01-21,NasdaqGS:FELE,0.1708,2.5,1.8166,2.5469,2.4688,121.68,2.5469,5.3226,12.7285,0.0,10.0494,0.6952,37.5995,64.608,64.6079,0.0,1.2332,0.0,148.47,6.9698,5.8605,0.0,0.0,0.8066,0.0,0.036,1.0,41352.0,2.0,0.0,0.0,0.0,1.8506794159999997,1.8506794159999997,1.793928832,0.036,0.0
16,1992-01-22,NasdaqGS:FELE,0.1708,2.6875,1.9529,2.6875,2.5,130.806,2.5625,5.7218,13.6832,0.0,10.8031,0.7473,39.9917,74.321,74.321,0.0,1.2332,0.0,157.596,7.3982,6.2207,0.0,0.0,0.8562,0.0,0.0712,1.0,41352.0,2.0,0.0,0.0,0.0,1.8620674418604652,1.9529,1.8166511627906978,0.0712,0.0
17,1992-01-23,NasdaqGS:FELE,0.1708,2.6875,1.9529,2.75,2.625,130.806,2.6875,5.7218,13.6832,0.0,10.8031,0.7473,39.6265,74.321,74.321,0.0,1.2332,0.0,157.596,7.3982,6.2207,0.0,0.0,0.8562,0.0,0.1576,1.0,41352.0,2.0,0.0,0.0,0.0,1.9529,1.9983162790697675,1.9074837209302327,0.1576,0.0
18,1992-01-24,NasdaqGS:FELE,0.0975,2.75,1.9983,2.75,2.75,133.848,2.75,5.8549,14.0014,0.0,11.0543,0.7647,39.2186,76.7841,76.7841,0.0,1.2332,0.0,160.638,7.541,6.3408,0.0,0.0,0.8727,0.0,0.0032,1.0,41352.0,2.0,0.0,0.0,0.0,1.9983,1.9983,1.9983,0.0032,0.0
19,1992-01-27,NasdaqGS:FELE,0.0975,2.75,1.9983,2.8125,2.75,133.848,2.8125,5.8549,14.0014,0.0,11.0543,0.7647,39.168,76.7841,76.7841,0.0,1.2332,0.0,160.638,7.541,6.3408,0.0,0.0,0.8727,0.0,0.004,1.0,41352.0,2.0,0.0,0.0,0.0,2.043715909090909,2.043715909090909,1.9983,0.004,0.0
20,1992-01-28,NasdaqGS:FELE,0.0975,2.75,1.9983,2.75,2.6875,133.848,2.6875,5.8549,14.0014,0.0,11.0543,0.7647,39.168,76.7841,76.7841,0.0,1.2332,0.0,160.638,7.541,6.3408,0.0,0.0,0.8727,0.0,0.024,1.0,41352.0,2.0,0.0,0.0,0.0,1.952884090909091,1.9983,1.952884090909091,0.024,0.0
21,1992-01-29,NasdaqGS:FELE,0.0975,2.75,1.9983,2.75,2.6875,133.848,2.6875,5.8549,14.0014,0.0,11.0543,0.7647,38.3063,76.7841,76.7841,0.0,1.2332,0.0,160.638,7.541,6.3408,0.0,0.0,0.8727,0.0,0.008,1.0,41352.0,2.0,0.0,0.0,0.0,1.952884090909091,1.9983,1.952884090909091,0.008,0.0
22,1992-01-30,NasdaqGS:FELE,0.0975,2.6875,1.9529,2.7813,2.6875,130.806,2.6875,5.7218,13.6832,0.0,10.8031,0.7473,38.3632,68.0098,68.0098,0.0,1.2332,0.0,157.596,7.3982,6.2207,0.0,0.0,0.8562,0.0,0.0232,1.0,41352.0,2.0,0.0,0.0,0.0,1.9529,2.0210607516279073,1.9529,0.0232,0.0
23,1992-01-31,NasdaqGS:FELE,0.1496,2.75,1.9983,2.75,2.7188,133.848,2.7188,5.8549,14.0014,0.0,11.0543,0.7647,38.2509,71.5152,71.5152,0.0,1.2332,0.0,160.638,7.541,6.3408,0.0,0.0,0.8727,0.0,0.0312,1.0,41352.0,2.0,0.0,0.0,0.0,1.9756283781818182,1.9983,1.9756283781818182,0.0312,0.0
24,1992-02-03,NasdaqGS:FELE,0.1496,2.75,1.9983,2.75,2.7344,133.848,2.75,5.8549,14.0014,0.0,11.0543,0.7647,37.9141,71.5152,71.5152,0.0,1.2332,0.0,160.638,7.541,6.3408,0.0,0.0,0.8727,0.0,0.0352,1.0,41352.0,2.0,0.0,0.0,0.0,1.9983,1.9983,1.986964189090909,0.0352,0.0
25,1992-02-04,NasdaqGS:FELE,0.1496,2.8125,2.0437,2.8125,2.7188,136.89,2.7188,5.9879,14.3196,0.0,11.3056,0.7821,37.1742,74.727,74.727,0.0,1.2332,0.0,163.68,7.6838,6.4609,0.0,0.0,0.8893,0.0,0.0968,1.0,41352.0,2.0,0.0,0.0,0.0,1.975612999111111,2.0437,1.975612999111111,0.0968,0.0
26,1992-02-05,NasdaqGS:FELE,0.1496,3.0,2.18,3.0313,2.8125,146.016,2.8125,6.3871,15.2743,0.0,12.0593,0.8342,38.8865,81.4753,81.4753,0.0,1.2332,0.0,172.806,8.1122,6.8211,0.0,0.0,0.9389,0.0,0.1176,1.0,41352.0,2.0,0.0,0.0,0.0,2.04375,2.202744666666667,2.04375,0.1176,0.0
27,1992-02-06,NasdaqGS:FELE,0.1496,3.0625,2.2254,3.125,3.0,149.058,3.0,6.5202,15.5925,0.0,12.3105,0.8516,37.5299,83.0956,83.0956,0.0,1.2332,0.0,175.848,8.255,6.9412,0.0,0.0,0.9554,0.0,0.0568,1.0,41352.0,2.0,0.0,0.0,0.0,2.179983673469388,2.2708163265306123,2.179983673469388,0.0568,0.0
