,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:HAS,1.3624,12.0,6.7216,12.1111,11.8519,2322.2298,11.8519,0.0,0.0,0.0,0.0,0.0,0.0,76.6019,76.609,1.8047,4.6619,0.9326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1387,3.375,31639.0,2.0,0.0,0.0,0.0,6.638644253333333,6.783830813333333,6.638644253333333,3.8431125,0.0
1,1992-01-01,NasdaqGS:HAS,1.3624,0.0,6.7216,0.0,0.0,2322.2298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6019,76.609,1.8047,4.6619,0.9326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,31639.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:HAS,1.3624,11.7407,6.5764,11.963,11.5556,2272.0582,11.8889,0.0,0.0,0.0,0.0,0.0,0.0,68.375,68.383,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311,3.375,31639.0,2.0,0.0,0.0,0.0,6.65941229739283,6.7009184460892435,6.472718648802882,1.1174625,0.0
3,1992-01-03,NasdaqGS:HAS,1.3391,11.6296,6.5141,11.8519,11.5556,2250.5561,11.7407,0.0,0.0,0.0,0.0,0.0,0.0,65.1459,65.1541,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4192,3.375,31639.0,2.0,0.0,0.0,0.0,6.5763305590905965,6.6386171312856845,6.47265030267593,1.4148,0.0
4,1992-01-06,NasdaqGS:HAS,1.3391,11.037,6.1822,11.5926,11.037,2135.878,11.5926,0.0,0.0,0.0,0.0,0.0,0.0,51.2453,51.2539,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001,3.375,31639.0,2.0,0.0,0.0,0.0,6.493410502854036,6.493410502854036,6.1822,3.3783749999999997,0.0
5,1992-01-07,NasdaqGS:HAS,1.3391,11.3333,6.3482,11.5556,11.037,2193.217,11.037,0.0,0.0,0.0,0.0,0.0,0.0,56.2697,56.2767,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0743,3.375,31639.0,2.0,0.0,0.0,0.0,6.182231424210072,6.472718442113066,6.182231424210072,3.6257625,0.0
6,1992-01-08,NasdaqGS:HAS,1.3391,11.9259,6.6801,11.963,11.2963,2307.8951,11.3333,0.0,0.0,0.0,0.0,0.0,0.0,64.2131,64.2179,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8485,3.375,31639.0,2.0,0.0,0.0,0.0,6.348164694488466,6.700880964958619,6.3274397429124845,2.8636875,0.0
7,1992-01-09,NasdaqGS:HAS,1.3391,12.1111,6.7838,12.1482,11.963,2343.7319,11.963,0.0,0.0,0.0,0.0,0.0,0.0,66.2747,66.2791,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513,3.375,31639.0,2.0,0.0,0.0,0.0,6.700844630132688,6.804580852276011,6.700844630132688,2.5356375,0.0
8,1992-01-10,NasdaqGS:HAS,1.4392,12.037,6.7423,12.0741,11.8889,2329.3972,12.037,0.0,0.0,0.0,0.0,0.0,0.0,64.6699,64.6743,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711,3.375,31639.0,2.0,0.0,0.0,0.0,6.7423,6.763080869818062,6.659344560106338,0.5774625,0.0
9,1992-01-13,NasdaqGS:HAS,1.4392,11.963,6.7008,12.037,11.9259,2315.0625,12.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0263,63.0308,1.8313,4.6619,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,3.375,31639.0,2.0,0.0,0.0,0.0,6.721524701161916,6.742249402323833,6.680019286132242,0.682425,0.0
