,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:HTLD,0.5109,1.6307,1.1308,1.6472,1.606,185.625,1.6307,0.0,0.0,0.0,0.0,0.0,0.0,49.388,49.388,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918,1.0,38853.0,1.3333,0.0,0.0,0.0,1.1308,1.1422418347948733,1.1136719200343412,0.4918,0.0
1,1992-01-01,NasdaqGS:HTLD,0.5109,0.0,1.1308,0.0,0.0,185.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.388,49.388,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38853.0,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:HTLD,0.5109,1.6472,1.1422,1.6801,1.6307,187.5001,1.6801,0.0,0.0,0.0,0.0,0.0,0.0,51.8121,51.812,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584,1.0,38853.0,1.3333,0.0,0.0,0.0,1.165013489558038,1.165013489558038,1.130758584264206,0.4584,0.0
3,1992-01-03,NasdaqGS:HTLD,0.6459,1.6801,1.1651,1.6801,1.6307,191.25,1.6637,0.0,0.0,0.0,0.0,0.0,0.0,56.3181,56.3182,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.225,1.0,38853.0,1.3333,0.0,0.0,0.0,1.1537270817213263,1.1651,1.1308425510386289,2.225,0.0
4,1992-01-06,NasdaqGS:HTLD,0.6459,1.7131,1.1879,1.7296,1.6801,195.0,1.6801,0.0,0.0,0.0,0.0,0.0,0.0,60.3146,60.3146,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0306,1.0,38853.0,1.3333,0.0,0.0,0.0,1.1650170976592142,1.1993414511703928,1.1650170976592142,1.0306,0.0
5,1992-01-07,NasdaqGS:HTLD,0.6459,1.746,1.2108,1.746,1.6966,198.75,1.7131,0.0,0.0,0.0,0.0,0.0,0.0,63.8741,63.8741,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2504,1.0,38853.0,1.3333,0.0,0.0,0.0,1.1879848109965638,1.2108,1.1765425429553267,0.2504,0.0
6,1992-01-08,NasdaqGS:HTLD,0.6459,1.746,1.2108,1.746,1.7378,198.75,1.746,0.0,0.0,0.0,0.0,0.0,0.0,63.8741,63.8741,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8484,1.0,38853.0,1.3333,0.0,0.0,0.0,1.2108,1.2108,1.2051135395189005,0.8484,0.0
7,1992-01-09,NasdaqGS:HTLD,0.6459,1.7954,1.245,1.8119,1.746,204.375,1.746,0.0,0.0,0.0,0.0,0.0,0.0,68.75,68.75,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4553,1.0,38853.0,1.3333,0.0,0.0,0.0,1.2107441238721177,1.256441740002228,1.2107441238721177,0.4553,0.0
8,1992-01-10,NasdaqGS:HTLD,0.6386,1.7954,1.245,1.8449,1.7954,204.375,1.8449,0.0,0.0,0.0,0.0,0.0,0.0,68.75,68.75,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5722,1.0,38853.0,1.3333,0.0,0.0,0.0,1.2793252200066838,1.2793252200066838,1.245,0.5722,0.0
9,1992-01-13,NasdaqGS:HTLD,0.6386,1.8613,1.2907,1.8613,1.8119,211.875,1.8449,0.0,0.0,0.0,0.0,0.0,0.0,74.1461,74.1462,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1062,1.0,38853.0,1.3333,0.0,0.0,0.0,1.2793275828721862,1.2907,1.2564440606028044,0.1062,0.0
10,1992-01-14,NasdaqGS:HTLD,0.6386,1.8943,1.3136,1.8943,1.8613,215.6251,1.8943,0.0,0.0,0.0,0.0,0.0,0.0,76.3454,76.3455,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,1.0,38853.0,1.3333,0.0,0.0,0.0,1.3136,1.3136,1.290716190677295,0.082,0.0
11,1992-01-15,NasdaqGS:HTLD,0.6386,1.9931,1.3821,1.9931,1.8943,226.875,1.8943,0.0,0.0,0.0,0.0,0.0,0.0,81.445,81.4451,0.0,2.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173,1.0,38853.0,1.3333,0.0,0.0,0.0,1.3135878932316494,1.3821,1.3135878932316494,0.173,0.0
