,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:IDCC.1,0.6079,5.875,4.7267,5.875,5.5,117.7057,5.625,0.0,0.0,0.0,0.0,0.0,0.0,45.0552,45.0552,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5539,1.0,0.0,1.0,0.0,0.0,0.0,4.5255638297872345,4.7267,4.424995744680851,0.5539,0.0
1,1992-01-01,NasdaqGS:IDCC.1,0.6079,0.0,4.7267,0.0,0.0,117.7057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0552,45.0552,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:IDCC.1,0.6079,6.125,4.9279,6.125,5.75,122.7144,5.875,0.0,0.0,0.0,0.0,0.0,0.0,49.8645,49.8645,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3382,1.0,0.0,1.0,0.0,0.0,0.0,4.726761224489796,4.9279,4.626191836734694,0.3382,0.0
3,1992-01-03,NasdaqGS:IDCC.1,0.7089,6.75,5.4307,6.75,6.0,135.2363,6.125,0.0,0.0,0.0,0.0,0.0,0.0,59.426,59.426,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394,1.0,0.0,1.0,0.0,0.0,0.0,4.927857407407408,5.4307,4.827288888888888,0.6394,0.0
4,1992-01-06,NasdaqGS:IDCC.1,0.7089,7.125,5.7324,7.375,6.625,142.7494,6.75,0.0,0.0,0.0,0.0,0.0,0.0,63.8774,63.8774,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384,1.0,0.0,1.0,0.0,0.0,0.0,5.4306947368421055,5.933536842105264,5.330126315789474,0.5384,0.0
5,1992-01-07,NasdaqGS:IDCC.1,0.7089,7.875,6.3358,7.875,7.0,157.7757,7.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7817,70.7817,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437,1.0,0.0,1.0,0.0,0.0,0.0,5.631822222222222,6.3358,5.631822222222222,0.437,0.0
6,1992-01-08,NasdaqGS:IDCC.1,0.7089,9.0,7.2409,9.375,7.625,180.3151,7.625,0.0,0.0,0.0,0.0,0.0,0.0,77.6747,77.6747,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5085,1.0,0.0,1.0,0.0,0.0,0.0,6.134651388888889,7.542604166666667,6.134651388888889,1.5085,0.0
7,1992-01-09,NasdaqGS:IDCC.1,0.7089,8.0,6.4364,9.25,7.875,160.2801,9.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3648,63.3648,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7644,1.0,0.0,1.0,0.0,0.0,0.0,7.24095,7.4420874999999995,6.33583125,0.7644,0.0
8,1992-01-10,NasdaqGS:IDCC.1,0.4575,8.75,7.0398,8.875,7.875,175.3063,8.0,0.0,0.0,0.0,0.0,0.0,0.0,68.1101,68.1101,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5983,1.0,0.0,1.0,0.0,0.0,0.0,6.436388571428571,7.140368571428571,6.33582,0.5983,0.0
9,1992-01-13,NasdaqGS:IDCC.1,0.4575,8.875,7.1404,9.375,8.625,177.8107,8.875,0.0,0.0,0.0,0.0,0.0,0.0,68.8346,68.8346,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4194,1.0,0.0,1.0,0.0,0.0,0.0,7.1404,7.542676056338027,6.939261971830986,0.4194,0.0
10,1992-01-14,NasdaqGS:IDCC.1,0.4575,9.0,7.2409,9.125,8.625,180.3151,8.875,0.0,0.0,0.0,0.0,0.0,0.0,69.5789,69.5789,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657,1.0,0.0,1.0,0.0,0.0,0.0,7.140331944444445,7.341468055555555,6.939195833333334,0.2657,0.0
