,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:JJSF,1.4349,7.125,5.8088,7.125,6.875,151.2068,7.125,1.7543,21.4161,0.0,22.3092,1.1871,0.0,61.4281,61.428,0.0,6.6267,0.0,131.1868,14.1152,7.3987,0.0,0.0,1.1962,0.0,0.2828,1.0,38723.0,2.0,0.0,0.0,0.0,5.8088,5.8088,5.604982456140351,0.2828,0.0
1,1992-01-01,NasdaqGS:JJSF,1.4349,0.0,5.8088,0.0,0.0,151.2068,0.0,1.7543,21.4161,0.0,22.3092,1.1871,0.0,61.4281,61.428,0.0,6.6267,0.0,131.1868,14.1152,7.3987,0.0,0.0,1.1962,0.0,0.0,1.0,38723.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:JJSF,1.4349,7.0625,5.7579,7.125,6.875,150.3041,6.875,1.7389,21.2282,0.0,22.1135,1.1767,0.0,60.1188,60.1188,0.0,6.6267,0.0,130.2841,14.0181,7.3478,0.0,0.0,1.188,0.0,0.0472,1.0,38723.0,2.0,0.0,0.0,0.0,5.605035398230089,5.808854867256637,5.605035398230089,0.0472,0.0
3,1992-01-03,NasdaqGS:JJSF,1.3542,7.125,5.8088,7.375,6.875,151.6343,6.875,1.7543,21.4161,0.0,22.3092,1.1871,0.0,61.0137,61.0137,0.0,6.6267,0.0,131.6143,14.1612,7.4228,0.0,0.0,1.2001,0.0,0.1218,1.0,38723.0,2.0,0.0,0.0,0.0,5.604982456140351,6.012617543859649,5.604982456140351,0.1218,0.0
4,1992-01-06,NasdaqGS:JJSF,1.3542,6.375,5.1974,7.3125,6.375,135.6728,7.125,1.5696,19.1618,0.0,19.9609,1.0622,0.0,47.2985,47.2985,0.0,6.6267,0.0,115.6528,12.4438,6.5226,0.0,0.0,1.0546,0.0,0.1882,1.0,38723.0,2.0,0.0,0.0,0.0,5.808858823529412,5.961723529411764,5.1974,0.1882,0.0
5,1992-01-07,NasdaqGS:JJSF,1.3542,6.1875,5.0445,6.5,6.125,131.6824,6.5,1.5235,18.5982,0.0,19.3738,1.0309,0.0,44.5993,44.5993,0.0,6.6267,0.0,111.6624,12.0145,6.2976,0.0,0.0,1.0182,0.0,0.916,1.0,38723.0,2.0,0.0,0.0,0.0,5.299272727272728,5.299272727272728,4.993545454545455,0.916,0.0
6,1992-01-08,NasdaqGS:JJSF,1.3542,6.25,5.0954,6.375,6.125,133.0125,6.125,1.5388,18.786,0.0,19.5695,1.0413,0.0,45.7114,45.7114,0.0,6.6267,0.0,112.9925,12.1576,6.3726,0.0,0.0,1.0303,0.0,0.6798,1.0,38723.0,2.0,0.0,0.0,0.0,4.993492,5.197308,4.993492,0.6798,0.0
7,1992-01-09,NasdaqGS:JJSF,1.3542,6.3125,5.1464,6.375,6.125,134.3426,6.25,1.5542,18.9739,0.0,19.7652,1.0518,0.0,46.8602,46.8602,0.0,6.6267,0.0,114.3226,12.3007,6.4476,0.0,0.0,1.0425,0.0,0.1948,1.0,38723.0,2.0,0.0,0.0,0.0,5.0954455445544555,5.197354455445544,4.993536633663366,0.1948,0.0
8,1992-01-10,NasdaqGS:JJSF,1.6113,6.0,4.8916,6.375,5.375,127.692,6.3125,1.4773,18.0346,0.0,18.7867,0.9997,0.0,42.067,42.067,0.0,6.6267,0.0,107.672,11.5851,6.0725,0.0,0.0,0.9818,0.0,1.4404,1.0,38723.0,2.0,0.0,0.0,0.0,5.146370833333333,5.197325,4.382058333333334,1.4404,0.0
9,1992-01-13,NasdaqGS:JJSF,1.6113,6.125,4.9935,6.25,5.75,130.3523,6.125,1.5081,18.4103,0.0,19.1781,1.0205,0.0,44.5119,44.5119,0.0,6.6267,0.0,110.3323,11.8713,6.2226,0.0,0.0,1.0061,0.0,1.8606,1.0,38723.0,2.0,0.0,0.0,0.0,4.9935,5.095408163265306,4.687775510204082,1.8606,0.0
