,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:KLIC.1,1.4746,1.8438,1.7218,1.8438,1.75,58.0781,1.8125,1.1575,NM,0.0,NM,0.5843,0.0,69.1888,69.1887,0.0,13.0491,0.0,66.1541,NM,27.7260,0.0,0.0,0.6603,0.0,0.3428,1.0,36739.0,2.0,0.0,0.0,0.0,1.692571048920707,1.7218,1.634206529992407,0.3428,0.0
1,1992-01-01,NasdaqGS:KLIC.1,1.4746,0.0,1.7218,0.0,0.0,58.0781,0.0,1.1575,NM,0.0,NM,0.5843,0.0,69.1888,69.1887,0.0,13.0491,0.0,66.1541,NM,27.7260,0.0,0.0,0.6603,0.0,0.0,1.0,36739.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:KLIC.1,1.4746,1.7813,1.6634,1.8125,1.7188,56.1094,1.8125,1.1183,NM,0.0,NM,0.5645,0.0,63.4815,63.4814,0.0,13.0491,0.0,64.1854,NM,26.9008,0.0,0.0,0.6406,0.0,0.0572,1.0,36739.0,2.0,0.0,0.0,0.0,1.6925349463874697,1.6925349463874697,1.605036725986639,0.0572,0.0
3,1992-01-03,NasdaqGS:KLIC.1,1.7524,1.9688,1.8385,2.0625,1.7813,62.0156,1.8125,1.236,NM,0.0,NM,0.624,0.0,71.1658,71.1658,0.0,13.0491,0.0,70.0916,NM,29.3762,0.0,0.0,0.6996,0.0,0.3012,1.0,36739.0,2.0,0.0,0.0,0.0,1.6925443163348233,1.9259987047947988,1.6634092086550183,0.3012,0.0
4,1992-01-06,NasdaqGS:KLIC.1,1.7524,2.0313,1.8969,2.0938,1.9688,63.9844,2.0625,1.2752,NM,0.0,NM,0.6438,0.0,73.1909,73.1908,0.0,13.0491,0.0,72.0604,NM,30.2013,0.0,0.0,0.7192,0.0,0.3244,1.0,36739.0,2.0,0.0,0.0,0.0,1.9260356668143557,1.9552647171761925,1.8385352828238077,0.3244,0.0
5,1992-01-07,NasdaqGS:KLIC.1,1.7524,1.8125,1.6926,2.0313,1.8125,57.0938,2.0,1.1379,NM,0.0,NM,0.5744,0.0,57.8713,57.8712,0.0,13.0491,0.0,65.1698,NM,27.3134,0.0,0.0,0.6504,0.0,0.3312,1.0,36739.0,2.0,0.0,0.0,0.0,1.867696551724138,1.8969260027586208,1.6926,0.3312,0.0
6,1992-01-08,NasdaqGS:KLIC.1,1.7524,1.75,1.6342,1.8125,1.6875,55.125,1.8125,1.0986,NM,0.0,NM,0.5546,0.0,54.3697,54.3697,0.0,13.0491,0.0,63.201,NM,26.4883,0.0,0.0,0.6308,0.0,0.246,1.0,36739.0,2.0,0.0,0.0,0.0,1.692564285714286,1.692564285714286,1.5758357142857145,0.246,0.0
7,1992-01-09,NasdaqGS:KLIC.1,1.7524,1.6875,1.5759,1.7813,1.6875,53.1563,1.7188,1.0594,NM,0.0,NM,0.5348,0.0,51.0436,51.0436,0.0,13.0491,0.0,61.2323,NM,25.6631,0.0,0.0,0.6111,0.0,0.1496,1.0,36739.0,2.0,0.0,0.0,0.0,1.6051300266666668,1.6634966933333335,1.5759,0.1496,0.0
8,1992-01-10,NasdaqGS:KLIC.1,1.9919,1.6875,1.5759,1.7188,1.625,53.1563,1.6563,1.0594,NM,0.0,NM,0.5348,0.0,51.0436,51.0436,0.0,13.0491,0.0,61.2323,NM,25.6631,0.0,0.0,0.6111,0.0,0.084,1.0,36739.0,2.0,0.0,0.0,0.0,1.5467633600000001,1.6051300266666668,1.5175333333333334,0.084,0.0
9,1992-01-13,NasdaqGS:KLIC.1,1.9919,1.6563,1.5467,1.6875,1.625,52.1719,1.625,1.0398,NM,0.0,NM,0.5249,0.0,49.2949,49.2949,0.0,13.0491,0.0,60.2479,NM,25.2506,0.0,0.0,0.6013,0.0,0.0852,1.0,36739.0,2.0,0.0,0.0,0.0,1.5174711706816397,1.5758354464770872,1.5174711706816397,0.0852,0.0
