,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:LANC,1.0986,9.8751,4.5869,10.1876,9.7501,451.0505,9.8751,3.2758,21.5434,0.0,19.8426,0.9123,0.0,74.2699,74.7331,0.0,3.1241,0.0,532.2825,11.8227,8.2158,0.0,0.0,1.0636,0.0,0.2892,1.0,35823.0,1.5,0.0,0.0,0.0,4.5869,4.732053593381333,4.528838562647467,0.2892,0.0
1,1992-01-01,NasdaqGS:LANC,1.0986,0.0,4.5869,0.0,0.0,451.0505,0.0,3.2758,21.5434,0.0,19.8426,0.9123,0.0,74.2699,74.7331,0.0,3.1241,0.0,532.2825,11.8227,8.2158,0.0,0.0,1.0636,0.0,0.0,1.0,35823.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:LANC,1.0986,10.0001,4.6449,10.0001,9.6876,456.76,9.7501,3.3172,21.8161,0.0,20.0938,0.9239,0.0,75.6194,76.0677,0.0,3.1241,0.0,537.992,11.9495,8.3039,0.0,0.0,1.075,0.0,0.28,1.0,35823.0,1.5,0.0,0.0,0.0,4.528778661213388,4.6449,4.499748326516735,0.28,0.0
3,1992-01-03,NasdaqGS:LANC,1.1462,10.0001,4.6449,10.0626,9.8751,456.76,9.8751,3.3172,21.8161,0.0,20.0938,0.9239,0.0,75.6194,76.0677,0.0,3.1241,0.0,537.992,11.9495,8.3039,0.0,0.0,1.075,0.0,0.4564,1.0,35823.0,1.5,0.0,0.0,0.0,4.586839330606694,4.673930334696653,4.586839330606694,0.4564,0.0
4,1992-01-06,NasdaqGS:LANC,1.1462,10.0001,4.6449,10.0626,9.8751,456.76,9.8751,3.3172,21.8161,0.0,20.0938,0.9239,0.0,75.6194,76.0677,0.0,3.1241,0.0,537.992,11.9495,8.3039,0.0,0.0,1.075,0.0,0.5664,1.0,35823.0,1.5,0.0,0.0,0.0,4.586839330606694,4.673930334696653,4.586839330606694,0.5664,0.0
5,1992-01-07,NasdaqGS:LANC,1.1462,9.8126,4.5579,10.0626,9.7501,448.1957,9.9376,3.255,21.4071,0.0,19.7171,0.9065,0.0,68.8539,69.2181,0.0,3.1241,0.0,529.4277,11.7593,8.1717,0.0,0.0,1.0579,0.0,0.1836,1.0,35823.0,1.5,0.0,0.0,0.0,4.615961828669262,4.674023657338524,4.528869085665369,0.1836,0.0
6,1992-01-08,NasdaqGS:LANC,1.1462,9.8126,4.5579,9.8751,9.6876,448.1957,9.7501,3.255,21.4071,0.0,19.7171,0.9065,0.0,68.8539,69.2181,0.0,3.1241,0.0,529.4277,11.7593,8.1717,0.0,0.0,1.0579,0.0,0.1228,1.0,35823.0,1.5,0.0,0.0,0.0,4.528869085665369,4.586930914334631,4.4998381713307385,0.1228,0.0
7,1992-01-09,NasdaqGS:LANC,1.1462,9.8751,4.5869,10.0001,9.6876,451.0505,9.8751,3.2758,21.5434,0.0,19.8426,0.9123,0.0,69.8951,70.2536,0.0,3.1241,0.0,532.2825,11.8227,8.2158,0.0,0.0,1.0636,0.0,0.1784,1.0,35823.0,1.5,0.0,0.0,0.0,4.5869,4.644961437352533,4.4998078439712,0.1784,0.0
8,1992-01-10,NasdaqGS:LANC,1.1184,9.8751,4.5869,10.0001,9.7501,451.0505,10.0001,3.2758,21.5434,0.0,19.8426,0.9123,0.0,69.8951,70.2536,0.0,3.1241,0.0,532.2825,11.8227,8.2158,0.0,0.0,1.0636,0.0,0.0476,1.0,35823.0,1.5,0.0,0.0,0.0,4.644961437352533,4.644961437352533,4.528838562647467,0.0476,0.0
9,1992-01-13,NasdaqGS:LANC,1.1184,9.7188,4.5143,9.8751,9.5626,443.9136,9.6876,3.2239,21.2025,0.0,19.5287,0.8979,0.0,63.7189,64.0104,0.0,3.1241,0.0,525.1456,11.6642,8.1056,0.0,0.0,1.0493,0.0,0.1172,1.0,35823.0,1.5,0.0,0.0,0.0,4.49980786516854,4.586900021607606,4.441746427542495,0.1172,0.0
10,1992-01-14,NasdaqGS:LANC,1.1184,9.7501,4.5288,9.7501,9.5626,445.341,9.7501,3.2343,21.2707,0.0,19.5915,0.9008,0.0,64.3965,64.6864,0.0,3.1241,0.0,526.573,11.6959,8.1276,0.0,0.0,1.0522,0.0,0.0468,1.0,35823.0,1.5,0.0,0.0,0.0,4.5288,4.5288,4.441708585552969,0.0468,0.0
11,1992-01-15,NasdaqGS:LANC,1.1184,9.9376,4.6159,9.9376,9.5626,453.9053,9.7501,3.2965,21.6798,0.0,19.9682,0.9181,0.0,68.2305,68.508,0.0,3.1241,0.0,535.1373,11.8861,8.2598,0.0,0.0,1.0693,0.0,0.0984,1.0,35823.0,1.5,0.0,0.0,0.0,4.528808423563033,4.6159,4.441716847126067,0.0984,0.0
12,1992-01-16,NasdaqGS:LANC,1.1184,10.1251,4.703,10.1876,9.7501,462.4695,9.9376,3.3587,22.0888,0.0,20.345,0.9354,0.0,71.5319,71.7952,0.0,3.1241,0.0,543.7015,12.0764,8.392,0.0,0.0,1.0864,0.0,0.2944,1.0,35823.0,1.5,0.0,0.0,0.0,4.615908267572666,4.732030577475778,4.5288165351453324,0.2944,0.0
13,1992-01-17,NasdaqGS:LANC,1.057,10.3751,4.8191,10.4376,10.1251,473.8885,10.2501,3.4416,22.6342,0.0,20.8473,0.9585,0.0,75.2283,75.4716,0.0,3.1241,0.0,555.1205,12.33,8.5683,0.0,0.0,1.1092,0.0,0.3048,1.0,35823.0,1.5,0.0,0.0,0.0,4.761039113839867,4.848130443080067,4.702978227679733,0.3048,0.0
14,1992-01-20,NasdaqGS:LANC,1.057,10.3751,4.8191,10.4376,10.3126,473.8885,10.3126,3.4416,22.6342,0.0,20.8473,0.9585,0.0,75.2283,75.4716,0.0,3.1241,0.0,555.1205,12.33,8.5683,0.0,0.0,1.1092,0.0,0.1208,1.0,35823.0,1.5,0.0,0.0,0.0,4.790069556919933,4.848130443080067,4.790069556919933,0.1208,0.0
15,1992-01-21,NasdaqGS:LANC,1.057,10.4376,4.8482,10.4376,10.2501,476.7432,10.4376,3.4624,22.7706,0.0,20.9729,0.9643,0.0,76.127,76.3648,0.0,3.1241,0.0,557.9752,12.3934,8.6123,0.0,0.0,1.1149,0.0,0.4288,1.0,35823.0,1.5,0.0,0.0,0.0,4.8482,4.8482,4.761107421246264,0.4288,0.0
16,1992-01-22,NasdaqGS:LANC,1.057,10.4376,4.8482,10.4376,10.2501,476.7432,10.4376,3.4624,22.7706,0.0,20.9729,0.9643,0.0,76.127,76.3648,0.0,3.1241,0.0,557.9752,12.3934,8.6123,0.0,0.0,1.1149,0.0,0.4388,1.0,35823.0,1.5,0.0,0.0,0.0,4.8482,4.8482,4.761107421246264,0.4388,0.0
17,1992-01-23,NasdaqGS:LANC,1.057,10.2501,4.7611,10.4376,10.2501,468.179,10.2501,3.4002,22.3615,0.0,20.5962,0.947,0.0,67.5945,67.7772,0.0,3.1241,0.0,549.411,12.2032,8.4801,0.0,0.0,1.0978,0.0,0.3276,1.0,35823.0,1.5,0.0,0.0,0.0,4.7611,4.848192443000555,4.7611,0.3276,0.0
