,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:LSCC,1.7386,1.7917,1.7917,1.9167,1.7708,120.357,1.8958,0.0,0.0,0.0,0.0,0.0,0.0,42.7297,42.7297,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5016,1,36811.0,2.0,0.0,0.0,0.0,1.8958000000000002,1.9167,1.7708,3.5016,0.0
1,1992-01-01,NasdaqGS:LSCC,1.7386,0.0,1.7917,0.0,0.0,120.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7297,42.7297,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36811.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:LSCC,1.7386,2.0,2.0,2.0208,1.7917,134.352,1.7917,0.0,0.0,0.0,0.0,0.0,0.0,53.971,53.971,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5946,1,36811.0,2.0,0.0,0.0,0.0,1.7917,2.0208,1.7917,0.5946,0.0
3,1992-01-03,NasdaqGS:LSCC,2.0042,2.2083,2.2083,2.25,1.9792,148.347,1.9792,0.0,0.0,0.0,0.0,0.0,0.0,62.0029,62.0029,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748,1,36811.0,2.0,0.0,0.0,0.0,1.9792,2.25,1.9792,0.8748,0.0
4,1992-01-06,NasdaqGS:LSCC,2.0042,2.3333,2.3333,2.375,2.2708,156.744,2.3333,0.0,0.0,0.0,0.0,0.0,0.0,65.8531,65.8531,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8664,1,36811.0,2.0,0.0,0.0,0.0,2.3333,2.375,2.2708,0.8664,0.0
5,1992-01-07,NasdaqGS:LSCC,2.0042,2.2292,2.2292,2.3333,2.1667,149.7465,2.3333,0.0,0.0,0.0,0.0,0.0,0.0,60.3639,60.3639,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2384,1,36811.0,2.0,0.0,0.0,0.0,2.3333,2.3333,2.1667,1.2384,0.0
6,1992-01-08,NasdaqGS:LSCC,2.0042,2.1875,2.1875,2.2292,2.1458,146.9475,2.2083,0.0,0.0,0.0,0.0,0.0,0.0,58.2716,58.2716,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8286,1,36811.0,2.0,0.0,0.0,0.0,2.2083,2.2292,2.1458,0.8286,0.0
7,1992-01-09,NasdaqGS:LSCC,2.0042,2.25,2.25,2.3542,2.1667,151.146,2.1667,0.0,0.0,0.0,0.0,0.0,0.0,60.4842,60.4842,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1754,1,36811.0,2.0,0.0,0.0,0.0,2.1667,2.3542,2.1667,1.1754,0.0
8,1992-01-10,NasdaqGS:LSCC,2.1008,2.25,2.25,2.3125,2.2083,151.146,2.25,0.0,0.0,0.0,0.0,0.0,0.0,60.4842,60.4842,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178,1,36811.0,2.0,0.0,0.0,0.0,2.25,2.3125,2.2083,0.5178,0.0
9,1992-01-13,NasdaqGS:LSCC,2.1008,2.375,2.375,2.5,2.2292,159.543,2.2292,0.0,0.0,0.0,0.0,0.0,0.0,64.812,64.812,0.0,2.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,1,36811.0,2.0,0.0,0.0,0.0,2.2292,2.5,2.2292,0.834,0.0
