,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:MIDD,0.1818,0.1458,0.1413,0.1458,0.1354,7.28,0.1458,0.753,NM,0.0,NM,0.0631,0.0,39.0893,39.0889,0.0,8.5406,0.0,72.353,8.4762,5.721,0.0,0.0,0.6402,0.0,0.1038,1,41817.0,3.0,0.0,0.0,0.0,0.1413,0.1413,0.131220987654321,0.1038,0.0
1,1992-01-01,NasdaqGS:MIDD,0.1818,0.0,0.1413,0.0,0.0,7.28,0.0,0.753,NM,0.0,NM,0.0631,0.0,39.0893,39.0889,0.0,8.5406,0.0,72.353,8.4762,5.721,0.0,0.0,0.6402,0.0,0.0,1,41817.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:MIDD,0.1818,0.1458,0.1413,0.1458,0.1354,7.28,0.1354,0.753,NM,0.0,NM,0.0631,0.0,39.0893,39.0889,0.0,8.5406,0.0,72.353,8.4762,5.721,0.0,0.0,0.6402,0.0,0.0294,1,41817.0,3.0,0.0,0.0,0.0,0.131220987654321,0.1413,0.131220987654321,0.0294,0.0
3,1992-01-03,NasdaqGS:MIDD,0.5592,0.1354,0.1312,0.1354,0.1354,6.76,0.1354,0.6992,NM,0.0,NM,0.0586,0.0,33.4102,33.41,0.0,8.5406,0.0,71.833,8.4153,5.6798,0.0,0.0,0.6356,0.0,0.018,1,41817.0,3.0,0.0,0.0,0.0,0.1312,0.1312,0.1312,0.018,0.0
4,1992-01-06,NasdaqGS:MIDD,0.5592,0.0,0.1312,0.0,0.0,6.76,0.0,0.6992,NM,0.0,NM,0.0586,0.0,33.4102,33.41,0.0,8.5406,0.0,71.833,8.4153,5.6798,0.0,0.0,0.6356,0.0,0.0,1,41817.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1992-01-07,NasdaqGS:MIDD,0.5592,0.1458,0.1413,0.1458,0.1458,7.28,0.1458,0.753,NM,0.0,NM,0.0631,0.0,42.4194,42.4189,0.0,8.5406,0.0,72.353,8.4762,5.721,0.0,0.0,0.6402,0.0,0.012,1,41817.0,3.0,0.0,0.0,0.0,0.1413,0.1413,0.1413,0.012,0.0
6,1992-01-08,NasdaqGS:MIDD,0.5592,0.0,0.1413,0.0,0.0,7.28,0.0,0.753,NM,0.0,NM,0.0631,0.0,42.4194,42.4189,0.0,8.5406,0.0,72.353,8.4762,5.721,0.0,0.0,0.6402,0.0,0.0,1,41817.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1992-01-09,NasdaqGS:MIDD,0.5592,0.1458,0.1413,0.1667,0.1458,7.28,0.1458,0.753,NM,0.0,NM,0.0631,0.0,42.4194,42.4189,0.0,8.5406,0.0,72.353,8.4762,5.721,0.0,0.0,0.6402,0.0,0.0162,1,41817.0,3.0,0.0,0.0,0.0,0.1413,0.16155493827160491,0.1413,0.0162,0.0
8,1992-01-10,NasdaqGS:MIDD,0.3379,0.1563,0.1514,0.1667,0.1563,7.8,0.1667,0.8068,NM,0.0,NM,0.0676,0.0,50.2289,50.2289,0.0,8.5406,0.0,72.873,8.5371,5.7621,0.0,0.0,0.6448,0.0,0.012,1,41817.0,3.0,0.0,0.0,0.0,0.1614739603326935,0.1614739603326935,0.1514,0.012,0.0
9,1992-01-13,NasdaqGS:MIDD,0.3379,0.1563,0.1514,0.1563,0.1563,7.8,0.1563,0.8068,NM,0.0,NM,0.0676,0.0,50.2289,50.2289,0.0,8.5406,0.0,72.873,8.5371,5.7621,0.0,0.0,0.6448,0.0,0.0042,1,41817.0,3.0,0.0,0.0,0.0,0.1514,0.1514,0.1514,0.0042,0.0
10,1992-01-14,NasdaqGS:MIDD,0.3379,0.1667,0.1615,0.1667,0.1667,8.32,0.1667,0.8606,NM,0.0,NM,0.0721,0.0,56.993,56.9933,0.0,8.5406,0.0,73.393,8.5981,5.8032,0.0,0.0,0.6494,0.0,0.0006,1,41817.0,3.0,0.0,0.0,0.0,0.1615,0.1615,0.1615,0.0006,0.0
11,1992-01-15,NasdaqGS:MIDD,0.3379,0.1667,0.1615,0.1667,0.1667,8.32,0.1667,0.8606,NM,0.0,NM,0.0721,0.0,56.993,56.9933,0.0,8.5406,0.0,73.393,8.5981,5.8032,0.0,0.0,0.6494,0.0,0.0066,1,41817.0,3.0,0.0,0.0,0.0,0.1615,0.1615,0.1615,0.0066,0.0
12,1992-01-16,NasdaqGS:MIDD,0.3379,0.1667,0.1615,0.1667,0.1667,8.32,0.1667,0.8606,NM,0.0,NM,0.0721,0.0,56.993,56.9933,0.0,8.5406,0.0,73.393,8.5981,5.8032,0.0,0.0,0.6494,0.0,0.0534,1,41817.0,3.0,0.0,0.0,0.0,0.1615,0.1615,0.1615,0.0534,0.0
13,1992-01-17,NasdaqGS:MIDD,-0.1335,0.1667,0.1615,0.1667,0.1667,8.32,0.1667,0.8606,NM,0.0,NM,0.0721,0.0,56.993,56.9933,0.0,8.5406,0.0,73.393,8.5981,5.8032,0.0,0.0,0.6494,0.0,0.006,1,41817.0,3.0,0.0,0.0,0.0,0.1615,0.1615,0.1615,0.006,0.0
14,1992-01-20,NasdaqGS:MIDD,-0.1335,0.1667,0.1615,0.1667,0.1667,8.32,0.1667,0.8606,NM,0.0,NM,0.0721,0.0,56.993,56.9933,0.0,8.5406,0.0,73.393,8.5981,5.8032,0.0,0.0,0.6494,0.0,0.006,1,41817.0,3.0,0.0,0.0,0.0,0.1615,0.1615,0.1615,0.006,0.0
15,1992-01-21,NasdaqGS:MIDD,-0.1335,0.0,0.1615,0.0,0.0,8.32,0.0,0.8606,NM,0.0,NM,0.0721,0.0,56.993,56.9933,0.0,8.5406,0.0,73.393,8.5981,5.8032,0.0,0.0,0.6494,0.0,0.0,1,41817.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
