,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:MSFT,1.0888,2.3177,1.4632,2.3333,2.2656,19601.9143,2.3073,0.0,0.0,0.0,0.0,0.0,0.0,77.776,77.7761,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.512,1.0,37670.0,2.0,0.0,0.0,0.0,1.456634318505415,1.4730485222418779,1.4303084609742418,40.512,0.0
1,1992-01-01,NasdaqGS:MSFT,1.0888,0.0,1.4632,0.0,0.0,19601.9143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.776,77.7761,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37670.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:MSFT,1.0888,2.375,1.4994,2.3906,2.2813,20086.4589,2.3073,0.0,0.0,0.0,0.0,0.0,0.0,81.2933,81.2934,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2656,1.0,37670.0,2.0,0.0,0.0,0.0,1.4566592084210528,1.5092486905263158,1.4402447242105263,74.2656,0.0
3,1992-01-03,NasdaqGS:MSFT,1.0963,2.3542,1.4862,2.3802,2.3281,19910.2647,2.375,0.0,0.0,0.0,0.0,0.0,0.0,76.549,76.5491,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2464,1.0,37670.0,2.0,0.0,0.0,0.0,1.4993309829241357,1.5026137286551693,1.4697231416192338,38.2464,0.0
4,1992-01-06,NasdaqGS:MSFT,1.0963,2.4271,1.5323,2.4531,2.3412,20526.9486,2.3594,0.0,0.0,0.0,0.0,0.0,0.0,80.7775,80.7776,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0576,1.0,37670.0,2.0,0.0,0.0,0.0,1.4895589880927855,1.5487145688269952,1.4780687899138893,63.0576,0.0
5,1992-01-07,NasdaqGS:MSFT,1.0963,2.5,1.5783,2.5052,2.4115,21143.641,2.4271,0.0,0.0,0.0,0.0,0.0,0.0,83.9032,83.9033,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3632,1.0,37670.0,2.0,0.0,0.0,0.0,1.532276772,1.5815828639999998,1.5224281800000001,64.3632,0.0
6,1992-01-08,NasdaqGS:MSFT,1.0963,2.5885,1.6342,2.6198,2.474,21892.4811,2.4792,0.0,0.0,0.0,0.0,0.0,0.0,86.7259,86.726,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7632,1.0,37670.0,2.0,0.0,0.0,0.0,1.5651955340931045,1.6539606567510146,1.5619126134827124,90.7632,0.0
7,1992-01-09,NasdaqGS:MSFT,1.0963,2.651,1.6737,2.6875,2.5833,22421.0721,2.5885,0.0,0.0,0.0,0.0,0.0,0.0,88.2872,88.2873,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3488,1.0,37670.0,2.0,0.0,0.0,0.0,1.6342408336476801,1.6967441531497547,1.6309578310071673,88.3488,0.0
8,1992-01-10,NasdaqGS:MSFT,1.05,2.6094,1.6474,2.6615,2.5833,22068.6753,2.6458,0.0,0.0,0.0,0.0,0.0,0.0,81.4122,81.4123,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6368,1.0,37670.0,2.0,0.0,0.0,0.0,1.670380516593853,1.680292442707136,1.630922212002759,64.6368,0.0
9,1992-01-13,NasdaqGS:MSFT,1.05,2.6484,1.672,2.6849,2.5573,22399.0489,2.5833,0.0,0.0,0.0,0.0,0.0,0.0,82.7671,82.7671,0.0,0.5249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8048,1.0,37670.0,2.0,0.0,0.0,0.0,1.6309007702763931,1.6950433469264459,1.6144863313698838,52.8048,0.0
