,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqGS:TER,1.3567,3.9688,3.7166,4.0,3.9063,470.9145,3.9375,1.7136,NM,0.0,NM,1.0353,0.0,61.8132,61.8132,1.7417,3.4293,1.4679,495.6135,NM,28.1103,0.0,0.0,1.0801,0.0,0.4592,1,36404.0,2.0,0.0,0.0,0.0,3.687288979036485,3.7458173755291275,3.6580716035073575,0.4592,0.0
1,1992-01-01,NasdaqGS:TER,1.3567,0.0,3.7166,0.0,0.0,470.9145,0.0,1.7136,NM,0.0,NM,1.0353,0.0,61.8132,61.8132,1.7417,3.4293,1.4679,495.6135,NM,28.1103,0.0,0.0,1.0801,0.0,0.0,1,36404.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqGS:TER,1.3567,3.9688,3.7166,3.9688,3.8438,470.9145,3.9063,1.7136,NM,0.0,NM,1.0353,0.0,61.8132,61.8132,1.7745,3.4293,1.4955,495.6135,NM,28.1103,0.0,0.0,1.0801,0.0,0.6356,1,36404.0,2.0,0.0,0.0,0.0,3.6580716035073575,3.7166,3.599543207014715,0.6356,0.0
3,1992-01-03,NasdaqGS:TER,1.2695,3.9688,3.7166,4.0313,3.9375,470.9145,3.9688,1.7136,NM,0.0,NM,1.0353,0.0,61.8132,61.8132,1.7745,3.4293,1.4955,495.6135,NM,28.1103,0.0,0.0,1.0801,0.0,1.2152,1,36404.0,2.0,0.0,0.0,0.0,3.7166,3.7751283964926428,3.687288979036485,1.2152,0.0
4,1992-01-06,NasdaqGS:TER,1.2695,4.0,3.7459,4.0313,3.9375,474.6225,3.9688,1.7271,NM,0.0,NM,1.0435,0.0,63.2027,63.2027,1.7745,3.4293,1.4955,499.3215,NM,28.3207,0.0,0.0,1.0881,0.0,0.748,1,36404.0,2.0,0.0,0.0,0.0,3.7166819799999997,3.7752116675,3.6873703124999997,0.748,0.0
5,1992-01-07,NasdaqGS:TER,1.2695,4.0,3.7459,4.0,3.9375,474.6225,4.0,1.7271,NM,0.0,NM,1.0435,0.0,63.2027,63.2027,1.7745,3.4293,1.4955,499.3215,NM,28.3207,0.0,0.0,1.0881,0.0,1.198,1,36404.0,2.0,0.0,0.0,0.0,3.7459,3.7459,3.6873703124999997,1.198,0.0
6,1992-01-08,NasdaqGS:TER,1.2695,4.25,3.98,4.2813,3.9688,504.2864,4.0,1.835,NM,0.0,NM,1.1087,0.0,72.4899,72.4899,1.7745,3.4293,1.4955,528.9854,NM,30.0031,0.0,0.0,1.1528,0.0,1.1184,1,36404.0,2.0,0.0,0.0,0.0,3.745882352941176,4.0093115294117645,3.716664470588235,1.1184,0.0
7,1992-01-09,NasdaqGS:TER,1.2695,4.3125,4.0385,4.3438,4.25,511.7023,4.3125,1.862,NM,0.0,NM,1.125,0.0,74.2403,74.2403,1.7745,3.4293,1.4955,536.4013,NM,30.4238,0.0,0.0,1.1689,0.0,0.6928,1,36404.0,2.0,0.0,0.0,0.0,4.0385,4.067811315942029,3.9799710144927536,0.6928,0.0
8,1992-01-10,NasdaqGS:TER,1.1968,4.25,3.98,4.3125,4.1563,504.2864,0.0,1.835,NM,0.0,NM,1.1087,0.0,69.4795,69.4795,1.7745,3.4293,1.4955,528.9854,NM,30.0031,0.0,0.0,1.1528,0.0,0.4752,1,36404.0,2.0,0.0,0.0,0.0,0.0,4.0385294117647055,3.892252705882353,0.4752,0.0
9,1992-01-13,NasdaqGS:TER,1.1968,4.2813,4.0093,4.2813,4.1563,507.9944,4.2188,1.8485,NM,0.0,NM,1.1169,0.0,70.4982,70.4982,1.7745,3.4293,1.4955,532.6934,NM,30.2135,0.0,0.0,1.1609,0.0,0.35,1,36404.0,2.0,0.0,0.0,0.0,3.9507707565459085,4.0093,3.8922415130918178,0.35,0.0
10,1992-01-14,NasdaqGS:TER,1.1968,4.3438,4.0678,4.375,4.25,515.4103,4.25,1.8755,NM,0.0,NM,1.1332,0.0,72.4768,72.4768,1.7745,3.4293,1.4955,540.1093,NM,30.6341,0.0,0.0,1.177,0.0,0.412,1,36404.0,2.0,0.0,0.0,0.0,3.9799599429071324,4.0970175882867546,3.9799599429071324,0.412,0.0
11,1992-01-15,NasdaqGS:TER,1.1968,4.2813,4.0093,4.375,4.2813,507.9944,4.375,1.8485,NM,0.0,NM,1.1169,0.0,67.5946,67.5946,1.7745,3.4293,1.4955,532.6934,NM,30.2135,0.0,0.0,1.1609,0.0,0.8064,1,36404.0,2.0,0.0,0.0,0.0,4.097047041786373,4.097047041786373,4.0093,0.8064,0.0
12,1992-01-16,NasdaqGS:TER,1.1968,4.5,4.2141,4.5,4.2188,533.9503,4.2188,1.9429,NM,0.0,NM,1.1739,0.0,74.1564,74.1564,1.7745,3.4293,1.4955,558.6493,NM,31.6856,0.0,0.0,1.2174,0.0,0.75,1,36404.0,2.0,0.0,0.0,0.0,3.9507655733333333,4.2141,3.9507655733333333,0.75,0.0
13,1992-01-17,NasdaqGS:TER,1.4486,4.375,4.0971,4.5625,4.375,519.1183,4.5313,1.889,NM,0.0,NM,1.1413,0.0,65.9397,65.9397,1.7745,3.4293,1.4955,543.8173,NM,30.8444,0.0,0.0,1.1851,0.0,0.528,1,36404.0,2.0,0.0,0.0,0.0,4.243471824,4.272690000000001,4.0971,0.528,0.0
14,1992-01-20,NasdaqGS:TER,1.4486,4.2813,4.0093,4.4375,4.1875,507.9944,4.4375,1.8485,NM,0.0,NM,1.1169,0.0,60.5232,60.5231,1.7745,3.4293,1.4955,532.6934,NM,30.2135,0.0,0.0,1.1609,0.0,0.384,1,36404.0,2.0,0.0,0.0,0.0,4.155576285240464,4.155576285240464,3.9214593114241,0.384,0.0
15,1992-01-21,NasdaqGS:TER,1.4486,4.2188,3.9507,4.3125,4.1875,500.5784,4.3125,1.8215,NM,0.0,NM,1.1006,0.0,57.1526,57.1526,1.7745,3.4293,1.4955,525.2774,NM,29.7928,0.0,0.0,1.1447,0.0,0.6528,1,36404.0,2.0,0.0,0.0,0.0,4.038445470275907,4.038445470275907,3.9213890798331277,0.6528,0.0
16,1992-01-22,NasdaqGS:TER,1.4486,4.3125,4.0385,4.3438,4.2188,511.7023,4.25,1.862,NM,0.0,NM,1.125,0.0,60.6891,60.689,1.7745,3.4293,1.4955,536.4013,NM,30.4238,0.0,0.0,1.1689,0.0,1.3096,1,36404.0,2.0,0.0,0.0,0.0,3.9799710144927536,4.067811315942029,3.950753344927536,1.3096,0.0
17,1992-01-23,NasdaqGS:TER,1.4486,4.375,4.0971,4.375,4.25,519.1183,4.3125,1.889,NM,0.0,NM,1.1413,0.0,62.8882,62.8882,1.7745,3.4293,1.4955,543.8173,NM,30.8444,0.0,0.0,1.1851,0.0,0.6868,1,36404.0,2.0,0.0,0.0,0.0,4.03857,4.0971,3.9800400000000002,0.6868,0.0
18,1992-01-24,NasdaqGS:TER,1.3309,4.4375,4.1556,4.625,4.4375,526.5343,4.5,1.916,NM,0.0,NM,1.1576,0.0,64.997,64.9969,1.7745,3.4293,1.4955,551.2333,NM,31.265,0.0,0.0,1.2013,0.0,1.4156,1,36404.0,2.0,0.0,0.0,0.0,4.214129577464789,4.331188732394366,4.1556,1.4156,0.0
19,1992-01-27,NasdaqGS:TER,1.3309,4.4063,4.1263,4.5,4.4063,522.8263,4.4688,1.9025,NM,0.0,NM,1.1495,0.0,63.0673,63.0673,1.7745,3.4293,1.4955,547.5253,NM,31.0547,0.0,0.0,1.1932,0.0,0.9544,1,36404.0,2.0,0.0,0.0,0.0,4.18482841386197,4.214045798061866,4.1263,0.9544,0.0
20,1992-01-28,NasdaqGS:TER,1.3309,4.3438,4.0678,4.4063,4.3125,515.4103,4.4063,1.8755,NM,0.0,NM,1.1332,0.0,59.2769,59.2769,1.7745,3.4293,1.4955,540.1093,NM,30.6341,0.0,0.0,1.177,0.0,0.5548,1,36404.0,2.0,0.0,0.0,0.0,4.1263288226898105,4.1263288226898105,4.038488765596942,0.5548,0.0
21,1992-01-29,NasdaqGS:TER,1.3309,4.4375,4.1556,4.5313,4.3438,526.5343,4.375,1.916,NM,0.0,NM,1.1576,0.0,62.8807,62.8807,1.7745,3.4293,1.4955,551.2333,NM,31.265,0.0,0.0,1.2013,0.0,0.5016,1,36404.0,2.0,0.0,0.0,0.0,4.097070422535211,4.243441189859155,4.067852457464788,0.5016,0.0
22,1992-01-30,NasdaqGS:TER,1.3309,4.4688,4.1849,4.5313,4.4063,530.2423,4.4063,1.9294,NM,0.0,NM,1.1658,0.0,64.0236,64.0236,1.7745,3.4293,1.4955,554.9413,NM,31.4753,0.0,0.0,1.2094,0.0,0.9288,1,36404.0,2.0,0.0,0.0,0.0,4.126370584944504,4.243429415055496,4.126370584944504,0.9288,0.0
23,1992-01-31,NasdaqGS:TER,1.3515,4.4688,4.1849,4.5313,4.4375,530.2423,4.4375,1.9294,NM,0.0,NM,1.1658,0.0,64.0236,64.0236,1.7745,3.4293,1.4955,554.9413,NM,31.4753,0.0,0.0,1.2094,0.0,0.8568,1,36404.0,2.0,0.0,0.0,0.0,4.155588468940207,4.243429415055496,4.155588468940207,0.8568,0.0
24,1992-02-03,NasdaqGS:TER,1.3515,4.5625,4.2727,4.5938,4.4375,541.3663,4.4688,1.9699,NM,0.0,NM,1.1902,0.0,67.5046,67.5046,1.5942,3.4293,1.3435,566.0653,NM,32.1063,0.0,0.0,1.2336,0.0,0.4828,1,36404.0,2.0,0.0,0.0,0.0,4.184951618630137,4.3020118926027395,4.155639726027398,0.4828,0.0
25,1992-02-04,NasdaqGS:TER,1.3515,4.5313,4.2434,4.5625,4.5,537.6583,4.5313,1.9564,NM,0.0,NM,1.1821,0.0,65.2386,65.2386,1.5942,3.4293,1.3435,562.3573,NM,31.8959,0.0,0.0,1.2255,0.0,0.2416,1,36404.0,2.0,0.0,0.0,0.0,4.2434,4.272617681460067,4.214088672124998,0.2416,0.0
26,1992-02-05,NasdaqGS:TER,1.3515,4.4688,4.1849,4.5,4.4063,530.2423,4.5,1.9294,NM,0.0,NM,1.1658,0.0,60.8399,60.8399,1.5942,3.4293,1.3435,554.9413,NM,31.4753,0.0,0.0,1.2094,0.0,0.6812,1,36404.0,2.0,0.0,0.0,0.0,4.214117883995704,4.214117883995704,4.126370584944504,0.6812,0.0
